# File: NREL_onshore_energy.csv
# Title: Onshore Wind Resource Potential by Country from NREL
# Units: PWh
# Comments: distance -  near =  0-50 miles; transitional = 50-100 miles; far = 100-5000 miles
# Source: Eurek et. al (2017); https://doi.org/10.1016/j.eneco.2016.11.015; raw data at https://catalog.data.gov/dataset/global-cfdda-based-onshore-and-offshore-wind-potential-supply-curves-by-country-class-and-
# Column types: ccnnnnnnnnnn
#  ----------
IAM_country,distance,c1,c2,c3,c4,c5,c6,c7,c8,c9,total
Afghanistan,near,0.615012148,0.289987933,0.183219215,0.153557949,0.149641648,0.176075495,0.163887893,0.0115821,0,1.742964381
Albania,near,0.000124324,0.031483821,0.105953291,0.013590229,0,0,0,0,0,0.151151666
Algeria,near,0.100545427,2.554525488,1.180842631,0.253873653,0,0,0,0,0,4.089787199
Angola,near,0.410187776,0,0,0,0,0,0,0,0,0.410187776
Argentina,near,0.618933671,1.165010776,1.395829167,0.582824857,0.25190601,0.093604106,0.155127569,0.001867933,0.11976044,4.38486453
Armenia,near,0.064735659,0.046478088,0.001436354,0,0,0,0,0,0,0.112650102
Australia,near,0.009241715,0.41240854,1.619421544,1.623051888,0.21052068,0.046889933,0.008613941,0,0,3.930148242
Austria,near,0.001208099,0.13503122,0.177954455,0,0,0,0,0,0,0.314193773
Azerbaijan,near,0.220941454,0.091008293,0.014233577,0.007033495,0,0,0,0,0,0.333216819
Bahamas,near,0.004427759,0,0,0,0,0,0,0,0,0.004427759
Bahrain,near,0.000324492,0,0,0,0,0,0,0,0,0.000324492
Bangladesh,near,0.153593145,0.000806439,0,0,0,0,0,0,0,0.154399584
Barbados,near,0,0,0,0,0,0.003489361,0,0,0,0.003489361
Belarus,near,0,0,0.596447878,0.338025942,0,0,0,0,0,0.93447382
Belgium,near,0,0,0.003627985,0.158177377,0.017532672,0,0,0,0,0.179338035
Belize,near,0.002602019,0.006427991,0,0,0,0,0,0,0,0.009030009
Benin,near,0.14529196,0.171008418,0.019986303,0,0,0,0,0,0,0.336286681
Bhutan,near,0.00948761,0,0,0,0,0,0,0,0,0.00948761
Bolivia,near,0.084155999,0.071506463,0.073835038,0.037992264,0,0,0,0,0,0.267489764
Bosnia and Herzegovina,near,0.075132804,0.063937361,0.070931872,0,0,0,0,0,0,0.210002036
Botswana,near,0.061555455,0.165077245,0.062902462,0,0,0,0,0,0,0.289535161
Brazil,near,4.336058417,4.393195321,1.773051089,0.869114534,0.442191158,0.414214117,0.152506634,0.132277956,0.024406,12.53701523
Brunei Darussalam,near,0.002038315,0,0,0,0,0,0,0,0,0.002038315
Bulgaria,near,0.118575217,0.316620594,0.040533681,0,0,0,0,0,0,0.475729492
Burkina Faso,near,0.500789715,0.161476541,0,0,0,0,0,0,0,0.662266256
Burundi,near,0.047694924,0,0,0,0,0,0,0,0,0.047694924
Cambodia,near,0.058626633,0.22403305,0.058124597,0.007779094,0.007637791,0,0,0,0,0.356201166
Cameroon,near,0.221433862,0.145594302,0.149194132,0.033769534,0,0,0,0,0,0.549991829
Canada,near,0.082023538,0.313123281,1.382736083,2.008234172,0.355097738,0.185501057,0.021757603,0,0,4.348473472
Cape Verde,near,0,0,0,0.002074696,0,0,0,0,0,0.002074696
Central African Republic,near,0.088998461,0,0,0,0,0,0,0,0,0.088998461
Chad,near,0.223582131,0.316491081,0.084749787,0,0,0,0,0,0,0.624822998
Chile,near,0.447500321,0.36442971,0.151409628,0.059569865,0.015751509,0.000626067,0,0.018887329,0.064092886,1.122267315
