# File: NREL_onshore_energy.csv
# Title: Onshore Wind Resource Potential by Country from NREL
# Units: PWh
# Comments: distance -  near =  0-50 miles; transitional = 50-100 miles; far = 100-5000 miles
# Source: Eurek et. al (2017); https://doi.org/10.1016/j.eneco.2016.11.015; raw data at https://catalog.data.gov/dataset/global-cfdda-based-onshore-and-offshore-wind-potential-supply-curves-by-country-class-and-
# Column types: ccnnnnnnnnnn
#  ----------
IAM_country,distance,c1,c2,c3,c4,c5,c6,c7,c8,c9,total
China,near,7.7661818,5.747577976,5.262664598,2.120631461,0.615539176,0.327912977,0.016545334,0,0,21.85705332
Hong Kong,near,0,0,0.00111551,0,0,0,0,0,0,0.00111551
China,near,0,0,0,0,0,0,0,0,0,0
Colombia,near,0.429551601,0.067653874,0.053862153,0.017222342,0.061988649,0.001542196,0.020720344,0,0,0.652541159
Comoros,near,0,0,0,0,0,0,0,0,0,0
Congo,near,0.618150396,0.063735686,0.016443108,0,0,0,0,0,0,0.69832919
"Congo, the Democratic Republic of the",near,0.068036009,0,0,0,0,0,0,0,0,0.068036009
Costa Rica,near,0.038874705,0.045512788,0.018786393,0.022486128,0.048809188,0.000750271,0,0,0,0.175219474
Cote dIvoire,near,0.527739383,0.004124009,0,0,0,0,0,0,0,0.531863392
Croatia,near,0.119479511,0.021468832,0.074391999,0,0,0,0,0,0,0.215340342
Cuba,near,0.015925692,0.279803201,0.159842875,0.023116082,0,0,0,0,0,0.47868785
Cyprus,near,0.026109838,0.000648537,0,0,0,0,0,0,0,0.026758375
Czech Republic,near,0,0.014166453,0.351297822,0.00024712,0,0,0,0,0,0.365711395
Denmark,near,0,0,0,0,0.148572418,0.170910621,0,0,0,0.319483039
Djibouti,near,0.012095246,0.016136029,0.053998704,0.006200059,0,0,0,0,0,0.088430038
Dominican Republic,near,0.029779203,0.059410525,0.087463285,0.011060258,0,0,0,0,0,0.18771327
Ecuador,near,0.072362818,0.008363356,0.028451037,0.008302407,0,0,0,0,0,0.117479618
Egypt,near,0.192318351,0.591302523,0.71594693,0.15929512,0.04112298,0,0,0,0,1.699985903
El Salvador,near,0,0.011564077,0.037080485,0.060617667,0.030127621,0.004837313,0,0,0,0.144227163
Equatorial Guinea,near,0.003371828,0,0,0,0,0,0,0,0,0.003371828
Eritrea,near,0,0.041804211,0.221040498,0.190298645,0.113764555,0.02843472,0.070236019,0,0,0.665578648
Estonia,near,0,0,0.002640842,0.108626803,0.010305723,0,0,0,0,0.121573368
Ethiopia,near,0.890622775,0.247543793,0.401334246,0.170680794,0.088913345,0.051158701,0.004919784,0,0,1.855173438
Fiji,near,0,0.039763623,0.016251649,8.45E-05,0,0,0,0,0,0.056099818
Finland,near,0,0,0.417516714,0.147471653,0.014429368,0,0,0,0,0.579417735
France,near,0.01460237,0.442767519,1.236690621,1.005816422,0.214106172,0.022266624,0,0,0,2.936249728
French Polynesia,near,0,0,0,0,0,0,0,0,0,0
Gabon,near,0.032406073,0,0,0,0,0,0,0,0,0.032406073
Gambia,near,0.006468652,0.023598134,0,0,0,0,0,0,0,0.030066786
Georgia,near,0.101783131,0.090988894,0.007619052,0,0,0,0,0,0,0.200391077
Germany,near,0,0.242514853,0.190713299,0.668490577,0.173995499,0.031339758,0,0,0,1.307053985
Ghana,near,0.404621887,0.122990215,0,0,0,0,0,0,0,0.527612102
Greece,near,0.042691604,0.230923948,0.126071627,0.06412917,0.01385379,0,0,0,0,0.47767014
Guam,near,0,0,0,0,0,0,0,0,0,0
Guatemala,near,0.061151974,0.028404218,0.011160482,0.027658008,0.046723641,0.036537651,0,0,0,0.211635976
Guinea,near,0.2267045,0.009539174,0,0,0,0,0,0,0,0.236243674
Guinea-Bissau,near,0.060053689,0.001469913,0,0,0,0,0,0,0,0.061523603
Guyana,near,0.00820414,0.000100335,0,0,0,0,0,0,0,0.008304475
Haiti,near,0.03216957,0.08271349,0.028511001,0.000571751,0,0,0,0,0,0.143965813
Honduras,near,0.099311965,0.046234719,0.03731817,0.033783311,0.058165191,0.043683886,0,0,0,0.318497242
Hungary,near,0.214992556,0.283070038,0.000335241,0,0,0,0,0,0,0.498397835
Iceland,near,0,0,0,0,0,0.014376119,0.452654487,0.132850906,0,0.599881512
India,near,2.936199427,3.070707057,2.03788487,1.11300999,0.089459181,0.067815675,0,0,0,9.3150762
Indonesia,near,1.232655318,0.126738566,0.045820125,0.01685479,0,0,0,0,0,1.422068799
"Iran, Islamic Republic of",near,1.794659467,4.130248535,1.796144298,0.595199962,0.19937744,0.002583021,0.001834996,0,0,8.52004772
Iraq,near,0.575441279,1.316846217,0.288829087,0.031357477,0,0,0,0,0,2.212474059
Ireland,near,0,0,0,0,0,0.576494655,0.121894196,0,0,0.698388852
Israel,near,0.088438573,0.00486218,0,0,0,0,0,0,0,0.093300752
Italy,near,0.300661197,0.742172441,0.068968231,0.000307756,0,0,0,0,0,1.112109625
Jamaica,near,0,0.006658167,0.028910545,0.010259166,0,0,0,0,0,0.045827878
Japan,near,0,0.258097732,0.358122559,0.329477709,0.023979133,0,0,0,0,0.969677132
Jordan,near,0.056279607,0.330932133,0.003770713,0,0,0,0,0,0,0.390982453
Kazakhstan,near,0.26764277,0.525599418,1.448577976,1.98644812,0.184251863,0,0,0,0,4.412520147
Kenya,near,0.298221169,0.136797284,0.255169718,0.163195605,0.467583337,0.022568402,0.010531293,0,0,1.354066806
"Korea, Democratic Peoples Republic of",near,1.37E-05,0.271540485,0.139575982,0.108025881,0,0,0,0,0,0.51915607
"Korea, Republic of",near,0.055915339,0.146829349,0.126710866,0.037795698,0,0,0,0,0,0.367251253
Kuwait,near,0,0.11486185,0.020430566,0,0,0,0,0,0,0.135292417
Kyrgyzstan,near,0.079539352,0.059341118,0.119665547,0.046158848,0.001143346,0,0,0,0,0.30584821
Lao Peoples Democratic Republic,near,0.150491749,0.077050251,0.083302503,0.1321932,0.053975977,0,0,0,0,0.49701368
Latvia,near,0,0,0.04617826,0.109968396,0.011062535,0,0,0,0,0.167209191
Lebanon,near,0.042958444,0.0010812,0,0,0,0,0,0,0,0.044039644
Lesotho,near,0.041416513,0.014597427,0.001073116,0,0,0,0,0,0,0.057087056
Liberia,near,0.036666344,0,0,0,0,0,0,0,0,0.036666344
Libyan Arab Jamahiriya,near,0,0.369290001,1.00295989,0.055617209,0,0,0,0,0,1.4278671
Lithuania,near,0,0,0.018159583,0.310727867,0.010404732,0,0,0,0,0.339292183
Luxembourg,near,0,0,0.009468018,0.005166341,0,0,0,0,0,0.014634359
Madagascar,near,0.204362262,0.079317923,0.179547375,0.100564805,0.000146269,0.016538927,0.019830986,0,0.072546834,0.672855381
Malawi,near,0.169967432,0.094965641,0.049612837,0.004469544,0,0,0,0,0,0.319015454
Malaysia,near,0.274431561,0,0,0,0,0,0,0,0,0.274431561
Maldives,near,0,0,0,0,0,0,0,0,0,0
Mali,near,0.435873627,0.430538788,0.115641973,0,0,0,0,0,0,0.982054388
Malta,near,0,0,0,0,0,0,0,0,0,0
Mauritania,near,0,0,0.17145289,0.386652188,0.10666568,0.010275835,0.018630243,0.025776623,0,0.719453459
Mauritius,near,0,0,0,0.007038551,0.003705964,0,0,0,0,0.010744516
Mexico,near,2.229282226,0.751079807,0.488286084,0.377834544,0.081934595,0.033793055,0.02779145,0.036015217,0.039368122,4.065385099
Mongolia,near,0.064928923,0.170695199,0.032314924,0,0,0,0,0,0,0.267939046
Morocco,near,0.802790839,0.505858638,0.264719057,0.471038331,0.179211923,0.124216789,0.074124671,0.015556404,0,2.437516653
Mozambique,near,0.300232127,0.276383478,0.17766742,0.009006956,0,0,0,0,0,0.76328998
Myanmar,near,1.084864174,0.086099905,0.050699546,0.003069914,0,0,0,0,0,1.224733538
Namibia,near,0.065236638,0.063847659,0.023299167,0,0,0,0,0,0,0.152383464
Nepal,near,0.149117052,0,0,0,0,0,0,0,0,0.149117052
Netherlands,near,0,0,0,0.112927527,0.058881436,0.041423409,0,0,0,0.213232372
Netherlands Antilles,near,0,0,0,0,0,0,0,0,0,0
New Caledonia,near,0,0,0.001584229,0.006097169,0,0,0,0,0,0.007681398
New Zealand,near,0,0,0.048730893,0.232434536,0.322201975,0.241041346,0.415528359,0.124068986,0,1.384006094
Nicaragua,near,0.000166869,0.021864006,0.036442886,0.022433764,0.053880368,0.104373279,0.115678845,0,0,0.354840018
Niger,near,0.086919735,0.77520801,0.505743655,0.006783853,0,0,0,0,0,1.374655254
Nigeria,near,0.804477683,1.634882382,1.030276639,0.226973889,0.038306125,0,0,0,0,3.734916718
Norway,near,0,0.017584894,0.08335742,0.125527914,0.345186554,0.444535461,0.216697695,0,0,1.232889937
"Palestinian Territory, Occupied",near,0.032263321,0,0,0,0,0,0,0,0,0.032263321
Oman,near,0.476971115,0.12767993,0.013511442,0.066974388,0.045551422,0.019635669,0,0,0,0.750323966
Pakistan,near,0.9086232,0.623143754,0.694764903,0.372967493,0.217010926,0,0,0,0,2.816510276
Panama,near,0.055460458,0.070153269,0.019732475,0.010911314,0,0,0,0,0,0.156257515
Papua New Guinea,near,0.04326997,0.014739718,0.00931118,0.004665812,0,0,0,0,0,0.071986681
Paraguay,near,0.035960946,0.313253704,0.072145871,0,0,0,0,0,0,0.421360521
Peru,near,0.286354157,0.01777106,0.005284043,0.009460924,0,0,0,0,0,0.318870185
Philippines,near,0.250411552,0.213998153,0.276914022,0.178550675,0.196052532,0.042676219,0,0,0,1.158603154
Poland,near,0,0.020334998,0.740704744,0.946675804,0.030329228,0,0,0,0,1.738044775
Portugal,near,0,0.228046383,0.12635329,0.020695109,0,0,0,0,0,0.375094783
Puerto Rico,near,0,0.006353248,0.024884272,0,0,0,0,0,0,0.031237519
Qatar,near,0.05705658,0.010668735,0,0,0,0,0,0,0,0.067725315
"Moldova, Republic of",near,0,0.187322764,0.032832374,0,0,0,0,0,0,0.220155138
Romania,near,0.556560753,0.287237234,0.210043063,0,0,0,0,0,0,1.05384105
Russian Federation,near,0.255948261,0.590720086,3.181701494,10.51201086,0.513626164,0.086965055,0.005283546,0,0,15.14625547
Rwanda,near,0.04434662,0,0,0,0,0,0,0,0,0.04434662
Samoa,near,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,near,1.746806734,2.276953691,0.172880534,0.007489232,0,0,0,0,0,4.204130191
Senegal,near,0.058375097,0.230850423,0.209154965,0.092999604,0,0,0,0,0,0.591380088
Sierra Leone,near,0.095298042,0,0,0,0,0,0,0,0,0.095298042
Singapore,near,9.97E-05,0,0,0,0,0,0,0,0,9.97E-05
Slovakia,near,0.02402293,0.155796706,0.001307337,0,0,0,0,0,0,0.181126973
Slovenia,near,0.033781342,0.015586391,0,0,0,0,0,0,0,0.049367733
Solomon Islands,near,0,0.015796417,0,0,0,0,0,0,0,0.015796417
Somalia,near,0.012510346,0.021483911,0.266727957,0.553473209,0.50542158,0.219014271,0.188480063,0.015640461,0,1.782751799
South Africa,near,1.264528881,0.539766046,0.349835309,0.358823641,0.173901731,0.004819758,0,0,0,2.691675366
Spain,near,0.31190751,1.461549211,0.517666724,0.041039022,0.019983628,0.013528462,0,0,0,2.365674558
Sri Lanka,near,0.00137487,0.013535057,0.01074249,0.047802945,0.05191611,0.007941927,0.008329915,0,0,0.141643315
Sudan,near,0.614822448,0.888239406,1.470225477,0.726644867,0.005222472,0,0,0,0,3.705154671
Suriname,near,0.017893838,0,0,0,0,0,0,0,0,0.017893838
Swaziland,near,0.005399872,0.03844333,0.030309503,0,0,0,0,0,0,0.074152705
Sweden,near,0,0.002026915,0.478066411,0.225433653,0.097840304,0.014683596,0,0,0,0.818050879
Switzerland,near,0,0.029863998,0.086443694,0.005525365,0,0,0,0,0,0.121833057
Syrian Arab Republic,near,0.409456882,0.751868991,0.027726354,0,0,0,0,0,0,1.189052227
Taiwan,near,0.019627751,0.024351736,0.007973413,0.019136971,0.001443525,0.000466326,0,0,0,0.072999721
Tajikistan,near,0.098651401,0.030820944,0.010827306,9.86E-05,0,0,0,0,0,0.14039826
"Tanzania, United Republic of",near,0.47833262,0.262051672,0.243792444,0.103720461,0.042782407,0.040522933,0,0,0,1.171202537
"Macedonia, the former Yugoslav Republic of",near,0.069283131,0.020883469,0,0,0,0,0,0,0,0.090166601
Thailand,near,0.487027846,0.351169025,0.658661416,0.405284154,0,0,0,0,0,1.902142442
Timor Leste,near,0.001671748,0.012711294,0.043099225,0,0,0,0,0,0,0.057482267
Togo,near,0.11907419,0.05883238,0,0,0,0,0,0,0,0.17790657
Trinidad and Tobago,near,0,0,0.004747466,0,0,0,0,0,0,0.004747466
Tunisia,near,0,0.227817472,0.946040136,0.007595832,0,0,0,0,0,1.18145344
Turkey,near,1.030734115,1.991184111,0.730681476,0.202252542,0,0,0,0,0,3.954852243
Turkmenistan,near,0.255350625,0.691013605,0.032131235,0,0,0,0,0,0,0.978495465
Uganda,near,0.364438037,0.036085609,0.011616121,0.009198203,0,0,0,0,0,0.42133797
Ukraine,near,0.011472655,0.151070162,3.231259835,0.37761638,0,0,0,0,0,3.771419032
United Arab Emirates,near,0.29003935,0.126078045,0,0,0,0,0,0,0,0.416117396
United Kingdom,near,0,0,0,0,0.632581634,0.857463689,0.057042727,0,0,1.54708805
United States of America,near,2.745554382,3.906395151,4.64624509,11.10821219,4.691391322,0.006597618,0.002002582,0,0,27.10639834
Uruguay,near,0,0.0150582,0.432234109,0.030202824,0,0,0,0,0,0.477495132
Uzbekistan,near,0.151390412,0.79295072,0.062171875,0,0,0,0,0,0,1.006513007
Vanuatu,near,0,0,0,0,0,0,0,0,0,0
Venezuela,near,0.246796244,0.179993974,0.372710927,0.262476925,0.370017554,0.157713788,0.024976692,0,0,1.614686103
Viet Nam,near,0.304832969,0.203448826,0.173791686,0.160175554,0.232014276,0.056097895,0.032488026,0,0,1.162849231
Western Sahara,near,0,0,0.045601022,0.043378349,0,0,0.004790286,0.01159944,0,0.105369097
Yemen,near,0.429716196,0.34083854,0.191573889,0.09568685,0.062382143,0.049338605,0,0,0,1.169536223
"Yugoslavia, Federal Republic of",near,0.337589892,0.038407175,0.034684615,0.018608781,0,0,0,0,0,0.429290464
Zambia,near,0.070896844,0.235462472,0.180612302,0.060253307,0,0,0,0,0,0.547224925
Zimbabwe,near,0.102612184,0.332247677,0.183967951,0,0,0,0,0,0,0.618827813
Afghanistan,transitional,0.57908415,0.248862617,0.161823249,0.149331292,0.126256447,0.201127518,0.077355062,0.067339117,0,1.611179452
Albania,transitional,0,0,0,0,0,0,0,0,0,0
Algeria,transitional,0.283967803,1.473396841,1.241167588,0.651809887,0,0,0,0,0,3.65034212
Angola,transitional,0.593430392,0,0,0,0,0,0,0,0,0.593430392
Argentina,transitional,0.399348964,1.930287107,1.616656811,0.975094029,0.509755732,0.408863653,0.421003289,0.102797822,0.176198839,6.540006244
Armenia,transitional,6.58E-05,0.001559978,0,0,0,0,0,0,0,0.001625754
Australia,transitional,0.006208157,0.632816462,3.208346408,2.948871669,0.33035631,0.046858444,0.009236397,0,0,7.182693846
Austria,transitional,0,0,0,0,0,0,0,0,0,0
Azerbaijan,transitional,0.007071686,0,0,0,0,0,0,0,0,0.007071686
Bahamas,transitional,0.00364677,0,0.006407537,0.003202597,0,0,0,0,0,0.013256905
Bahrain,transitional,0,0,0,0,0,0,0,0,0,0
Bangladesh,transitional,0.0145348,0,0,0,0,0,0,0,0,0.0145348
Barbados,transitional,0,0,0,0,0,0,0,0,0,0
Belarus,transitional,0,0,0.023027362,0.010661994,0,0,0,0,0,0.033689356
Belgium,transitional,0,0,0,0,0,0,0,0,0,0
Belize,transitional,0.0159854,0.003589229,0,0,0,0,0,0,0,0.019574629
Benin,transitional,0.029009494,0.070509707,0.004979915,0,0,0,0,0,0,0.104499116
Bhutan,transitional,0.00078724,0,0,0,0,0,0,0,0,0.00078724
Bolivia,transitional,0.174969525,0.191414217,0.089325403,0,0,0,0,0,0,0.455709145
Bosnia and Herzegovina,transitional,0,0,0,0,0,0,0,0,0,0
Botswana,transitional,0.020875091,0.457271535,0.203035335,0.070632776,0,0,0,0,0,0.751814736
Brazil,transitional,2.952918503,1.316986589,0.857742882,0.48705154,0.551338165,0.25998664,0.112163752,0.017025536,0.029401029,6.584614636
Brunei Darussalam,transitional,7.69E-06,0,0,0,0,0,0,0,0,7.69E-06
Bulgaria,transitional,0,0,0,0,0,0,0,0,0,0
Burkina Faso,transitional,0.23295183,0.243921317,0.077707721,0,0,0,0,0,0,0.554580868
Burundi,transitional,0,0,0,0,0,0,0,0,0,0
Cambodia,transitional,0.053445751,0.080566519,0.039940528,0.002843521,0.001393406,0,0,0,0,0.178189725
Cameroon,transitional,0.184004071,0.006029511,0,0,0,0,0,0,0,0.190033582
Canada,transitional,0.063506511,0.369879237,0.869051173,1.847968105,0.299371025,0.220634725,0.074642083,0,0,3.745052858
Cape Verde,transitional,0,0,0,0.006776186,0,0,0,0,0,0.006776186
Central African Republic,transitional,0.20453076,0,0,0,0,0,0,0,0,0.20453076
Chad,transitional,0.286677253,0.246996304,0.308289165,0.001769355,0,0,0,0,0,0.843732077
Chile,transitional,0.163189418,0.019670025,0.044780267,0.044563077,0.010714273,0.001508851,0.000937909,0.137640455,0.093991964,0.51699624
China,transitional,2.044107145,1.260735998,0.901311226,0.62440801,0.544272721,0.346845804,0.024667461,0,0,5.746348365
Hong Kong,transitional,0,0,0,0,0,0,0,0,0,0
China,transitional,0,0,0,0,0,0,0,0,0,0
Colombia,transitional,0.140138933,0.060908642,0.067052042,0.033496296,0,0,0.03362365,0.025556432,0,0.360775994
Comoros,transitional,0,0,0,0,0,0,0,0,0,0
Congo,transitional,0.559159237,0.061690274,0.035971899,0.002659344,0,0,0,0,0,0.659480754
"Congo, the Democratic Republic of the",transitional,0.117435332,0,0,0,0,0,0,0,0,0.117435332
Costa Rica,transitional,0.001248072,0.000161886,0.000973892,3.47E-05,0.001078737,0.003563786,0,0,0,0.007061033
Cote dIvoire,transitional,0.232624784,0.058159426,0,0,0,0,0,0,0,0.290784209
Croatia,transitional,0.000267856,0,0,0,0,0,0,0,0,0.000267856
Cuba,transitional,0.001568,0.000193178,0.007422157,0,0,0,0,0,0,0.009183336
Cyprus,transitional,0,0.000890283,0,0,0,0,0,0,0,0.000890283
Czech Republic,transitional,0,0,0,0,0,0,0,0,0,0
Denmark,transitional,0,0,0,0,0,0.004629685,0,0,0,0.004629685
Djibouti,transitional,0.001259113,0.023297711,0.062039136,0.015319237,0.000125154,0,0,0,0,0.102040351
Dominican Republic,transitional,0,0,0,0,0,0,0,0,0,0
Ecuador,transitional,0.012144321,0.00150167,4.75E-05,0,0,0,0,0,0,0.013693501
Egypt,transitional,0.152901217,0.52830214,0.696148811,0.521572005,0.000798043,0,0,0,0,1.899722215
El Salvador,transitional,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,transitional,0.007347167,0,0,0,0,0,0,0,0,0.007347167
Eritrea,transitional,0.015373744,0.098999257,0.185409499,0.05272909,0.054225135,0.017951389,0.003749299,0,0,0.428437412
Estonia,transitional,0,0,0,0.014993856,0.013250513,0,0,0,0,0.028244369
Ethiopia,transitional,0.693940521,0.21650135,0.246482811,0.322802381,0.373531142,0.399048694,0.086419863,0.024017077,0,2.362743839
Fiji,transitional,0,0,0,0.009168905,0,0,0,0,0,0.009168905
Finland,transitional,0,0,0.072682411,0.037725194,0,0,0,0,0,0.110407605
France,transitional,0.018819116,0.00096172,0.039296176,0.06774624,0.0111515,0,0,0,0,0.137974753
French Polynesia,transitional,0,0,0,0,0,0,0,0,0,0
Gabon,transitional,0.049302965,0,0,0,0,0,0,0,0,0.049302965
Gambia,transitional,0.002398998,0.014551068,0,0,0,0,0,0,0,0.016950066
Georgia,transitional,0.000685733,0.000152188,0.002528709,0,0,0,0,0,0,0.003366631
Germany,transitional,0,0,0,0,0,0.000447556,0,0,0,0.000447556
Ghana,transitional,0.171883302,0.039812125,0,0,0,0,0,0,0,0.211695427
Greece,transitional,2.87E-05,0.000199008,0.000895252,0,0.008711495,0.002602811,0,0,0,0.012437218
Guam,transitional,0,0,0,0,0,0,0,0,0,0
Guatemala,transitional,0.034166232,1.38E-05,0,0,0,0,0,0,0,0.034180064
Guinea,transitional,0.251929935,0.050308741,0,0,0,0,0,0,0,0.302238676
Guinea-Bissau,transitional,0.033060476,0.01099166,0,0,0,0,0,0,0,0.044052136
Guyana,transitional,0.022587336,0.023629619,0.019666047,0,0,0,0,0,0,0.065883003
Haiti,transitional,0,0,0,0,0,0,0,0,0,0
Honduras,transitional,0.022412402,0.004524585,0.000108424,0,0,0,0,0,0,0.027045411
Hungary,transitional,0.001347392,0,0,0,0,0,0,0,0,0.001347392
Iceland,transitional,0,0,0,0,0,0,0.125421369,0.027622148,0,0.153043517
India,transitional,0.110802672,0.063828892,0.063568924,0.018166648,0.014805506,0,0,0,0,0.271172643
Indonesia,transitional,0.293531274,0.006726983,0.002668263,0,0,0,0,0,0,0.30292652
"Iran, Islamic Republic of",transitional,0.897395897,0.871020582,0.630096308,0.26647083,0.103721363,0.069527491,0.018444874,0.013906306,0,2.87058365
Iraq,transitional,0.346279672,0.671613797,0.002385654,0.00297849,0,0,0,0,0,1.023257613
Ireland,transitional,0,0,0,0,0,0.048170414,0.014864252,0.004339347,0,0.067374013
Israel,transitional,0.004857687,0,0,0,0,0,0,0,0,0.004857687
Italy,transitional,0,0.001804179,0,0.000153878,0,0,0,0,0,0.001958057
Jamaica,transitional,0,0,0,0,0,0,0,0,0,0
Japan,transitional,0,0,0,0.014568317,0.00596145,0,0,0,0,0.020529766
Jordan,transitional,0.029018411,0.249709746,0,0,0,0,0,0,0,0.278728158
Kazakhstan,transitional,0.578551857,1.20882996,3.143071345,3.187375805,0.095253828,0,0,0,0,8.213082795
Kenya,transitional,0.058582275,0.124614034,0.108440344,0.363480414,0.4764316,0.178769346,0.020132645,0,0.002284911,1.332735568
"Korea, Democratic Peoples Republic of",transitional,0,0,0,0,0,0,0,0,0,0
"Korea, Republic of",transitional,0,0,0,0,0,0,0,0,0,0
Kuwait,transitional,0,0.007918516,0.0004411,0,0,0,0,0,0,0.008359616
Kyrgyzstan,transitional,0.01847572,0.024271256,0.032427414,0.029179948,0.00219915,1.20E-05,0,0,0,0.106565483
Lao Peoples Democratic Republic,transitional,0.121209615,0.026491536,0.012991161,0.045067826,0.032292097,0,0,0,0,0.238052235
Latvia,transitional,0,0,0.001430589,0.060435677,0.006302527,0,0,0,0,0.068168793
Lebanon,transitional,0,0,0,0,0,0,0,0,0,0
Lesotho,transitional,0.000613016,0.018123804,0.049661106,0.000544043,0,0,0,0,0,0.068941969
Liberia,transitional,0.065369266,0,0,0,0,0,0,0,0,0.065369266
Libyan Arab Jamahiriya,transitional,0,0.919426981,1.706542597,0.000307554,0,0,0,0,0,2.626277132
Lithuania,transitional,0,0,0,0.000347251,0,0,0,0,0,0.000347251
Luxembourg,transitional,0,0,0,0,0,0,0,0,0,0
Madagascar,transitional,0.162585379,0.183819607,0.215319908,0.422429991,0.083921288,0.056017103,0.065865581,0,0.106030607,1.295989463
Malawi,transitional,0.007149345,0.008885656,0.000135552,0.007256171,0,0,0,0,0,0.023426724
Malaysia,transitional,0.037265565,0,0,0,0,0,0,0,0,0.037265565
Maldives,transitional,0,0,0,0,0,0,0,0,0,0
Mali,transitional,0.32309864,1.314161023,0.265233793,0,0,0,0,0,0,1.902493456
Malta,transitional,0,0,0,0,0,0,0,0,0,0
Mauritania,transitional,0,0,0.694776239,0.638090767,0.229080037,0.069220421,0.006849574,0,0,1.638017039
Mauritius,transitional,0,0,0,0,0,0,0,0,0,0
Mexico,transitional,1.013257012,0.712667772,0.334283288,0.116091844,0.030922792,0.008494941,0.016513555,0.004098139,0.011971272,2.248300615
Mongolia,transitional,0.080494452,0.26365315,0.296992202,0.060190061,0.000396051,0,0,0,0,0.701725916
Morocco,transitional,0.250610143,0.461657273,0.156090374,0.439187311,0.554720666,0.204097401,0.129217634,0.013188374,0.025381437,2.234150613
Mozambique,transitional,0.330626199,0.258839302,0.178488391,0.0172677,0.003332577,0,0,0,0,0.788554168
Myanmar,transitional,0.177904728,0.019700024,0.004501367,0,0,0,0,0,0,0.202106119
Namibia,transitional,0.19559007,0.185689954,0.081197767,0,0,0,0,0,0,0.462477791
