# File: A32.globaltech_coef.csv
# Title: Industry default coefficients
# Units: unitless
# Column types: ccccn 
# ----------
supplysector,subsector,technology,minicam.energy.input,terminal_coef
industry,industry,industry,industrial energy use,0.7
industry,industry,industry,industrial feedstocks,0.3
