# File: IEA_cement_TPE_GJt.csv
# Title: IEA cement total primary energy intensity
# Units: GJ per tonne of cement
# Description: GJ of energy used to produce a tonne of cement by country
# Source: IEA 2007 Figure 6.10
Country,1971,1990,2004,2010
United States,5.885,5.35,5.3,5.3
Canada,6.16,5.6,4.75,4.75
Mexico,5.225,4.75,3.9,3.9
China,5.72,5.2,4.3,4.3
Average,5.28,4.8,4.4,4.4
Italy,4.4,4,3.4,3.4
Brazil,3.96,3.6,3.35,3.35
Korea,5.665,5.15,4.3,4.3
Japan,3.74,3.4,3.35,3.35
Germany,4.4,4,3.5,3.5
Spain,4.125,3.75,3.5,3.5
India,6.325,5.75,3.8,3.8
