# File: A22.globaltech_interp.csv
# Title: Primary energy transformation technology interpolation
# Units: N/A
# Description: characteristics of interpolation functions for techs that may have calibrated values in subsectors with multiple calibrated technologies
# Column types: ccccccc 
# ----------
supplysector,subsector,technology,apply.to,from.year,to.year,interpolation.function
refining,biomass liquids,cellulosic ethanol,share-weight,final-calibration-year,initial-future-year,fixed
refining,biomass liquids,FT biofuels,share-weight,final-calibration-year,initial-future-year,linear
refining,biomass liquids,corn ethanol,share-weight,final-calibration-year,end-year,linear
refining,biomass liquids,sugar cane ethanol,share-weight,final-calibration-year,end-year,linear
refining,biomass liquids,biodiesel,share-weight,final-calibration-year,end-year,linear
