# File: A23.chp_elecratio.csv
# Title: Assumed CHP electricity output per unit fuel input
# Units: Unitless (EJ/EJ)
# Source: None (GCAM assumptions)
fuel,elec_ratio
biomass,0.2
coal,0.25
gas,0.25
refined liquids,0.25
hydrogen,0.5
