# File: calibrated_techs_bld_agg.csv
# Title: Mapping between intermediate sectors and fuels to the techs in aggregate buildings
# Units: NA
sector,fuel,supplysector,subsector,technology,minicam.energy.input,calibration
bld_resid,biomass,building,biomass,biomass,delivered biomass,input
bld_resid,coal,building,coal,coal,delivered coal,input
bld_resid,electricity,building,electricity,electricity,elect_td_bld,input
bld_resid,gas,building,gas,gas,delivered gas,input
bld_resid,heat,building,district heat,district heat,district heat,input
bld_resid,refined liquids,building,refined liquids,refined liquids,refined liquids enduse,input
bld_resid,traditional biomass,building,traditional biomass,traditional biomass,traditional biomass,input
bld_comm,biomass,building,biomass,biomass,delivered biomass,input
bld_comm,coal,building,coal,coal,delivered coal,input
bld_comm,electricity,building,electricity,electricity,elect_td_bld,input
bld_comm,gas,building,gas,gas,delivered gas,input
bld_comm,heat,building,district heat,district heat,district heat,input
bld_comm,refined liquids,building,refined liquids,refined liquids,refined liquids enduse,input
