# File: IEA_cement_fuelshares.csv
# Units: Unitless fractions
# Title: IEA cement production fuel shares by region
# Description: IEA 2007 Table 6.6 with modifications to assure that all rows add to 1 and with redesignation from biomass to pet coke
Country,Coal,Oil,Gas,Biomass
United States,0.66,0.3,0.03,0.01
Canada,0.52,0.05,0.18,0.25
Europe,0.29,0.55,0.01,0.15
Japan,0.8,0.2,0,0
Australia and New Zealand,0.58,0,0.38,0.04
China,0.94,0.06,0,0
Southeast Asia,0.82,0.09,0.08,0.01
Thailand,0.8,0.04,0,0.16
Brazil,0.01,0.02,0.01,0.96
South Korea,0.87,0.12,0,0.01
India,0.96,0.01,0.01,0.02
Former Soviet Union,0.07,0.24,0.68,0.01
Latin America,0.22,0.39,0.26,0.13
Africa,0.29,0.37,0.29,0.05
Middle East,0,0.65,0.35,0
