# File: A61.rsrc_info.csv
# Title: Carbon storage resource info
# Units: MtC for output unit; 1990$/tC for price unit; unitless for capacity factor
# Column types: cccccic
# ----------
resource,resource_type,market,output-unit,price-unit,capacity.factor,subresource
offshore carbon-storage,unlimited-resource,global,MtC,1990$/tC,0,
onshore carbon-storage,resource,regional,MtC,1990$/tC,,onshore carbon-storage
