# File: EIA_RFO_intlship_kbbld.csv
# Title: EIA International Energy Statistics - Bunkering
# Description: Residual fuel oil (RFO) bunkering by international ships in thousand barrels of oil per day
# Units: Thousand barrels of oil per day
# Source: EIA
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Country,Unit,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1000 bbl/d,5.1,3.6,1.8,1.8,1.8,1.8,0.9,1.1,1.3,1.1,1.9,3.3,3,3.1,3.3,2.6,3.3,2.8,4.9,5.6,4.8,5.4,5,4.4,5,3.9,3.9,3.9,3.813534247
American Samoa,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,1000 bbl/d,7.3,8.2,8.3,8.2,8.1,8.2,8.2,8,8,7.8,7.9,8,0,0,0,0,0,0,0,0.3,0.018246575,0,0,3.4,3.2,2.9,3.2,1.3,6.751232877
Antarctica,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054739726,0.054739726,0.054739726,0.072986301,0.072986301,0.060213699,0.06004918,0.054739726,0.054739726
Argentina,1000 bbl/d,3.9,6.4,5.5,7.9,7.2,3,4.1,3.6,4.7,3.6,6.8,7.5,7.3,8.3,5.2,6.3,6.5,7.4,6.4,9.7,11,12,13,13,18,22,28,29,25.69117808
Armenia,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.200712329
Australia,1000 bbl/d,7,7.7,8.6,11,8.8,8.7,8.7,9.3,12,14,13,11,12,14,12,12,11,11,13,15,14,15,16,12,11,13,13,13,12.57189041
Austria,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas, The",1000 bbl/d,3.6,5.8,2.3,2.8,5.6,3.5,2.9,2.9,2.8,2.8,2.8,5.9,2.8,2.8,2.8,2.8,2.8,3.6,3.8,2.8,4,4,4,4.1,4.1,4.1,4.1,2.5,2.481534247
Bahrain,1000 bbl/d,0,0,1.8,1.8,2,2,2,1.8,1.8,1.8,0.8,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.1,0,0,0,1.2,1.4,1.4,1.5,1.5,1.496219178
Bangladesh,1000 bbl/d,0.1,0.09123,0.09098,0.09123,0,0,0,0,0,0,0,0.1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1.5,1.6,1.7,1.8,1.824657534
Barbados,1000 bbl/d,0.7,0.6,0.09098,0.09,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,1000 bbl/d,40,51,56,59,63,64,62,66,64,58,70,80,86,70,84,82,112,114,143,131,141,159,161,122,109,125,99,102,88.92164384
Belize,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,1000 bbl/d,0.01824,0.01824,0.01819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054590164,0.054739726,0.054739726,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.346684932
Bhutan,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1000 bbl/d,14,12,8.2,9.2,7.5,13,14,17,20,19,20,24,24,24,43,40,56,49,49,53,51,56,70,57,61,72,64,54,57.02054795
Brunei,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.8,1.2,1.5,1.313753425
Bulgaria,1000 bbl/d,0,0,0,0,0,3.9,3.8,2.6,3.9,3.9,3.3,4.7,4,4,0,0.018246575,0.018246575,0,0,0,0,0,0.3,1,0.8,0.5,0.3,0.6,0.474410959
Burkina Faso,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burma (Myanmar),1000 bbl/d,0,0,0,0,0,0,0,0,0.05473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018246575,0,0,0,0,0.036393443,0.036493151,0.1,0.1,0.1,0.091232877,0.072986301,0.072986301,0.072986301,0.072986301,0.072986301
Canada,1000 bbl/d,5.2,7.8,7.9,8.9,8.6,9.3,9.3,8.7,9.8,9.3,9.9,7,18,17,17,16,18,16,16,11,8.3,9.4,11,8.9,9.7,11,8.8,6.5,7.341369863
