# File: IEA_product_rsrc.csv
# Title: Mapping from IEA product names to intermediate fuel names
# Units: NA
# Source: IEA
# Column types: cc
# ----------
PRODUCT,resource
Crude/NGL/feedstocks (if no detail),crude oil
Crude oil,crude oil
Natural gas liquids,crude oil
Refinery feedstocks,crude oil
Additives/blending components,crude oil
Other hydrocarbons,crude oil
Natural gas,natural gas
Hard coal (if no detail),coal
Brown coal (if no detail),coal
Anthracite,coal
Coking coal,coal
Other bituminous coal,coal
Sub-bituminous coal,coal
Lignite,coal
Patent fuel,coal
Coke oven coke,coal
Gas coke,coal
Coal tar,coal
BKB,coal
Coke oven gas,coal
Blast furnace gas,coal
Other recovered gases,coal
Peat,coal
Peat products,coal
Oil shale and oil sands,coal
