# File: ATB_tech_mapping.csv
# Title: Mapping file to track between ATB technologies in historical ATB datasets
# Units: N/A
# Description: ATB technology mapping file
# Column types: ccccc
# ----------
tech_type,tech_detail_standard,tech_detail_ATB2021,tech_detail_ATB2019,tech_detail_ATB2017
Offshore Wind,Class 1,Class 1,Class 1,Class 1
Offshore Wind,Class 2,Class 2,Class 2,Class 2
Offshore Wind,Class 3,Class 3,Class 3,Class 3
Offshore Wind,Class 4,Class 4,Class 4,Class 4
Offshore Wind,Class 5,Class 5,Class 5,Class 5
Offshore Wind,Class 6,Class 6,Class 6,Class 6
Offshore Wind,Class 7,Class 7,Class 7,Class 7
Offshore Wind,Class 8,Class 8,Class 8,Class 8
Offshore Wind,Class 9,Class 9,Class 9,Class 9
Offshore Wind,Class 10,Class 10,Class 10,Class 10
Offshore Wind,Class 11,Class 11,Class 11,Class 11
Offshore Wind,Class 12,Class 12,Class 12,Class 12
Offshore Wind,Class 13,Class 13,Class 13,Class 13
Offshore Wind,Class 14,Class 14,Class 14,Class 14
Land-Based Wind,Class 1,Class 1,Class 1,Class 1
Land-Based Wind,Class 2,Class 2,Class 2,Class 2
Land-Based Wind,Class 3,Class 3,Class 3,Class 3
Land-Based Wind,Class 4,Class 4,Class 4,Class 4
Land-Based Wind,Class 5,Class 5,Class 5,Class 5
Land-Based Wind,Class 6,Class 6,Class 6,Class 6
Land-Based Wind,Class 7,Class 7,Class 7,Class 7
Land-Based Wind,Class 8,Class 8,Class 8,Class 8
Land-Based Wind,Class 9,Class 9,Class 9,Class 9
Land-Based Wind,Class 10,Class 10,Class 10,Class 10
Solar - Utility PV,Utility PV - Class 10,Utility PV - Class 10,Utility PV - Class 10,Utility PV - Class 10
Solar - Utility PV,Utility PV - Class 9,Utility PV - Class 9,Utility PV - Class 9,Utility PV - Class 9
Solar - Utility PV,Utility PV - Class 8,Utility PV - Class 8,Utility PV - Class 8,Utility PV - Class 8
