# File: enduse_fuel_aggregation.csv
# Title: Mapping from first intermediate fuel to sector-specific intermediate fuel
# Units: None
# Column types: cccccc
# ----------
fuel,electricity,heat,bld,industry,trn
biomass,biomass,biomass,biomass,biomass,
biomass_tradbio,,,traditional biomass,,
coal,coal,coal,coal,coal,coal
elec_geothermal,geothermal,,,,
elec_hydro,hydro,,,,
elec_nuclear,nuclear,,,,
elec_solar CSP,solar CSP,,,,
elec_solar PV,solar PV,,,,
elec_wind,wind,,,,
electricity,,,electricity,electricity,electricity
gas,gas,gas,gas,gas,gas
gasified biomass,gas,gas,gas,gas,gas
heat,,,heat,heat,
refined biofuels_ethanol,refined liquids,refined liquids,refined liquids,refined liquids,refined liquids
refined biofuels_FT,refined liquids,refined liquids,refined liquids,refined liquids,refined liquids
refined liquids,refined liquids,refined liquids,refined liquids,refined liquids,refined liquids
