GCAM_region_ID,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1,11061700,12301700,13415100,14734700,15944200,17089400,18171300,19168000,20169600,21221800,22321800,23378700,24382300,25392100,26353900,27275300,28166900,29023200
2,151681,187115,239023,321364,427674,569897,757699,1001240,1312480,1704600,2190720,2782950,3490100,4318030,5271850,6354800,7567590,8903240
3,418457,515864,627241,785335,960204,1154300,1367180,1596540,1845950,2116660,2406500,2705340,3008600,3315480,3626950,3943970,4264960,4585490
4,155398,172719,210847,265773,330685,416809,532062,683730,878857,1124660,1429020,1798990,2239510,2756700,3354640,4035530,4799740,5645760
5,499815,565196,690993,943391,1267270,1692310,2246100,2959480,3869620,5011330,6417850,8116500,10125200,12454700,15109900,18092500,21388400,24972900
6,1013810,1153370,1314320,1475910,1640200,1815660,2005630,2197920,2396550,2615050,2849350,3093570,3336930,3579410,3816480,4050460,4284010,4516300
7,1542340,1594470,1794230,2048040,2291770,2542590,2795310,3044500,3299120,3558100,3810910,4061910,4321010,4575940,4826990,5078120,5333660,5593580
8,1189120,1303870,1419620,1559950,1715090,1881650,2051400,2218400,2386880,2570660,2775330,2996170,3223430,3455510,3686480,3917570,4151310,4387790
9,262053,300442,351963,417694,490639,574240,669126,774543,890954,1018630,1158930,1312060,1477840,1656430,1846970,2048570,2260510,2481890
10,258597,312987,388181,478837,569439,658178,740861,812946,880544,952722,1033170,1115270,1192920,1269310,1346570,1427060,1510370,1593360
11,6071910,8274700,10848300,13347500,15451800,17313600,18949700,20227400,21139100,21888300,22480700,22935900,23223900,23430400,23519000,23546600,23542900,23526300
12,958330,1152470,1315290,1478060,1639620,1794310,1934410,2066120,2193720,2330180,2475900,2620240,2752790,2877300,2997710,3118060,3242850,3372810
13,10846800,11823400,12703600,13669100,14722700,15904200,17159300,18446700,19798800,21279500,22851000,24462900,26080600,27725500,29393000,31087100,32809900,34538300
14,124638,140321,162346,190483,220070,250196,279582,308158,338666,373383,410753,448067,483067,516526,549346,582147,614716,645743
15,810837,924137,1083520,1259630,1440390,1632730,1830430,2031640,2240200,2454530,2672900,2892910,3109910,3322880,3533070,3742060,3948980,4150880
16,736365,801817,870253,941527,1016360,1099410,1191350,1294380,1408140,1530820,1662330,1801250,1943290,2088430,2234280,2378780,2521880,2664230
17,1513310,2165120,3076200,3993430,5037220,6231990,7560790,9008460,10576900,12260000,14035400,15867400,17725500,19588600,21438700,23273400,25079500,26822000
18,651840,837321,1084670,1396780,1735400,2109670,2503010,2906020,3320230,3740410,4158750,4565410,4965270,5360460,5750370,6133410,6508830,6875020
19,3955420,4147700,4278420,4478920,4628380,4746770,4875720,5000510,5140260,5293340,5443000,5587800,5722770,5851660,5982280,6116940,6253460,6387760
20,807080,895830,1023000,1184930,1358670,1542880,1742500,1961500,2197610,2445730,2712140,2992850,3289830,3601500,3925790,4264470,4618420,4985370
21,1668220,1845090,2092670,2509670,2948220,3413380,3887310,4363090,4863120,5402810,5984260,6592110,7219160,7873060,8551790,9261250,9997360,10749200
22,140117,171873,199177,253047,321666,409223,517609,648276,803604,986667,1201000,1449070,1727110,2031500,2359960,2712330,3089000,3486220
23,1093970,1179610,1297180,1500160,1694180,1869510,2012230,2128160,2248270,2405100,2570840,2733060,2877810,3007890,3133120,3260100,3387790,3505570
24,276324,291276,324394,385096,448393,514984,583346,652790,725089,801699,880071,958484,1036830,1113710,1188430,1260900,1330230,1395330
25,200453,81651.3,80231.6,93578.9,108340,124234,141688,160664,181129,202906,225207,247718,270533,293979,317958,342090,366061,389854
26,419462,481139,567326,677414,792066,916978,1051840,1194950,1345450,1502780,1668270,1840920,2018690,2201390,2388020,2577860,2771120,2967030
27,183572,244613,326230,421451,529487,657972,807946,981994,1184000,1417570,1684030,1985020,2323980,2699770,3113260,3565840,4059760,4594050
28,837006,961501,1109410,1257730,1390040,1505690,1607260,1692750,1769480,1824990,1868890,1912940,1947690,1980910,2009990,2033600,2051990,2066620
29,1030780,1298990,1632840,1993860,2379410,2805890,3269250,3763810,4294500,4860000,5458560,6081350,6723950,7380810,8045670,8719010,9399600,10084300
30,335757,378934,423712,461699,497552,530247,555477,571518,580142,588310,616119,643741,668644,689940,705568,716537,723226,726413
31,302700,299450,354128,412773,473947,535331,596054,658437,722758,788247,854509,920334,984459,1047940,1111350,1175160,1238660,1301060
32,236923,270053,321869,377649,440367,511371,589467,674684,767172,866611,973183,1085850,1202870,1324140,1447800,1572540,1697730,1822210
