glu,type,Year,value
1,1,2015,25.0264
1,2,2015,75.4663
1,3,2015,0.45083
1,4,2015,4.95991
1,5,2015,76.1118
1,6,2015,28.5713
1,7,2015,0
1,8,2015,0
1,9,2015,1.65528e+06
2,1,2015,213.883
2,2,2015,28.2265
2,3,2015,0.55284
2,4,2015,0.20913
2,5,2015,335.469
2,6,2015,8.99561
2,7,2015,105.63
2,8,2015,0
2,9,2015,18300
3,1,2015,1.01671
3,2,2015,0.19975
3,3,2015,0.00331
3,4,2015,0
3,5,2015,47.1031
3,6,2015,0.0936201
3,7,2015,263.188
3,8,2015,0
3,9,2015,0
4,1,2015,0
4,2,2015,5.08706
4,3,2015,0.17255
4,4,2015,0.46672
4,5,2015,3.73774
4,6,2015,8.6443
4,7,2015,0
4,8,2015,0
4,9,2015,150700
5,1,2015,0.56498
5,2,2015,6.51669
5,3,2015,0.0748
5,4,2015,0
5,5,2015,71.6924
5,6,2015,17.9291
5,7,2015,2.11557
5,8,2015,0
5,9,2015,0
6,1,2015,4.77181
6,2,2015,86.9684
6,3,2015,0.27086
6,4,2015,82.9953
6,5,2015,370.455
6,6,2015,45.8735
6,7,2015,0.36387
6,8,2015,0
6,9,2015,4.22449e+07
7,1,2015,11.7175
7,2,2015,487.602
7,3,2015,5.44839
7,4,2015,23.62
7,5,2015,1155.72
7,6,2015,495.093
7,7,2015,466.662
7,8,2015,0
7,9,2015,1.1286e+07
8,1,2015,68.4732
8,2,2015,108.522
8,3,2015,0.84963
8,4,2015,9.35087
8,5,2015,129.878
8,6,2015,70.7022
8,7,2015,59.5552
8,8,2015,0
8,9,2015,3.8492e+06
9,1,2015,240.304
9,2,2015,172.438
9,3,2015,0.39039
9,4,2015,7.56531
9,5,2015,338.666
9,6,2015,26.4947
9,7,2015,16.9271
9,8,2015,0
9,9,2015,2.627e+06
10,1,2015,0
10,2,2015,0.03667
10,3,2015,0.00853
10,4,2015,0
10,5,2015,0
10,6,2015,0.01138
10,7,2015,68.1758
10,8,2015,0
10,9,2015,0
11,1,2015,12.3839
11,2,2015,1.57223
11,3,2015,1.75975
11,4,2015,25.854
11,5,2015,143.126
11,6,2015,86.5487
11,7,2015,255.992
11,8,2015,0
11,9,2015,6.3634e+06
12,1,2015,26.3216
12,2,2015,27.551
12,3,2015,1.54689
12,4,2015,0.0434349
12,5,2015,419.138
12,6,2015,20.8223
12,7,2015,3523.98
12,8,2015,0
12,9,2015,13225
13,1,2015,0
13,2,2015,0
13,3,2015,0
13,4,2015,0
13,5,2015,0
13,6,2015,0.00388
13,7,2015,2.15662
13,8,2015,0
13,9,2015,0
14,1,2015,0.07774
14,2,2015,0
14,3,2015,0.02179
14,4,2015,0
14,5,2015,0
14,6,2015,0
14,7,2015,118.99
14,8,2015,0
14,9,2015,0
15,1,2015,0.02379
15,2,2015,0.36233
15,3,2015,0.06449
15,4,2015,0
15,5,2015,0
15,6,2015,1.25985
15,7,2015,34.8375
15,8,2015,0
15,9,2015,0
16,1,2015,17.9231
16,2,2015,16.7282
16,3,2015,4.41065
16,4,2015,1.57473
16,5,2015,183.97
16,6,2015,152.367
16,7,2015,171.05
16,8,2015,0
16,9,2015,727150
17,1,2015,0
17,2,2015,0
17,3,2015,0.06496
17,4,2015,0
17,5,2015,0
17,6,2015,0
17,7,2015,162.977
17,8,2015,0
17,9,2015,0
18,1,2015,0.271505
18,2,2015,1.83344
18,3,2015,2.98476
18,4,2015,1.48173
18,5,2015,0
18,6,2015,31.3691
18,7,2015,216.043
