region,sector,Year,value
USA,surface,0,1373.85
USA,aircraft,0,13.0988
USA,shipment,0,27.9489
Africa_Eastern,surface,0,19.5133
Africa_Eastern,aircraft,0,0.978143
Africa_Eastern,shipment,0,1.81996
Africa_Northern,surface,0,137.938
Africa_Northern,aircraft,0,1.26325
Africa_Northern,shipment,0,3.49267
Africa_Southern,surface,0,19.7187
Africa_Southern,aircraft,0,0.404214
Africa_Southern,shipment,0,0.769891
Africa_Western,surface,0,46.0055
Africa_Western,aircraft,0,0.885501
Africa_Western,shipment,0,1.97908
Australia_NZ,surface,0,114.032
Australia_NZ,aircraft,0,4.08183
Australia_NZ,shipment,0,0.817556
Brazil,surface,0,130.755
Brazil,aircraft,0,2.75461
Brazil,shipment,0,4.91161
Canada,surface,0,148.75
Canada,aircraft,0,0.68675
Canada,shipment,0,0.343693
Central America and Caribbean,surface,0,47.8778
Central America and Caribbean,aircraft,0,1.56863
Central America and Caribbean,shipment,0,7.29097
Central Asia,surface,0,138.833
Central Asia,aircraft,0,0.491786
Central Asia,shipment,0,1.10904
China,surface,0,2956.69
China,aircraft,0,9.90215
China,shipment,0,22.9021
EU-12,surface,0,181.229
EU-12,aircraft,0,1.50172
EU-12,shipment,0,2.63249
EU-15,surface,0,738.429
EU-15,aircraft,0,18.7219
EU-15,shipment,0,33.0879
Europe_Eastern,surface,0,76.7884
Europe_Eastern,aircraft,0,0.080564
Europe_Eastern,shipment,0,0.224081
Europe_Non_EU,surface,0,126.439
Europe_Non_EU,aircraft,0,2.00977
Europe_Non_EU,shipment,0,0.99634
European Free Trade Association,surface,0,21.0723
European Free Trade Association,aircraft,0,1.12177
European Free Trade Association,shipment,0,0.115878
India,surface,0,617.898
India,aircraft,0,2.73637
India,shipment,0,4.41402
Indonesia,surface,0,133.807
Indonesia,aircraft,0,2.83
Indonesia,shipment,0,0.857803
Japan,surface,0,321.337
Japan,aircraft,0,4.47476
Japan,shipment,0,2.88373
Mexico,surface,0,132.112
Mexico,aircraft,0,1.9374
Mexico,shipment,0,0.646057
Middle East,surface,0,521.683
Middle East,aircraft,0,15.6325
Middle East,shipment,0,30.2508
Pakistan,surface,0,47.5693
Pakistan,aircraft,0,0.663476
Pakistan,shipment,0,0.24374
Russia,surface,0,451.589
Russia,aircraft,0,2.86668
Russia,shipment,0,16.7634
South Africa,surface,0,131.996
South Africa,aircraft,0,0.897983
South Africa,shipment,0,2.80365
South America_Northern,surface,0,39.7106
South America_Northern,aircraft,0,0.480909
South America_Northern,shipment,0,1.28993
South America_Southern,surface,0,57.5416
South America_Southern,aircraft,0,1.49016
South America_Southern,shipment,0,1.81915
South Asia,surface,0,34.3172
South Asia,aircraft,0,0.913087
South Asia,shipment,0,1.2388
South Korea,surface,0,174.474
South Korea,aircraft,0,0.390326
South Korea,shipment,0,6.61097
Southeast Asia,surface,0,262.55
Southeast Asia,aircraft,0,13.7148
Southeast Asia,shipment,0,48.0801
Taiwan,surface,0,73.0879
Taiwan,aircraft,0,2.17271
Taiwan,shipment,0,2.95411
Argentina,surface,0,53.0429
Argentina,aircraft,0,0.807716
Argentina,shipment,0,1.99239
Colombia,surface,0,23.1711
Colombia,aircraft,0,0.765235
Colombia,shipment,0,1.58543
