# File: ILO_ISIC_sector_mapping.csv
# Title: ILO ISIC sectors by version
# Units: NA
# Description: ISIC sector names and grouping by region
# Source: https://ilostat.ilo.org/methods/concepts-and-definitions/classification-economic-activities/
# Last update: Aug 2025 (XZ)
# Column types: ccc
ISIC_version,ISIC_division,GCAM_sector
ISIC3.1,"ISIC3.1_01 - Agriculture, hunting and related service activities",crop_livestock
ISIC3.1,"ISIC3.1_02 - Forestry, logging and related service activities",forest
ISIC3.1,"ISIC3.1_05 - Fishing, aquaculture and service activities incidental to fishing",fish
ISIC3.1,ISIC3.1_10 - Mining of coal and lignite; extraction of peat,
ISIC3.1,"ISIC3.1_11 - Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying",
ISIC3.1,ISIC3.1_12 - Mining of uranium and thorium ores,
ISIC3.1,ISIC3.1_13 - Mining of metal ores,
ISIC3.1,ISIC3.1_14 - Other mining and quarrying,
ISIC3.1,ISIC3.1_15 - Manufacture of food products and beverages,
ISIC3.1,ISIC3.1_16 - Manufacture of tobacco products,
ISIC3.1,ISIC3.1_17 - Manufacture of textiles,
ISIC3.1,ISIC3.1_18 - Manufacture of wearing apparel; dressing and dyeing of fur,
ISIC3.1,"ISIC3.1_19 - Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear",
ISIC3.1,"ISIC3.1_20 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",
ISIC3.1,ISIC3.1_21 - Manufacture of paper and paper products,
ISIC3.1,"ISIC3.1_22 - Publishing, printing and reproduction of recorded media",
ISIC3.1,"ISIC3.1_23 - Manufacture of coke, refined petroleum products and nuclear fuel",
ISIC3.1,ISIC3.1_24 - Manufacture of chemicals and chemical products,
ISIC3.1,ISIC3.1_25 - Manufacture of rubber and plastics products,
ISIC3.1,ISIC3.1_26 - Manufacture of other non-metallic mineral products,
ISIC3.1,ISIC3.1_27 - Manufacture of basic metals,
ISIC3.1,"ISIC3.1_28 - Manufacture of fabricated metal products, except machinery and equipment",
ISIC3.1,ISIC3.1_29 - Manufacture of machinery and equipment n.e.c.,
ISIC3.1,"ISIC3.1_30 - Manufacture of office, accounting and computing machinery",
ISIC3.1,ISIC3.1_31 - Manufacture of electrical machinery and apparatus n.e.c.,
ISIC3.1,"ISIC3.1_32 - Manufacture of radio, television and communication equipment and apparatus",
ISIC3.1,"ISIC3.1_33 - Manufacture of medical, precision and optical instruments, watches and clocks",
ISIC3.1,"ISIC3.1_34 - Manufacture of motor vehicles, trailers and semi-trailers",
ISIC3.1,ISIC3.1_35 - Manufacture of other transport equipment,
ISIC3.1,ISIC3.1_36 - Manufacture of furniture; manufacturing n.e.c.,
ISIC3.1,ISIC3.1_37 - Recycling,
ISIC3.1,"ISIC3.1_40 - Electricity, gas, steam and hot water supply",
ISIC3.1,"ISIC3.1_41 - Collection, purification and distribution of water",
ISIC3.1,ISIC3.1_45 - Construction,
ISIC3.1,"ISIC3.1_50 - Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel",
ISIC3.1,"ISIC3.1_51 - Wholesale trade and commission trade, except of motor vehicles and motorcycles",
ISIC3.1,"ISIC3.1_52 - Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",
ISIC3.1,ISIC3.1_55 - Hotels and restaurants,
ISIC3.1,ISIC3.1_60 - Land transport; transport via pipelines,
ISIC3.1,ISIC3.1_61 - Water transport,
ISIC3.1,ISIC3.1_62 - Air transport,
ISIC3.1,ISIC3.1_63 - Supporting and auxiliary transport activities; activities of travel agencies,
ISIC3.1,ISIC3.1_64 - Post and telecommunications,
ISIC3.1,"ISIC3.1_65 - Financial intermediation, except insurance and pension funding",
ISIC3.1,"ISIC3.1_66 - Insurance and pension funding, except compulsory social security",
ISIC3.1,ISIC3.1_67 - Activities auxiliary to financial intermediation,
ISIC3.1,ISIC3.1_70 - Real estate activities,
ISIC3.1,ISIC3.1_71 - Renting of machinery and equipment without operator and of personal and household goods,
ISIC3.1,ISIC3.1_72 - Computer and related activities,
ISIC3.1,ISIC3.1_73 - Research and development,
ISIC3.1,ISIC3.1_74 - Other business activities,
ISIC3.1,ISIC3.1_75 - Public administration and defence; compulsory social security,
ISIC3.1,ISIC3.1_80 - Education,
ISIC3.1,ISIC3.1_85 - Health and social work,
ISIC3.1,"ISIC3.1_90 - Sewage and refuse disposal, sanitation and similar activities",
ISIC3.1,ISIC3.1_91 - Activities of membership organizations n.e.c.,
ISIC3.1,"ISIC3.1_92 - Recreational, cultural and sporting activities",
ISIC3.1,ISIC3.1_93 - Other service activities,
ISIC3.1,ISIC3.1_95 - Activities of private households as employers of domestic staff,
ISIC3.1,ISIC3.1_96 - Undifferentiated goods-producing activities of private households for own use,
ISIC3.1,ISIC3.1_97 - Undifferentiated service-producing activities of private households for own use,
ISIC3.1,ISIC3.1_99 - Extraterritorial organizations and bodies,
ISIC3.1,ISIC3.1_Not elsewhere classified,
ISIC3.1,ISIC3.1_Total,total
ISIC4,"ISIC4_01 - Crop and animal production, hunting and related service activities",crop_livestock
ISIC4,ISIC4_02 - Forestry and logging,forest
ISIC4,ISIC4_03 - Fishing and aquaculture,fish
ISIC4,ISIC4_05 - Mining of coal and lignite,
ISIC4,ISIC4_06 - Extraction of crude petroleum and natural gas,
ISIC4,ISIC4_07 - Mining of metal ores,
ISIC4,ISIC4_08 - Other mining and quarrying,
ISIC4,ISIC4_09 - Mining support service activities,
ISIC4,ISIC4_10 - Manufacture of food products,
ISIC4,ISIC4_11 - Manufacture of beverages,
ISIC4,ISIC4_12 - Manufacture of tobacco products,
ISIC4,ISIC4_13 - Manufacture of textiles,
ISIC4,ISIC4_14 - Manufacture of wearing apparel,
ISIC4,ISIC4_15 - Manufacture of leather and related products,
ISIC4,"ISIC4_16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",
ISIC4,ISIC4_17 - Manufacture of paper and paper products,
ISIC4,ISIC4_18 - Printing and reproduction of recorded media,
ISIC4,ISIC4_19 - Manufacture of coke and refined petroleum products,
ISIC4,ISIC4_20 - Manufacture of chemicals and chemical products,
ISIC4,"ISIC4_21 - Manufacture of pharmaceuticals, medicinal chemical and botanical products",
ISIC4,ISIC4_22 - Manufacture of rubber and plastics products,
ISIC4,ISIC4_23 - Manufacture of other non-metallic mineral products,
ISIC4,ISIC4_24 - Manufacture of basic metals,
