# File: Mueller_yield_levels.csv
# Title: Attainable yield levels by country and basin
# Units: tons/ha
# Description: Min, average, and max refer to the respective yields observed in grid cells within country, basin, and crop; count is the number of grid cells with harvested area for the given crop, country, and basin.
# Source: Mueller, N. D., Gerber, J. S., Johnston, M., Ray, D. K., Ramankutty, N. and Foley, J. A.: Closing yield gaps through nutrient and water management, Nature, 490(7419), 254–257, doi:10.1038/nature11420, 2012. Geospatial data processed by Yannick Le Page.
# https://github.com/JGCRI/lds
Country,Basin,crop,yield_level,min,average,max,Count
abw,143,maize,_02ndpercentileyield,NA,NA,NA,NA
afg,52,maize,_02ndpercentileyield,0.13,1.58,3.17,771
afg,58,maize,_02ndpercentileyield,0.13,1.51,3.17,1258
afg,89,maize,_02ndpercentileyield,0.13,1.68,3.34,616
afg,90,maize,_02ndpercentileyield,0.13,1.77,3.17,357
afg,97,maize,_02ndpercentileyield,0.13,1.83,3.17,1121
afg,102,maize,_02ndpercentileyield,NA,NA,NA,NA
ago,162,maize,_02ndpercentileyield,0.46,0.48,0.65,44
ago,182,maize,_02ndpercentileyield,0.13,0.44,1.59,4069
ago,183,maize,_02ndpercentileyield,0.38,0.67,0.8,2882
ago,188,maize,_02ndpercentileyield,0.13,0.45,1.07,2454
ago,197,maize,_02ndpercentileyield,0.13,0.35,0.64,2029
aia,101,maize,_02ndpercentileyield,NA,NA,NA,NA
alb,54,maize,_02ndpercentileyield,NA,NA,NA,NA
alb,55,maize,_02ndpercentileyield,0.84,1.38,3.34,397
and,64,maize,_02ndpercentileyield,NA,NA,NA,NA
and,73,maize,_02ndpercentileyield,NA,NA,NA,NA
ant,143,maize,_02ndpercentileyield,NA,NA,NA,NA
are,94,maize,_02ndpercentileyield,NA,NA,NA,NA
arg,169,maize,_02ndpercentileyield,1.05,1.49,2.12,11
arg,200,maize,_02ndpercentileyield,NA,NA,NA,NA
arg,203,maize,_02ndpercentileyield,0.13,0.66,3.17,1458
arg,205,maize,_02ndpercentileyield,0.13,0.6,3.17,1249
arg,206,maize,_02ndpercentileyield,0.13,0.66,3.17,8857
arg,207,maize,_02ndpercentileyield,NA,NA,NA,NA
arg,209,maize,_02ndpercentileyield,0.32,1.28,2.42,2415
arg,210,maize,_02ndpercentileyield,0.9,1.59,2.97,3179
arg,212,maize,_02ndpercentileyield,0.13,1.2,3.17,934
arg,213,maize,_02ndpercentileyield,1.05,1.79,3.17,471
arg,214,maize,_02ndpercentileyield,1.52,1.73,2.41,77
arg,215,maize,_02ndpercentileyield,1.52,2.13,2.85,88
arm,72,maize,_02ndpercentileyield,1.52,2.39,3.17,273
asm,176,maize,_02ndpercentileyield,NA,NA,NA,NA
atg,101,maize,_02ndpercentileyield,NA,NA,NA,NA
aus,184,maize,_02ndpercentileyield,0.13,0.49,0.76,1571
aus,189,maize,_02ndpercentileyield,0.13,1.01,3.34,3840
aus,191,maize,_02ndpercentileyield,0.13,0.98,2.01,913
aus,193,maize,_02ndpercentileyield,0.13,0.14,0.47,52
aus,202,maize,_02ndpercentileyield,0.32,1.41,1.72,210
aus,208,maize,_02ndpercentileyield,0.13,0.84,3.34,5929
aus,211,maize,_02ndpercentileyield,NA,NA,NA,NA
aus,216,maize,_02ndpercentileyield,NA,NA,NA,NA
aut,31,maize,_02ndpercentileyield,1.05,1.37,2.12,14
aut,32,maize,_02ndpercentileyield,1.36,1.36,1.36,8
aut,54,maize,_02ndpercentileyield,1.05,1.63,2.46,563
aut,57,maize,_02ndpercentileyield,NA,NA,NA,NA
aze,45,maize,_02ndpercentileyield,2.14,2.71,2.85,5
aze,72,maize,_02ndpercentileyield,0.32,1.68,3.17,1186
bdi,87,maize,_02ndpercentileyield,0.37,0.52,1.07,157
bdi,183,maize,_02ndpercentileyield,0.37,0.6,1.07,123
bel,32,maize,_02ndpercentileyield,1.05,1.55,2.12,243
bel,36,maize,_02ndpercentileyield,1.05,1.6,2.12,284
bel,41,maize,_02ndpercentileyield,1.81,1.81,1.81,1
bel,46,maize,_02ndpercentileyield,1.36,1.36,1.36,1
ben,142,maize,_02ndpercentileyield,0.46,0.62,0.63,638
ben,149,maize,_02ndpercentileyield,0.46,0.6,0.63,445
ben,160,maize,_02ndpercentileyield,0.46,0.61,0.63,155
bfa,142,maize,_02ndpercentileyield,0.46,0.62,0.63,172
bfa,149,maize,_02ndpercentileyield,0.46,0.5,0.63,332
bfa,160,maize,_02ndpercentileyield,0.47,0.52,0.63,1575
bgd,110,maize,_02ndpercentileyield,0.4,0.54,0.58,1137
bgd,116,maize,_02ndpercentileyield,0.58,0.58,0.58,73
bgr,54,maize,_02ndpercentileyield,1.05,2.13,2.46,712
bgr,55,maize,_02ndpercentileyield,1.05,2.09,2.46,886
bhr,94,maize,_02ndpercentileyield,NA,NA,NA,NA
bhs,101,maize,_02ndpercentileyield,NA,NA,NA,NA
bih,54,maize,_02ndpercentileyield,1.36,1.78,3.34,533
bih,55,maize,_02ndpercentileyield,0.84,1.31,1.73,183
blr,17,maize,_02ndpercentileyield,1.81,1.81,1.81,8
blr,25,maize,_02ndpercentileyield,1.81,1.82,2.42,591
blr,30,maize,_02ndpercentileyield,2.41,2.42,2.85,178
blr,35,maize,_02ndpercentileyield,1.81,1.93,2.42,861
blr,39,maize,_02ndpercentileyield,1.81,2.27,2.42,2293
blz,111,maize,_02ndpercentileyield,0.47,0.55,0.71,153
blz,133,maize,_02ndpercentileyield,NA,NA,NA,NA
bol,156,maize,_02ndpercentileyield,0.13,0.62,3.17,5373
bol,200,maize,_02ndpercentileyield,2.41,2.41,2.41,23
bol,206,maize,_02ndpercentileyield,0.13,0.81,3.17,2052
bol,207,maize,_02ndpercentileyield,NA,NA,NA,NA
bra,156,maize,_02ndpercentileyield,0.4,0.55,0.76,12267
bra,161,maize,_02ndpercentileyield,0.43,0.53,0.58,166
bra,168,maize,_02ndpercentileyield,0.47,0.48,0.58,233
bra,172,maize,_02ndpercentileyield,0.4,0.48,0.63,2170
bra,174,maize,_02ndpercentileyield,0.4,0.5,1.07,9130
bra,186,maize,_02ndpercentileyield,0.13,0.45,0.76,3099
