# File: LDS_land_types.csv
# Title: Mapping from LDS land categories to specific categories in databases
# Units: NA
# Description: Mapping from LDS land categories to specific categories in databases
# Original source: land type area and pot veg carbon calc in: moirai
# Source: https://github.com/JGCRI/moirai
# Column types: iccc 
# ----------
Category,LT_SAGE,LT_HYDE,Status
0,Unknown,Unmanaged,Unknown
1,Unknown,Unmanaged,UnsuitableUnprotected
2,Unknown,Unmanaged,SuitableUnprotected
3,Unknown,Unmanaged,SuitableHighProtectionIntact
4,Unknown,Unmanaged,SuitbaleHighProtectionDeforested
5,Unknown,Unmanaged,SuitableLow Protection
6,Unknown,Unmanaged,UnsuitableHighProtection
7,Unknown,Unmanaged,UnsuitableLowProtection
10,Unknown,Cropland,Unknown
11,Unknown,Cropland,UnsuitableUnprotected
12,Unknown,Cropland,SuitableUnprotected
13,Unknown,Cropland,SuitableHighProtectionIntact
14,Unknown,Cropland,SuitbaleHighProtectionDeforested
15,Unknown,Cropland,SuitableLow Protection
16,Unknown,Cropland,UnsuitableHighProtection
17,Unknown,Cropland,UnsuitableLowProtection
20,Unknown,Pasture,Unknown
21,Unknown,Pasture,UnsuitableUnprotected
22,Unknown,Pasture,SuitableUnprotected
23,Unknown,Pasture,SuitableHighProtectionIntact
24,Unknown,Pasture,SuitbaleHighProtectionDeforested
25,Unknown,Pasture,SuitableLow Protection
26,Unknown,Pasture,UnsuitableHighProtection
27,Unknown,Pasture,UnsuitableLowProtection
30,Unknown,UrbanLand,Unknown
31,Unknown,UrbanLand,UnsuitableUnprotected
32,Unknown,UrbanLand,SuitableUnprotected
33,Unknown,UrbanLand,SuitableHighProtectionIntact
34,Unknown,UrbanLand,SuitbaleHighProtectionDeforested
35,Unknown,UrbanLand,SuitableLow Protection
36,Unknown,UrbanLand,UnsuitableHighProtection
37,Unknown,UrbanLand,UnsuitableLowProtection
100,TropicalEvergreenForest/Woodland,Unmanaged,Unknown
101,TropicalEvergreenForest/Woodland,Unmanaged,UnsuitableUnprotected
102,TropicalEvergreenForest/Woodland,Unmanaged,SuitableUnprotected
103,TropicalEvergreenForest/Woodland,Unmanaged,SuitableHighProtectionIntact
104,TropicalEvergreenForest/Woodland,Unmanaged,SuitbaleHighProtectionDeforested
105,TropicalEvergreenForest/Woodland,Unmanaged,SuitableLow Protection
106,TropicalEvergreenForest/Woodland,Unmanaged,UnsuitableHighProtection
107,TropicalEvergreenForest/Woodland,Unmanaged,UnsuitableLowProtection
110,TropicalEvergreenForest/Woodland,Cropland,Unknown
111,TropicalEvergreenForest/Woodland,Cropland,UnsuitableUnprotected
112,TropicalEvergreenForest/Woodland,Cropland,SuitableUnprotected
113,TropicalEvergreenForest/Woodland,Cropland,SuitableHighProtectionIntact
114,TropicalEvergreenForest/Woodland,Cropland,SuitbaleHighProtectionDeforested
115,TropicalEvergreenForest/Woodland,Cropland,SuitableLow Protection
116,TropicalEvergreenForest/Woodland,Cropland,UnsuitableHighProtection
117,TropicalEvergreenForest/Woodland,Cropland,UnsuitableLowProtection
120,TropicalEvergreenForest/Woodland,Pasture,Unknown
121,TropicalEvergreenForest/Woodland,Pasture,UnsuitableUnprotected
122,TropicalEvergreenForest/Woodland,Pasture,SuitableUnprotected
123,TropicalEvergreenForest/Woodland,Pasture,SuitableHighProtectionIntact
124,TropicalEvergreenForest/Woodland,Pasture,SuitbaleHighProtectionDeforested
125,TropicalEvergreenForest/Woodland,Pasture,SuitableLow Protection
126,TropicalEvergreenForest/Woodland,Pasture,UnsuitableHighProtection
127,TropicalEvergreenForest/Woodland,Pasture,UnsuitableLowProtection
130,TropicalEvergreenForest/Woodland,UrbanLand,Unknown
131,TropicalEvergreenForest/Woodland,UrbanLand,UnsuitableUnprotected
132,TropicalEvergreenForest/Woodland,UrbanLand,SuitableUnprotected
133,TropicalEvergreenForest/Woodland,UrbanLand,SuitableHighProtectionIntact
134,TropicalEvergreenForest/Woodland,UrbanLand,SuitbaleHighProtectionDeforested
135,TropicalEvergreenForest/Woodland,UrbanLand,SuitableLow Protection
136,TropicalEvergreenForest/Woodland,UrbanLand,UnsuitableHighProtection
137,TropicalEvergreenForest/Woodland,UrbanLand,UnsuitableLowProtection
200,TropicalDeciduousForest/Woodland,Unmanaged,Unknown
201,TropicalDeciduousForest/Woodland,Unmanaged,UnsuitableUnprotected
202,TropicalDeciduousForest/Woodland,Unmanaged,SuitableUnprotected
203,TropicalDeciduousForest/Woodland,Unmanaged,SuitableHighProtectionIntact
204,TropicalDeciduousForest/Woodland,Unmanaged,SuitbaleHighProtectionDeforested
205,TropicalDeciduousForest/Woodland,Unmanaged,SuitableLow Protection
206,TropicalDeciduousForest/Woodland,Unmanaged,UnsuitableHighProtection
207,TropicalDeciduousForest/Woodland,Unmanaged,UnsuitableLowProtection
210,TropicalDeciduousForest/Woodland,Cropland,Unknown
211,TropicalDeciduousForest/Woodland,Cropland,UnsuitableUnprotected
212,TropicalDeciduousForest/Woodland,Cropland,SuitableUnprotected
213,TropicalDeciduousForest/Woodland,Cropland,SuitableHighProtectionIntact
214,TropicalDeciduousForest/Woodland,Cropland,SuitbaleHighProtectionDeforested
215,TropicalDeciduousForest/Woodland,Cropland,SuitableLow Protection
216,TropicalDeciduousForest/Woodland,Cropland,UnsuitableHighProtection
217,TropicalDeciduousForest/Woodland,Cropland,UnsuitableLowProtection
220,TropicalDeciduousForest/Woodland,Pasture,Unknown
221,TropicalDeciduousForest/Woodland,Pasture,UnsuitableUnprotected
222,TropicalDeciduousForest/Woodland,Pasture,SuitableUnprotected
223,TropicalDeciduousForest/Woodland,Pasture,SuitableHighProtectionIntact
224,TropicalDeciduousForest/Woodland,Pasture,SuitbaleHighProtectionDeforested
225,TropicalDeciduousForest/Woodland,Pasture,SuitableLow Protection
226,TropicalDeciduousForest/Woodland,Pasture,UnsuitableHighProtection
227,TropicalDeciduousForest/Woodland,Pasture,UnsuitableLowProtection
230,TropicalDeciduousForest/Woodland,UrbanLand,Unknown
231,TropicalDeciduousForest/Woodland,UrbanLand,UnsuitableUnprotected
232,TropicalDeciduousForest/Woodland,UrbanLand,SuitableUnprotected
233,TropicalDeciduousForest/Woodland,UrbanLand,SuitableHighProtectionIntact
234,TropicalDeciduousForest/Woodland,UrbanLand,SuitbaleHighProtectionDeforested
235,TropicalDeciduousForest/Woodland,UrbanLand,SuitableLow Protection
236,TropicalDeciduousForest/Woodland,UrbanLand,UnsuitableHighProtection
237,TropicalDeciduousForest/Woodland,UrbanLand,UnsuitableLowProtection
300,TemperateBroadleafEvergreenForest/Woodland,Unmanaged,Unknown
301,TemperateBroadleafEvergreenForest/Woodland,Unmanaged,UnsuitableUnprotected
302,TemperateBroadleafEvergreenForest/Woodland,Unmanaged,SuitableUnprotected
303,TemperateBroadleafEvergreenForest/Woodland,Unmanaged,SuitableHighProtectionIntact
304,TemperateBroadleafEvergreenForest/Woodland,Unmanaged,SuitbaleHighProtectionDeforested
305,TemperateBroadleafEvergreenForest/Woodland,Unmanaged,SuitableLow Protection
306,TemperateBroadleafEvergreenForest/Woodland,Unmanaged,UnsuitableHighProtection
307,TemperateBroadleafEvergreenForest/Woodland,Unmanaged,UnsuitableLowProtection
310,TemperateBroadleafEvergreenForest/Woodland,Cropland,Unknown
311,TemperateBroadleafEvergreenForest/Woodland,Cropland,UnsuitableUnprotected
312,TemperateBroadleafEvergreenForest/Woodland,Cropland,SuitableUnprotected
313,TemperateBroadleafEvergreenForest/Woodland,Cropland,SuitableHighProtectionIntact
314,TemperateBroadleafEvergreenForest/Woodland,Cropland,SuitbaleHighProtectionDeforested
315,TemperateBroadleafEvergreenForest/Woodland,Cropland,SuitableLow Protection
316,TemperateBroadleafEvergreenForest/Woodland,Cropland,UnsuitableHighProtection
317,TemperateBroadleafEvergreenForest/Woodland,Cropland,UnsuitableLowProtection
320,TemperateBroadleafEvergreenForest/Woodland,Pasture,Unknown
321,TemperateBroadleafEvergreenForest/Woodland,Pasture,UnsuitableUnprotected
322,TemperateBroadleafEvergreenForest/Woodland,Pasture,SuitableUnprotected
323,TemperateBroadleafEvergreenForest/Woodland,Pasture,SuitableHighProtectionIntact
324,TemperateBroadleafEvergreenForest/Woodland,Pasture,SuitbaleHighProtectionDeforested
325,TemperateBroadleafEvergreenForest/Woodland,Pasture,SuitableLow Protection
326,TemperateBroadleafEvergreenForest/Woodland,Pasture,UnsuitableHighProtection
327,TemperateBroadleafEvergreenForest/Woodland,Pasture,UnsuitableLowProtection
330,TemperateBroadleafEvergreenForest/Woodland,UrbanLand,Unknown
331,TemperateBroadleafEvergreenForest/Woodland,UrbanLand,UnsuitableUnprotected
332,TemperateBroadleafEvergreenForest/Woodland,UrbanLand,SuitableUnprotected
333,TemperateBroadleafEvergreenForest/Woodland,UrbanLand,SuitableHighProtectionIntact
334,TemperateBroadleafEvergreenForest/Woodland,UrbanLand,SuitbaleHighProtectionDeforested
335,TemperateBroadleafEvergreenForest/Woodland,UrbanLand,SuitableLow Protection
336,TemperateBroadleafEvergreenForest/Woodland,UrbanLand,UnsuitableHighProtection
337,TemperateBroadleafEvergreenForest/Woodland,UrbanLand,UnsuitableLowProtection
400,TemperateNeedleleafEvergreenForest/Woodland,Unmanaged,Unknown
401,TemperateNeedleleafEvergreenForest/Woodland,Unmanaged,UnsuitableUnprotected
402,TemperateNeedleleafEvergreenForest/Woodland,Unmanaged,SuitableUnprotected
403,TemperateNeedleleafEvergreenForest/Woodland,Unmanaged,SuitableHighProtectionIntact
404,TemperateNeedleleafEvergreenForest/Woodland,Unmanaged,SuitbaleHighProtectionDeforested
405,TemperateNeedleleafEvergreenForest/Woodland,Unmanaged,SuitableLow Protection
406,TemperateNeedleleafEvergreenForest/Woodland,Unmanaged,UnsuitableHighProtection
407,TemperateNeedleleafEvergreenForest/Woodland,Unmanaged,UnsuitableLowProtection
410,TemperateNeedleleafEvergreenForest/Woodland,Cropland,Unknown
411,TemperateNeedleleafEvergreenForest/Woodland,Cropland,UnsuitableUnprotected
412,TemperateNeedleleafEvergreenForest/Woodland,Cropland,SuitableUnprotected
413,TemperateNeedleleafEvergreenForest/Woodland,Cropland,SuitableHighProtectionIntact
414,TemperateNeedleleafEvergreenForest/Woodland,Cropland,SuitbaleHighProtectionDeforested
415,TemperateNeedleleafEvergreenForest/Woodland,Cropland,SuitableLow Protection
416,TemperateNeedleleafEvergreenForest/Woodland,Cropland,UnsuitableHighProtection
417,TemperateNeedleleafEvergreenForest/Woodland,Cropland,UnsuitableLowProtection
420,TemperateNeedleleafEvergreenForest/Woodland,Pasture,Unknown
421,TemperateNeedleleafEvergreenForest/Woodland,Pasture,UnsuitableUnprotected
422,TemperateNeedleleafEvergreenForest/Woodland,Pasture,SuitableUnprotected
423,TemperateNeedleleafEvergreenForest/Woodland,Pasture,SuitableHighProtectionIntact
424,TemperateNeedleleafEvergreenForest/Woodland,Pasture,SuitbaleHighProtectionDeforested
425,TemperateNeedleleafEvergreenForest/Woodland,Pasture,SuitableLow Protection
426,TemperateNeedleleafEvergreenForest/Woodland,Pasture,UnsuitableHighProtection
427,TemperateNeedleleafEvergreenForest/Woodland,Pasture,UnsuitableLowProtection
430,TemperateNeedleleafEvergreenForest/Woodland,UrbanLand,Unknown
431,TemperateNeedleleafEvergreenForest/Woodland,UrbanLand,UnsuitableUnprotected
432,TemperateNeedleleafEvergreenForest/Woodland,UrbanLand,SuitableUnprotected
433,TemperateNeedleleafEvergreenForest/Woodland,UrbanLand,SuitableHighProtectionIntact
434,TemperateNeedleleafEvergreenForest/Woodland,UrbanLand,SuitbaleHighProtectionDeforested
435,TemperateNeedleleafEvergreenForest/Woodland,UrbanLand,SuitableLow Protection
436,TemperateNeedleleafEvergreenForest/Woodland,UrbanLand,UnsuitableHighProtection
437,TemperateNeedleleafEvergreenForest/Woodland,UrbanLand,UnsuitableLowProtection
500,TemperateDeciduousForest/Woodland,Unmanaged,Unknown
501,TemperateDeciduousForest/Woodland,Unmanaged,UnsuitableUnprotected
502,TemperateDeciduousForest/Woodland,Unmanaged,SuitableUnprotected
503,TemperateDeciduousForest/Woodland,Unmanaged,SuitableHighProtectionIntact
504,TemperateDeciduousForest/Woodland,Unmanaged,SuitbaleHighProtectionDeforested
505,TemperateDeciduousForest/Woodland,Unmanaged,SuitableLow Protection
506,TemperateDeciduousForest/Woodland,Unmanaged,UnsuitableHighProtection
507,TemperateDeciduousForest/Woodland,Unmanaged,UnsuitableLowProtection
510,TemperateDeciduousForest/Woodland,Cropland,Unknown
511,TemperateDeciduousForest/Woodland,Cropland,UnsuitableUnprotected
512,TemperateDeciduousForest/Woodland,Cropland,SuitableUnprotected
513,TemperateDeciduousForest/Woodland,Cropland,SuitableHighProtectionIntact
514,TemperateDeciduousForest/Woodland,Cropland,SuitbaleHighProtectionDeforested
515,TemperateDeciduousForest/Woodland,Cropland,SuitableLow Protection
516,TemperateDeciduousForest/Woodland,Cropland,UnsuitableHighProtection
517,TemperateDeciduousForest/Woodland,Cropland,UnsuitableLowProtection
520,TemperateDeciduousForest/Woodland,Pasture,Unknown
521,TemperateDeciduousForest/Woodland,Pasture,UnsuitableUnprotected
522,TemperateDeciduousForest/Woodland,Pasture,SuitableUnprotected
523,TemperateDeciduousForest/Woodland,Pasture,SuitableHighProtectionIntact
524,TemperateDeciduousForest/Woodland,Pasture,SuitbaleHighProtectionDeforested
525,TemperateDeciduousForest/Woodland,Pasture,SuitableLow Protection
526,TemperateDeciduousForest/Woodland,Pasture,UnsuitableHighProtection
527,TemperateDeciduousForest/Woodland,Pasture,UnsuitableLowProtection
530,TemperateDeciduousForest/Woodland,UrbanLand,Unknown
531,TemperateDeciduousForest/Woodland,UrbanLand,UnsuitableUnprotected
532,TemperateDeciduousForest/Woodland,UrbanLand,SuitableUnprotected
533,TemperateDeciduousForest/Woodland,UrbanLand,SuitableHighProtectionIntact
534,TemperateDeciduousForest/Woodland,UrbanLand,SuitbaleHighProtectionDeforested
535,TemperateDeciduousForest/Woodland,UrbanLand,SuitableLow Protection
536,TemperateDeciduousForest/Woodland,UrbanLand,UnsuitableHighProtection
537,TemperateDeciduousForest/Woodland,UrbanLand,UnsuitableLowProtection
600,BorealEvergreenForest/Woodland,Unmanaged,Unknown
601,BorealEvergreenForest/Woodland,Unmanaged,UnsuitableUnprotected
602,BorealEvergreenForest/Woodland,Unmanaged,SuitableUnprotected
603,BorealEvergreenForest/Woodland,Unmanaged,SuitableHighProtectionIntact
604,BorealEvergreenForest/Woodland,Unmanaged,SuitbaleHighProtectionDeforested
605,BorealEvergreenForest/Woodland,Unmanaged,SuitableLow Protection
