# File: LDS_ag_prod_t.csv
# Title: Initialization of production (t) by country/GLU/crop
# Units: tons
# Author: moirai
# Description: Initialization of production (t) by country/GLU/crop
# Original source: many, including HYDE and SAGE
# Source: https://github.com/JGCRI/moirai
# Column types: cici 
# ----------
ctry_iso,glu_code,SAGE_crop,value
afg,52,Barley,27447
afg,52,Maize,25438
afg,52,Millet,4872
afg,52,PaddyRice,52592
afg,52,Wheat,456958
afg,52,BeansDry,950
afg,52,ChickPeas,3225
afg,52,Lentils,198
afg,52,PeasDry,572
afg,52,Pulsesnes,931
afg,52,Potatoes,774981
afg,58,Barley,22459
afg,58,Maize,35171
afg,58,Millet,6736
afg,58,PaddyRice,48083
afg,58,Wheat,449988
afg,58,BeansDry,1314
afg,58,ChickPeas,5688
afg,58,Lentils,348
afg,58,PeasDry,791
afg,58,Pulsesnes,1288
afg,58,Potatoes,1215444
afg,89,Barley,8697
afg,89,Maize,13620
afg,89,Millet,2608
afg,89,PaddyRice,18620
afg,89,Wheat,174253
afg,89,BeansDry,509
afg,89,ChickPeas,2203
afg,89,Lentils,135
afg,89,PeasDry,306
afg,89,Pulsesnes,499
afg,89,Potatoes,470668
afg,90,Barley,10454
afg,90,Maize,8832
afg,90,Millet,1692
afg,90,PaddyRice,20029
afg,90,Wheat,171339
afg,90,BeansDry,330
afg,90,ChickPeas,1021
afg,90,Lentils,61
afg,90,PeasDry,199
afg,90,Pulsesnes,323
afg,90,Potatoes,259127
afg,97,Barley,20269
afg,97,Maize,29795
afg,97,Millet,5693
afg,97,PaddyRice,42764
afg,97,Wheat,395907
afg,97,Alff4FrgSlg,798
afg,97,FrgProdNES,303
afg,97,Apples,135
afg,97,Apricots,16
afg,97,Berriesnes,9
afg,97,Cherries,14
afg,97,CitrusFrtNES,4
afg,97,Dates,55
afg,97,Figs,5
afg,97,FrtFrshNES,84
afg,97,Grapes,152
afg,97,Lmn_Lme,61
afg,97,Oranges,113
afg,97,Peach_Nctrn,20
afg,97,Pears,12
afg,97,Plums,8
afg,97,Quinces,2
afg,97,SourCherries,3
afg,97,StnFrtNESFrh,11
afg,97,TngMndClmnt,44
afg,97,Olives,2
afg,97,SesameSeed,2
afg,97,Soybeans,8
afg,97,SnflwrSeed,3
afg,97,Ans_bdn_fnnl,1
afg,97,Tea,3
afg,97,BeansDry,1121
afg,97,ChickPeas,4699
afg,97,Lentils,287
afg,97,PeasDry,668
afg,97,Pulsesnes,1091
afg,97,Potatoes,1014936
afg,97,SugarCane,181
afg,97,Almonds,6
afg,97,HzlntFlbrt,1
afg,97,Walnuts,9
afg,97,Cabbages,14
afg,97,Cntlp_othMln,67
afg,97,Ccmbr_Ghrkn,80
afg,97,Eggplants,8
afg,97,Garlic,4
afg,97,PmpknSqshGrd,34
afg,97,Tomatoes,208
afg,97,VgtbFrshNES,102
afg,102,Barley,2
afg,102,Maize,2
afg,102,PaddyRice,3
afg,102,Wheat,31
afg,102,Potatoes,83
ago,162,Maize,1603
ago,162,Millet,407
ago,162,PaddyRice,20
ago,162,Wheat,17
ago,162,JuteLikeFibr,4
ago,162,SeedCotton,41
ago,162,Sisal,2
ago,162,Bananas,683
ago,162,CitrusFrtNES,309
ago,162,FrtFrshNES,119
ago,162,Pineapples,148
ago,162,CastorBeans,13
ago,162,GrndntWShll,93
ago,162,OilPalmFruit,1059
ago,162,SesameSeed,7
ago,162,SnflwrSeed,42
ago,162,CocoaBeans,1
ago,162,CoffeeGreen,11
ago,162,TbccLeaves,13
ago,162,BeansDry,347
ago,162,Cassava,16664
ago,162,Potatoes,316
ago,162,SweetPotato,661
ago,162,SugarCane,1351
ago,162,CashewNuts,4
ago,162,OnionShlltGn,49
ago,162,Tomatoes,51
ago,162,VgtbFrshNES,925
ago,182,Maize,241226
ago,182,Millet,28949
ago,182,PaddyRice,1907
ago,182,Wheat,1151
ago,182,JuteLikeFibr,270
ago,182,SeedCotton,3053
ago,182,Sisal,158
ago,182,Bananas,76599
ago,182,CitrusFrtNES,23144
ago,182,FrtFrshNES,8929
ago,182,Pineapples,11092
ago,182,CastorBeans,990
ago,182,GrndntWShll,6363
ago,182,OilPalmFruit,79397
ago,182,SesameSeed,506
ago,182,SnflwrSeed,3127
ago,182,CocoaBeans,48
ago,182,CoffeeGreen,819
ago,182,TbccLeaves,993
ago,182,BeansDry,18568
ago,182,Cassava,1225142
ago,182,Potatoes,28498
ago,182,SweetPotato,98940
ago,182,SugarCane,101304
ago,182,CashewNuts,320
ago,182,OnionShlltGn,3638
ago,182,Tomatoes,3859
ago,182,VgtbFrshNES,69361
ago,183,Maize,25283
ago,183,Millet,30741
ago,183,PaddyRice,2912
ago,183,Wheat,1141
ago,183,JuteLikeFibr,254
ago,183,SeedCotton,2785
ago,183,Sisal,148
ago,183,Bananas,46127
ago,183,CitrusFrtNES,21788
ago,183,FrtFrshNES,8406
ago,183,Pineapples,10442
ago,183,CastorBeans,932
ago,183,GrndntWShll,10500
ago,183,OilPalmFruit,74747
ago,183,SesameSeed,476
ago,183,SnflwrSeed,2894
ago,183,CocoaBeans,45
ago,183,CoffeeGreen,771
ago,183,TbccLeaves,935
ago,183,BeansDry,22707
ago,183,Cassava,1262089
ago,183,Potatoes,21693
ago,183,SweetPotato,90788
ago,183,SugarCane,95371
ago,183,CashewNuts,302
ago,183,OnionShlltGn,3425
ago,183,Tomatoes,3633
ago,183,VgtbFrshNES,65299
ago,188,Maize,13127
ago,188,Millet,13187
ago,188,PaddyRice,518
ago,188,Wheat,266
ago,188,JuteLikeFibr,83
ago,188,SeedCotton,372
ago,188,Sisal,48
ago,188,Bananas,21084
ago,188,CitrusFrtNES,7080
ago,188,FrtFrshNES,2731
ago,188,Pineapples,3393
ago,188,CastorBeans,303
ago,188,GrndntWShll,1648
ago,188,OilPalmFruit,24287
ago,188,SesameSeed,155
ago,188,SnflwrSeed,701
ago,188,CocoaBeans,15
ago,188,CoffeeGreen,251
ago,188,TbccLeaves,304
ago,188,BeansDry,7073
ago,188,Cassava,357607
ago,188,Potatoes,8311
ago,188,SweetPotato,34137
ago,188,SugarCane,30988
ago,188,CashewNuts,98
ago,188,OnionShlltGn,1113
ago,188,Tomatoes,1180
ago,188,VgtbFrshNES,21217
ago,197,Maize,36342
ago,197,Millet,5956
ago,197,PaddyRice,494
ago,197,Wheat,272
ago,197,JuteLikeFibr,66
ago,197,SeedCotton,742
ago,197,Sisal,39
ago,197,Bananas,20842
ago,197,CitrusFrtNES,5667
ago,197,FrtFrshNES,2186
ago,197,Pineapples,2716
ago,197,CastorBeans,243
ago,197,GrndntWShll,1178
ago,197,OilPalmFruit,19440
ago,197,SesameSeed,124
ago,197,SnflwrSeed,763
ago,197,CocoaBeans,12
ago,197,CoffeeGreen,201
ago,197,TbccLeaves,243
ago,197,BeansDry,4051
ago,197,Cassava,293845
ago,197,Potatoes,7297
ago,197,SweetPotato,25996
ago,197,SugarCane,24804
ago,197,CashewNuts,78
ago,197,OnionShlltGn,891
ago,197,Tomatoes,945
ago,197,VgtbFrshNES,16983
alb,54,Barley,30
alb,54,Maize,248
alb,54,Oats,64
alb,54,Wheat,266
alb,54,Alff4FrgSlg,7618
alb,54,Maize4FrgSlg,2023
alb,54,Apples,55
alb,54,Cherries,22
alb,54,Figs,61
alb,54,Grapes,366
alb,54,Pears,18
alb,54,Plums,56
alb,54,SourCherries,37
alb,54,Olives,119
alb,54,TbccLeaves,78
alb,54,BeansDry,16
alb,54,Pulsesnes,2
alb,54,Vetches,7
alb,54,Potatoes,897
alb,54,SugarBeets,419
alb,54,Nutsnes,11
alb,54,Tomatoes,666
alb,54,VgtbFrshNES,929
alb,55,Barley,2808
alb,55,Maize,185152
alb,55,Oats,14917
alb,55,Rye,2491
alb,55,Wheat,309254
alb,55,SeedCotton,802
alb,55,Alff4FrgSlg,1783217
alb,55,Maize4FrgSlg,473646
alb,55,Apples,12810
alb,55,Apricots,925
alb,55,Cherries,5140
alb,55,Figs,14169
alb,55,Grapes,77074
alb,55,Oranges,2335
alb,55,Peach_Nctrn,2001
alb,55,Pears,4119
alb,55,Plums,13162
alb,55,Quinces,651
alb,55,SourCherries,8628
alb,55,Olives,36375
alb,55,Soybeans,467
alb,55,SnflwrSeed,2177
alb,55,Hops,347
alb,55,spicesnes,281
alb,55,TbccLeaves,4887
alb,55,BeansDry,21991
alb,55,BrdBeansDry,186
alb,55,Pulsesnes,450
