# File: MIRCA_rfdHA_ha.csv
# Title: MIRCA rainfed havested area
# Units: ha
# Author: moirai
# Description: mirca rainfed havested area (ha) for sage land cells in country X glu
# Original source: MIRCA2000; country raster; new glu raster
# Source: https://github.com/JGCRI/moirai
# ----------
iso,glu_code,mirca_crop,value
afg,52,1,353677
afg,52,3,713
afg,52,4,121
afg,52,6,6114
afg,52,10,50801
afg,52,17,34
afg,58,1,398057
afg,58,3,787
afg,58,6,8514
afg,58,10,67218
afg,89,1,84231
afg,89,3,102
afg,89,6,3274
afg,89,10,25172
afg,90,1,104453
afg,90,3,150
afg,90,6,2092
afg,90,10,17354
afg,97,1,242443
afg,97,3,275
afg,97,6,7142
afg,97,9,5
afg,97,10,56851
afg,97,12,2
afg,97,20,17
afg,97,25,43
afg,102,1,39
afg,102,6,1
afg,102,10,5
ago,162,1,12
ago,162,2,2761
ago,162,6,1010
ago,162,9,69
ago,162,10,75
ago,162,11,2513
ago,162,12,6
ago,162,14,102
ago,162,16,286
ago,162,17,997
ago,162,18,46
ago,162,21,47
ago,162,22,9
ago,162,23,425
ago,162,24,180
ago,162,26,560
ago,182,1,1065
ago,182,2,571736
ago,182,6,90166
ago,182,9,6121
ago,182,10,6702
ago,182,11,224476
ago,182,12,528
ago,182,14,9112
ago,182,16,25506
ago,182,17,89026
ago,182,18,4118
ago,182,21,4159
ago,182,22,835
ago,182,23,37940
ago,182,24,16002
ago,182,26,39848
ago,183,1,997
ago,183,2,50515
ago,183,3,2
ago,183,6,83227
ago,183,9,5729
ago,183,10,6140
ago,183,11,226489
ago,183,12,497
ago,183,14,8528
ago,183,16,28184
ago,183,17,84474
ago,183,18,3873
ago,183,21,3893
ago,183,22,781
ago,183,23,35511
ago,183,24,15779
ago,183,26,45814
ago,188,1,314
ago,188,2,29061
ago,188,6,26449
ago,188,9,1800
ago,188,10,1965
ago,188,11,65908
ago,188,12,156
ago,188,14,2684
ago,188,16,7517
ago,188,17,26112
ago,188,18,1219
ago,188,21,1223
ago,188,22,246
ago,188,23,11178
ago,188,24,4724
ago,188,26,14719
ago,197,1,223
ago,197,2,70493
ago,197,6,18846
ago,197,9,1279
ago,197,10,1401
ago,197,11,46919
ago,197,12,110
ago,197,14,1904
ago,197,16,5331
ago,197,17,18608
ago,197,18,862
ago,197,21,869
ago,197,22,175
ago,197,23,7930
ago,197,24,3348
ago,197,26,9613
alb,54,1,146
alb,54,2,205
alb,54,4,21
alb,54,10,77
alb,54,13,20
alb,54,17,61
alb,54,18,2
alb,54,20,26
alb,54,25,433
alb,54,26,291
alb,55,1,99646
alb,55,2,18625
alb,55,4,1702
alb,55,5,1769
alb,55,8,331
alb,55,9,1338
alb,55,10,6627
alb,55,13,1309
alb,55,17,25553
alb,55,18,396
alb,55,20,4284
alb,55,21,730
alb,55,24,259
alb,55,25,79633
alb,55,26,19287
are,94,18,3
are,94,20,1
are,94,25,19534
arg,169,1,521
arg,169,2,115
arg,169,3,21
arg,169,4,196
arg,169,5,16
arg,169,6,7
arg,169,9,6
arg,169,10,136
arg,169,15,14
arg,169,17,26
arg,169,18,7
arg,169,20,130
arg,169,24,8
arg,169,25,84
arg,169,26,3
arg,200,1,7
arg,200,2,6
arg,200,4,1
arg,200,5,4
arg,200,6,1
arg,200,17,22
arg,200,25,711
arg,203,1,460881
arg,203,2,264812
arg,203,3,51
arg,203,4,1070
arg,203,5,5160
arg,203,6,2145
arg,203,7,219825
arg,203,8,992699
arg,203,9,8120
arg,203,10,13526
arg,203,12,141617
arg,203,16,6328
arg,203,17,28796
arg,203,18,10526
arg,203,20,1378
arg,203,21,12051
arg,203,24,5376
arg,203,25,309411
arg,203,26,48850
arg,205,1,12192
arg,205,2,47999
arg,205,3,17
arg,205,4,94
arg,205,5,956
arg,205,6,322
arg,205,7,30218
arg,205,8,26734
arg,205,9,8461
arg,205,10,8734
arg,205,12,238
arg,205,16,5033
arg,205,17,3759
arg,205,18,328
arg,205,20,273
arg,205,24,609
arg,205,25,116607
arg,205,26,5678
arg,206,1,2347687
arg,206,2,1537541
arg,206,3,83882
arg,206,4,32250
arg,206,5,26188
arg,206,6,10419
arg,206,7,749736
arg,206,8,5825152
arg,206,9,552481
arg,206,10,5133
arg,206,11,15975
arg,206,12,44453
arg,206,15,192
arg,206,16,155698
arg,206,17,173954
arg,206,18,92800
arg,206,20,6434
arg,206,21,440174
arg,206,24,223353
arg,206,25,1185989
arg,206,26,200302
arg,207,1,188
arg,207,2,118
arg,207,3,7
arg,207,4,4
arg,207,5,6
arg,207,6,2
arg,207,9,5
arg,207,10,39
arg,207,15,13
arg,207,17,29
arg,207,18,2
arg,207,20,5
arg,207,25,11
arg,209,1,1097580
arg,209,2,876279
arg,209,3,645
arg,209,4,66620
arg,209,5,15364
arg,209,6,6085
arg,209,7,164445
arg,209,8,943672
arg,209,9,1154360
arg,209,10,932
arg,209,15,1592
arg,209,16,96847
arg,209,17,2057
arg,209,18,24
arg,209,20,14
arg,209,24,14807
arg,209,25,1308838
arg,209,26,105901
arg,210,1,1889423
arg,210,2,607482
arg,210,3,74
arg,210,4,155174
arg,210,5,14618
arg,210,6,5940
arg,210,7,80077
arg,210,8,1217729
