pcgdp_90thousUSD,inc_elas
0-5,0.75
5-10,0.625
10-15,0.5
15-20,0.425
20-25,0.36
25-30,0.29
30-35,0.22
35-40,0.18
40-45,0.14
45-50,0.1
50-55,0.05
55-60,0
60-,-0.005
