This sheet inputs the information on industrial processes and urban processes,,,,,,,,,,,,,,,,,,
Both are assumed to have base year input and output of 1,,,,,,,,,,,,,,,,,,
"Urban processes is its own final demand that grows with population, while industrial processes grows with total industrial output (logited at 0)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
8000,,,,,,,,,,,,,,,,,,
"add ""resource"" for process emissions to ""consume""",,,,1975 fillout,,,,,,,,,,,,,,
unlimited-resouce,output-unit,price-unit,market,price,,,,,,,,,,,,,,
misc emissions sources,NA,NA,global,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
9000,,,,,,,,,,,,,,,,,,
,,,1975 fillout,1975 fillout,base-service,,,,,,,,,,,,,
region,energy-final-demand,perCapitaBased,income-elasticity,aeei,1990,2005,,,,,,,,,,,,
USA,urban processes,1,0,0,0.004,0.00474,,,,,,,,,,,,
Canada,urban processes,1,0,0,0.004,0.00466,,,,,,,,,,,,
Western Europe,urban processes,1,0,0,0.004,0.00436,,,,,,,,,,,,
Japan,urban processes,1,0,0,0.004,0.00414,,,,,,,,,,,,
Australia_NZ,urban processes,1,0,0,0.004,0.00479,,,,,,,,,,,,
Former Soviet Union,urban processes,1,0,0,0.004,0.00394,,,,,,,,,,,,
China,urban processes,1,0,0,0.004,0.00466,,,,,,,,,,,,
Middle East,urban processes,1,0,0,0.004,0.00570,,,,,,,,,,,,
Africa,urban processes,1,0,0,0.004,0.00567,,,,,,,,,,,,
Latin America,urban processes,1,0,0,0.004,0.00508,,,,,,,,,,,,
Southeast Asia,urban processes,1,0,0,0.004,0.00522,,,,,,,,,,,,
Eastern Europe,urban processes,1,0,0,0.004,0.00380,,,,,,,,,,,,
Korea,urban processes,1,0,0,0.004,0.00451,,,,,,,,,,,,
India,urban processes,1,0,0,0.004,0.00515,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
9400,,,,,,,,,,,,,,,,,,
,,,,1975 fillout,,,,,,,,,,,,,,
supplysector,subsector,scaleYear,techScaleYear,logitexp,,,,,,,,,,,,,,
urban processes,landfills,2005,2095,0,,,,,,,,,,,,,,
urban processes,wastewater treatment,2005,2095,0,,,,,,,,,,,,,,
urban processes,aerosols,2005,2095,0,,,,,,,,,,,,,,
urban processes,fire_exting,2005,2095,0,,,,,,,,,,,,,,
industrial processes,adipic acid,2005,2095,0,,,,,,,,,,,,,,
industrial processes,nitric acid,2005,2095,0,,,,,,,,,,,,,,
industrial processes,foams,2005,2095,0,,,,,,,,,,,,,,
industrial processes,solvents,2005,2095,0,,,,,,,,,,,,,,
industrial processes,HCFC_22_Prod,2005,2095,0,,,,,,,,,,,,,,
industrial processes,semiconductors,2005,2095,0,,,,,,,,,,,,,,
industrial processes,Al_Mg,2005,2095,0,,,,,,,,,,,,,,
industrial processes,other industrial processes,2005,2095,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
9500,,,minicam-non-energy-input,,,,,,,,,,,,,,,
,,,input-cost,,,,,,,,,,,,,,,
supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,,,,,
urban processes,landfills,landfills,0,0,0,0,0,0,0,0,0,,,,,,,
urban processes,wastewater treatment,wastewater treatment,0,0,0,0,0,0,0,0,0,,,,,,,
urban processes,aerosols,aerosols,0,0,0,0,0,0,0,0,0,,,,,,,
urban processes,fire_exting,fire_exting,0,0,0,0,0,0,0,0,0,,,,,,,
