BLDGID6  ,REGION6  ,CENDIV6  ,SQFT6    ,SQFTC6   ,YRCONC6  ,PBA6     ,ELUSED6  ,NGUSED6  ,FKUSED6  ,STUSED6  ,HWUSED6  ,ADJWT6   ,PAIR6    ,STRATUM6 ,ELHTBTU6 ,ELCLBTU6 ,ELVNBTU6 ,ELWTBTU6 ,ELLTBTU6 ,ELCKBTU6 ,ELRFBTU6 ,ELOFBTU6 ,ELMSBTU6
00002,1,2,   700000,09,05,05,1,2,1,2,2,  100.52,1,23,        212946,        460354,         46555,         81151,       4661387,             0,        218261,       1662523,       1229272
00003,3,7,  1600000,10,06,16,1,1,1,1,2,    1.04,2,09,             0,       1732958,      12174577,             0,     107549592,        927860,      16966278,      39680158,      42165801
00005,4,9,   120000,07,02,13,1,1,2,1,2,  112.72,2,40,             0,        434821,        437161,             0,       3305301,        128375,        174473,        346094,        530264
00007,3,5,   120000,07,07,18,1,2,2,2,2,   19.15,2,27,        560044,       6175811,       1208232,       4256216,       5342650,             0,        638683,       1609603,       1010736
00008,3,7,     5001,03,03,25,2,2,2,2,2,  207.27,1,25,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999
00009,2,3,     3500,02,05,26,1,1,1,2,2,  474.50,2,28,             0,             0,         22524,         18178,        102153,             0,          6700,         22076,          8830
00011,3,5,    25000,04,07,25,1,2,1,2,2,  105.20,1,14,             0,        113499,         50991,          9316,        408957,             0,         15747,         64844,         13846
00014,1,2,   300000,08,05,13,1,1,2,2,2,   13.84,1,15,             0,       5207176,       1531210,             0,      16153152,             0,        817061,       2093958,       2010045
00016,1,2,     1750,02,04,07,1,1,1,2,2, 5849.83,1,17,          8373,             0,             0,             0,         16020,             0,           451,         12703,         15735
00018,4,9,     3000,02,06,14,1,1,2,2,2, 5849.83,1,20,             0,          4527,           526,             0,         12539,             0,           299,           201,           985
00019,3,7,   250000,08,07,02,1,1,1,2,2,   28.87,2,35,        277364,       3119468,       1825480,        164606,       9210389,             0,        103477,       3358328,       1125441
00020,4,9,    85000,06,07,02,1,1,2,2,2,  184.00,1,37,           471,       1129513,        322323,         56746,       1948224,             0,         38553,       1375755,        305759
00024,2,4,   140000,07,06,02,1,1,2,2,2,  119.21,2,36,        117648,       1713284,       1690274,        154730,       7993236,         92468,         67054,       2622827,        563418
00025,2,3,     4500,02,03,05,1,1,2,2,2, 6308.52,2,32,             0,          1326,          1322,             0,          7182,             0,           617,          4363,          3325
00026,2,3,    35000,05,05,12,1,1,2,2,2,  100.52,1,15,             0,         91898,         66201,             0,        149051,             0,         26960,         32039,         36027
00027,2,4,     8000,03,06,13,1,1,2,2,2, 6241.10,2,24,             0,          5326,         14980,             0,         26133,             0,          5301,          2592,          5033
00029,3,5,   250000,08,05,23,1,1,2,2,2,   33.71,2,40,        197915,       3013793,        605513,        144616,       4145655,             0,        152487,        284906,        547083
00030,3,6,   900000,09,05,16,1,1,1,1,1,   13.84,2,39,        487665,        552102,       5282447,             0,      17259697,        147803,       2702641,       6929220,       6108423
00031,2,4,    10000,03,04,26,1,1,2,2,2, 6241.10,2,36,             0,         66240,         22365,             0,        253627,             0,         12519,         40214,         16085
00032,1,2,    35000,05,04,12,1,1,2,2,2,   93.89,1,17,             0,         70193,          1309,             0,        198291,             0,         32078,         31122,         59701
00033,1,2,    75000,06,05,14,1,1,1,2,2,  165.71,2,18,             0,        315204,          8571,             0,       1732162,             0,        165033,         87773,        256401
00035,4,8,    15000,04,07,05,1,2,2,2,2,  569.41,2,19,         36147,         78080,         10450,          9309,        334646,             0,         16282,        142950,         72771
00036,2,4,    12500,04,07,13,1,1,2,2,2,  182.05,1,18,         59405,         49170,         14024,             0,        222933,             0,         20227,         39600,         20680
00038,3,5,   300000,08,03,02,1,2,1,1,2,    4.15,2,35,             0,       6423695,       6552994,             0,      20019901,             0,        425177,      15304495,       3541063
00040,1,2,     8000,03,01,01,1,2,2,2,2, 5849.83,2,05,             0,             0,             0,             0,             0,             0,             0,             0,             0
00041,1,1,     9000,03,04,15,1,1,2,2,2,  432.00,2,15,         12399,         33447,         11824,             0,        139556,             0,         88772,          5082,         37397
