BLDGID5,REGION5,CENDIV5,SQFT5,SQFTC5,YRCONC5,PBA5,ADJWT5,PAIR5,STRATUM5,ELSUPL5,NGSUPL5,FKSUPL5,STSUPL5,HWSUPL5,ELHTBTU5,ELCLBTU5,ELVNBTU5,ELWTBTU5,ELLTBTU5,ELCKBTU5,ELRFBTU5,ELOFBTU5,ELMSBTU5
1,4,9,100001,7,6,4,293.95,1,19,1,1,2,1,1,0,0,252681,0,663930,0,1573,98255,571107
2,3,5,15000,4,5,13,1.03,0,0,1,1,2,2,2,0,314307,67466,94112,1095307,0,25561,13543,66362
3,4,9,4000,2,5,5,435.97,2,11,1,1,2,2,2,0,0,0,0,81442,0,261,1823,1389
4,1,2,140000,7,1,21,136.77,2,4,1,2,2,2,1,0,52090,0,335316,223397,0,1406,1831,10644
5,2,4,9000,3,2,11,2202.55,2,2,1,2,2,2,2,0,0,0,0,1149,0,15830,235,179
6,2,3,140000,7,4,17,280.79,1,18,1,1,2,1,2,0,0,12208,0,2871245,0,201122,127211,697942
7,3,6,20000,4,3,2,1438.51,2,9,1,1,2,2,2,0,195977,47583,0,229628,0,3628,134249,21915
8,3,5,50001,6,3,5,207.73,2,11,1,1,2,2,2,206381,77294,8889,48086,240932,0,2831,20633,570917
9,2,3,70000,6,3,14,1.1,0,0,1,1,2,2,2,0,360122,7947,0,402450,0,30804,11634,52607
10,1,2,2000,2,5,7,1566.97,1,18,1,1,2,2,2,28572,7252,230,0,152900,0,127,1175,6829
11,3,5,25001,5,5,2,464.11,1,1,1,2,2,2,2,158,357411,93262,260128,1326655,0,6664,347847,46632
12,3,7,6000,3,6,12,1882.46,1,19,1,1,2,2,2,0,32926,26616,0,33709,0,3798,1077,5278
13,3,5,1001,2,9,18,21.85,2,9,1,1,2,2,2,0,287814,34674,0,135785,0,10257,4549,37531
14,1,2,6000,3,3,5,545.75,1,4,1,1,2,2,2,0,5288,1624,12165,22532,0,266,1985,1301
15,4,8,5000,2,7,3,2115.72,2,20,1,1,2,2,2,0,2027,44539,42314,69709,0,3688,15218,3457
16,4,9,1500,2,6,6,1795.89,1,10,1,1,2,2,2,0,21876,682,0,36471,0,196199,1175,10941
17,1,2,45000,5,1,15,1421.18,1,17,1,1,2,2,2,0,133881,0,81781,13168,0,8525,87,978
18,2,3,800000,9,3,5,12.14,2,21,1,1,2,2,2,899139,401744,24656,260212,329234,0,7187,50628,38926
19,1,1,8000,3,2,1,205.19,1,21,1,2,2,1,2,0,1985,44,9653,4473,0,40,52,301
20,2,3,30000,5,1,2,6.9,1,1,1,2,2,1,2,0,303630,6170,574792,559438,0,9989,237460,185346
21,3,7,20000,4,3,3,293.76,1,19,1,1,2,2,2,0,18076,46941,0,138046,0,6981,24137,9655
22,2,3,2000,2,4,13,1923.38,1,21,1,2,1,2,2,0,1008,866,0,1566,0,104,29,142
23,3,5,160000,7,5,3,225.04,1,1,1,2,2,2,2,3921,12762,179661,342204,656534,0,23540,24317,97479
24,3,5,1500,2,3,12,1882.46,2,3,1,2,2,2,2,0,0,157,0,130,0,28,6,27
25,3,7,3000,2,7,3,1678.97,1,12,1,2,2,2,2,4376,51093,14336,22287,59844,0,2130,9897,1997
26,4,9,8000,3,6,5,150.1,1,22,1,1,2,2,2,0,0,683,66714,177074,0,1395,11696,81718
27,1,2,350000,8,5,5,12.03,1,15,1,2,2,2,2,0,0,0,957377,2803560,0,21156,151647,115541
28,4,9,35000,5,5,18,290.6,2,11,1,1,2,2,2,0,0,0,0,335131,0,21250,9425,77757
29,2,3,2500,2,6,1,1605.92,1,21,1,2,2,2,2,0,0,0,0,716,0,686,913,5307
30,3,7,5000,2,7,2,489.1,1,12,1,2,2,2,2,8239,162433,31676,102239,273994,0,4030,145819,33394
31,3,7,2500,2,4,3,640.23,2,19,1,2,2,2,2,5277,5526,2750,0,7307,0,593,1884,753
32,2,3,80000,6,4,13,2.57,1,18,1,2,2,1,2,0,232835,0,0,1642702,0,33803,21744,95081
33,4,9,90000,6,7,5,20.06,1,20,1,1,2,2,2,280516,50598,4252,95669,78533,0,3205,22367,17042
34,2,4,10000,3,4,3,1826.41,2,12,1,1,2,2,2,0,10384,9329,46393,71967,0,3895,14772,3637
35,2,3,600000,9,8,2,11.47,2,8,1,1,2,2,2,0,3567980,5312206,1330252,5630408,0,162234,6272772,2146384
36,4,9,17500,4,7,5,138.47,2,22,1,2,2,2,2,17411,8137,405,96194,197923,0,2744,20787,13411
37,3,7,1500,2,6,3,1795.89,2,15,1,1,2,2,2,0,3672,1280,0,6791,0,315,1108,443
38,4,8,2000,2,5,14,1387.55,2,22,1,2,2,2,2,6154,45952,11220,0,19384,0,1222,564,2762
39,4,9,30000,5,4,11,145.62,1,19,1,1,2,2,2,23796,209419,14878,214309,577048,0,970587,48297,472257
40,2,3,7000,3,6,3,2300.89,2,21,1,1,2,2,2,0,14032,11636,41090,91741,0,3460,14528,3296
41,1,2,50000,5,6,2,21.29,2,4,1,2,2,2,2,1393797,884640,248674,688364,1920066,0,30195,696424,603320
42,1,2,9000,3,6,1,2524.42,2,8,1,1,2,2,2,0,2829,1823,5462,11421,0,36,48,282
43,4,9,50000,5,3,14,1341.63,1,20,1,1,2,2,2,0,0,10266,0,185446,0,10513,4750,21248
44,3,6,20000,4,7,18,962.35,2,7,1,1,2,2,2,335595,640451,57766,592796,280026,0,20000,8871,73182
45,3,7,3000,2,3,12,1511.3,2,15,1,1,2,2,2,0,17193,5062,0,2605,0,667,121,594
46,3,6,10001,4,6,5,1426.16,2,9,1,1,2,2,2,0,223925,17571,0,596748,0,3919,29001,19702
47,2,3,5001,3,8,15,423.48,1,13,1,1,2,2,2,0,164543,42917,0,474161,656366,244622,2639,29532
48,3,5,50001,6,9,18,1.77,1,13,1,1,2,2,2,22030,1351578,94314,0,634076,0,46210,26640,162946
49,3,7,3000,2,6,5,1678.97,2,12,2,2,2,2,2,              ,              ,              ,              ,              ,              ,              ,              ,
50,3,7,50000,5,4,5,225.04,2,10,1,1,2,2,2,0,202744,9605,0,349503,0,3859,27295,20796
51,4,9,20000,4,4,2,444.28,1,13,1,1,2,2,2,0,323111,73576,0,299012,0,5161,178719,39714
52,4,9,500001,9,8,20,10.69,2,9,1,2,2,2,2,6994,98511,19431,217827,336778,0,678,1098,6384
53,3,5,9000,3,5,3,1911.82,2,5,1,1,2,2,2,0,0,2309,37302,43369,0,2145,7588,3035
54,3,7,4000,2,3,1,2416.46,1,5,1,1,2,2,2,0,4953,1308,0,2742,0,25,32,188
55,3,7,1500,2,3,15,1262.19,2,12,1,1,2,2,2,0,5500,45810,0,10625,0,6281,65,730
56,3,7,8000,3,4,3,415.45,2,10,1,2,2,2,2,32746,22509,12271,29946,45813,0,2086,8211,1934
57,1,1,1500000,10,6,5,21.29,1,6,1,1,1,2,2,0,3978909,8561,11968925,26893406,8343,327813,2803979,1654382
58,3,6,90000,6,9,3,217.98,2,9,1,1,2,2,2,0,884765,530362,0,4706113,0,232967,247216,1126935
59,2,4,4500,2,5,2,2145.39,1,22,1,1,2,2,2,0,15883,6014,0,60068,0,1009,36390,7062
60,1,2,17500,4,4,21,1.81,1,10,1,1,2,2,2,0,0,18,0,541,0,2,2,14
61,4,9,250000,8,9,20,21.37,1,22,1,2,1,2,2,10481,233885,52050,399737,566076,0,1156,1872,10880
62,3,5,30000,5,8,3,2257.27,1,3,1,2,2,2,2,0,29870,33272,0,142479,0,10260,38075,10887
