BLDGID6  ,REGION6  ,CENDIV6  ,SQFT6    ,SQFTC6   ,YRCONC6  ,VACP6    ,OFCP6    ,LABP6    ,WRHSNP6  ,FDSLSP6  ,PORDP6   ,HCOUTP6  ,INDUSP6  ,AGRICP6  ,WRHSRP6  ,WORSHP6  ,PUBLCP6  ,EDUCP6   ,FDSVCP6  ,HCINP6   ,NURSEP6  ,LODGEP6  ,RESP6    ,PARKP6   ,STRIPP6  ,MALLP6   ,RETLP6   ,SERVP6   ,OTACTP6  ,PBA6     ,VACBA16  ,VACBA26  ,RWSEAT6  ,PBSEAT6  ,EDSEAT6  ,FDSEAT6  ,HCBED6   ,NRSBED6  ,LODGRM6  ,ELUSED6  ,NGUSED6  ,FKUSED6  ,STUSED6  ,HWUSED6  ,ADJWT6   ,PAIR6    ,STRATUM6
00002,1,2,   700000,09,05,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,05,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,1,2,2,  100.52,1,23
00003,3,7,  1600000,10,06,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,16,99,99,99999,99999,99999,99999, 1500,99999,99999,1,1,1,1,2,    1.04,2,09
00005,4,9,   120000,07,02,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,13,99,99,99999,  800,99999,99999,99999,99999,99999,1,1,2,1,2,  112.72,2,40
00007,3,5,   120000,07,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,18,99,99,99999,99999,99999,99999,99999,99999,99996,1,2,2,2,2,   19.15,2,27
00008,3,7,     5001,03,03,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,25,99,99,99999,99999,99999,99999,99999,99999,99999,2,2,2,2,2,  207.27,1,25
00009,2,3,     3500,02,05,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,26,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,1,2,2,  474.50,2,28
00011,3,5,    25000,04,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,25,99,99,99999,99999,99999,99999,99999,99999,99999,1,2,1,2,2,  105.20,1,14
00014,1,2,   300000,08,05,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,13,99,99,99999,99998,99999,99999,99999,99999,99999,1,1,2,2,2,   13.84,1,15
00016,1,2,     1750,02,04,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,07,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,1,2,2, 5849.83,1,17
00018,4,9,     3000,02,06,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,14,99,99,99999,99999,  250,99999,99999,99999,99999,1,1,2,2,2, 5849.83,1,20
00019,3,7,   250000,08,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,1,2,2,   28.87,2,35
00020,4,9,    85000,06,07,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  184.00,1,37
00024,2,4,   140000,07,06,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,02,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  119.21,2,36
00025,2,3,     4500,02,03,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,05,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2, 6308.52,2,32
00026,2,3,    35000,05,05,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,12,99,99, 1750,99999,99999,99999,99999,99999,99999,1,1,2,2,2,  100.52,1,15
00027,2,4,     8000,03,06,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,13,99,99,99999,  100,99999,99999,99999,99999,99999,1,1,2,2,2, 6241.10,2,24
00029,3,5,   250000,08,05,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,23,99,99,99999,99999,99999,99999,99999,99999,99999,1,1,2,2,2,   33.71,2,40
