BLDGID5,REGION5,CENDIV5,MSA5,CLIMATE5,SQFT5,SQFTC5,NFLOOR5,PORBLG5,NUMBLG5,YRCON5,MONCON5,YRCONC5,EXPRED5,AMTDIF5,PBA5,HT15,HT25,COOL5,WATR5,COOK5,MANU5,GENR5,HEATP5,COOLP5,WKHRS5,WKHRSC5,TOTWK5,TOTWKC5,NWKER5,NWKERC5,WLCNS5,RFCNS5,BLDSHP5,BLDLEN5,BLDWID5,ATTWLL5,GLSSPC5,LTOHRP5,ADJWT5,PAIR5,STRATUM5,ELSUPL5,NGSUPL5,FKSUPL5,STSUPL5,HWSUPL5,ELBTU5,NGBTU5,FKBTU5,STBTU5,HWBTU5,MFBTU5
1,4,9,2,4,100001,7,2, ,0,1978,  ,6,3,         ,4,1,2,1,1,2,2,2,100,100,45,2,200,6,200,6,4,4,2,90,600,1,1,100,293.95,1,19,1,1,2,1,1,1587546,511825,              ,5422000,5889000,13410371
2,3,5,2,4,15000,4,1,2,   ,1961,  ,5,3,         ,13,1,2,1,1,2,2,2,100,25,85,5,9,2,9,2,5,3,3,     ,     , ,1,100,1.03,0,0,1,1,2,2,2,1676657,4557235,              ,              ,              ,6233892
3,4,9,2,4,4000,2,1,2,   ,1962,  ,5,3,         ,5,2,2,2,1,2,2,2,   ,   ,42,2,0,0,0,0,3,5,2,150,25,0,1,0,435.97,2,11,1,1,2,2,2,84914,171226,              ,              ,              ,256140
4,1,2,2,2,140000,7,4, ,1,1863,  ,1,3,         ,21,1,2,1,1,2,1,2,100,1,45,2,500,5,50,5,5,2,3,     ,     , ,3,75,136.77,2,4,1,2,2,2,1,624683,              ,              ,              ,6517000,7141683
5,2,4,1,2,9000,3,2, ,0,1902,  ,2,3,         ,11,2,2,2,2,2,2,2,   ,   ,49,3,2,1,2,1,5,4,2,70,20,2,1,0,2202.55,2,2,1,2,2,2,2,17394,              ,              ,              ,              ,17394
6,2,3,2,1,140000,7,3, ,1,1952,  ,4,3,         ,17,1,2,2,1,1,2,1,100,   ,168,6,120,6,100,6,5,6,3,     ,     , ,2,100,280.79,1,18,1,1,2,1,2,3909729,899449,              ,20523000,              ,25332178
7,3,6,2,4,20000,4,1,2,   ,1942,  ,3,3,         ,2,1,2,1,1,2,2,2,100,100,48,2,60,5,60,5,5,4,2,150,75,0,1,100,1438.51,2,9,1,1,2,2,2,632981,1555231,              ,              ,              ,2188212
8,3,5,2,3,50001,6,2, ,1,1941,  ,3,3,         ,5,1,1,1,1,2,1,2,100,10,45,2,20,4,20,4,5,4,2,400,150,0,1,100,207.73,2,11,1,1,2,2,2,1175963,1710918,              ,              ,              ,2886881
9,2,3,2,2,70000,6,4, ,1,1930,  ,3,3,         ,14,1,2,1,1,2,2,2,100,10,40,2,40,4,40,4,5,4,2,262,140,0,3,100,1.1,0,0,1,1,2,2,2,865563,2541630,              ,              ,              ,3407193
10,1,2,2,2,2000,2,2, ,1,1968,  ,5,3,         ,7,1,1,1,1,2,2,2,100,33,168,6,45,4,41,4,5,3,3,     ,     , ,4,100,1566.97,1,18,1,1,2,2,2,197084,609991,              ,              ,              ,807075
11,3,5,2,5,25001,5,2, ,0,1965,  ,5,3,         ,2,1,2,1,1,2,2,2,100,100,168,6,450,7,450,7,1,4,2,190,70,0,5,100,464.11,1,1,1,2,2,2,2,2438758,              ,              ,              ,              ,2438758
12,3,7,1,4,6000,3,1,2,   ,1974,  ,6,3,         ,12,1,2,1,1,2,2,2,100,100,14,1,1,1,1,1,5,3,2,80,100,0,1,100,1882.46,1,19,1,1,2,2,2,103404,269804,              ,              ,              ,373208
13,3,5,2,4,1001,2,1,2,   ,1992,2,9, ,         ,18,1,2,1,1,2,2,2,100,100,168,6,3,1,1,1,5,7,2,80,30,0,2,100,21.85,2,9,1,1,2,2,2,510609,545061,              ,              ,              ,1055670
14,1,2,2,2,6000,3,1,2,   ,1932,  ,3,3,         ,5,1,2,1,1,2,2,2,100,5,45,2,4,1,4,1,5,3,2,50,110,0,1,100,545.75,1,4,1,1,2,2,2,45161,185632,              ,              ,              ,230793
15,4,8,1,4,5000,2,1,2,   ,1982,  ,7,3,         ,3,1,2,1,1,2,2,2,100,100,60,3,3,1,3,1,3,5,2,100,50,0,1,100,2115.72,2,20,1,1,2,2,2,180952,172255,              ,              ,              ,353207
16,4,9,2,4,1500,2,1,2,   ,1972,  ,6,3,         ,6,2,2,1,1,2,2,2,   ,100,55,3,5,2,5,2,5,4,2,80,25,0,1,100,1795.89,1,10,1,1,2,2,2,267344,22021,              ,              ,              ,289365
17,1,2,2,3,45000,5,4, ,1,1890,  ,1,3,         ,15,1,2,1,1,1,2,2,50,50,98,5,9,2,5,2,5,3,3,     ,     , ,2,40,1421.18,1,17,1,1,2,2,2,238420,717110,              ,              ,              ,955530
18,2,3,2,2,800000,9,7, ,1,1923,  ,3,3,         ,5,1,1,1,1,2,2,2,3,1,50,3,17,3,17,3,5,4,3,800,327,0,4,9,12.14,2,21,1,1,2,2,2,2011725,1062442,              ,              ,              ,3074167
19,1,1,2,2,8000,3,3, ,1,1908,  ,2,3,         ,1,1,2,1,1,2,2,2,100,5,21,1,1,1,1,1,6,4,2,60,42,0,1,25,205.19,1,21,1,2,2,1,2,16548,              ,              ,411000,              ,427548
20,2,3,2,3,30000,5,4, ,0,1884,  ,1,3,         ,2,1,2,1,1,2,2,2,100,60,43,2,60,5,60,5,5,3,2,181,39,1,1,100,6.9,1,1,1,2,2,1,2,1876825,              ,              ,6295000,              ,8171825
21,3,7,1,4,20000,4,2, ,0,1920,  ,3,3,         ,3,1,2,1,1,2,2,2,50,50,48,2,10,3,10,3,5,4,3,     ,     , ,1,100,293.76,1,19,1,1,2,2,2,243835,295632,              ,              ,              ,539467
22,2,3,1,2,2000,2,3, ,1,1952,  ,4,3,         ,13,1,2,1,2,2,2,2,35,12,22,1,1,1,1,1,6,3,2,20,40,0,1,12,1923.38,1,21,1,2,1,2,2,3716,              ,195969,              ,              ,199685
23,3,5,2,5,160000,7,1,2,   ,1962,  ,5,3,         ,3,1,2,1,1,1,2,2,75,75,70,4,125,6,125,6,4,4,3,     ,     , ,2,75,225.04,1,1,1,2,2,2,2,1340418,              ,              ,              ,              ,1340418
24,3,5,1,4,1500,2,1,2,   ,1935,  ,3,1,200,12,1,2,2,2,2,2,2,100,   ,6,1,0,0,0,0,6,5,3,     ,     , ,1,100,1882.46,2,3,1,2,2,2,2,348,              ,              ,              ,              ,348
25,3,7,2,5,3000,2,1,2,   ,1984,  ,7,3,         ,3,1,2,1,1,2,2,2,15,15,66,4,8,2,8,2,3,5,2,100,60,0,1,100,1678.97,1,12,1,2,2,2,2,165960,              ,              ,              ,              ,165960
26,4,9,2,4,8000,3,2, ,0,1976,  ,6,3,         ,5,1,2,1,1,2,1,2,15,15,68,4,7,2,7,2,4,4,2,125,50,2,1,100,150.1,1,22,1,1,2,2,2,339279,27063,              ,              ,              ,366342
27,1,2,2,2,350000,8,1,2,   ,1964,  ,5,3,         ,5,2,2,2,1,2,2,2,   ,   ,55,3,20,4,20,4,5,4,2,180,980,2,3,50,12.03,1,15,1,2,2,2,2,4049280,              ,              ,              ,              ,4049280
28,4,9,2,4,35000,5,2, ,0,1960,  ,5,3,         ,18,1,2,2,1,2,2,2,75,   ,168,6,2,1,2,1,5,4,2,300,120,0,2,50,290.6,2,11,1,1,2,2,2,443563,1357971,              ,              ,              ,1801534
29,2,3,2,2,2500,2,1,1,   ,1979,  ,6,3,         ,1,2,2,2,2,2,2,2,   ,   ,   , ,     ,  ,     ,  ,3,5,3,     ,     , ,1,991,1605.92,1,21,1,2,2,2,2,7622,              ,              ,              ,              ,7622
30,3,7,2,5,5000,2,1,2,   ,1980,  ,7,3,         ,2,1,2,1,1,2,2,2,100,60,55,3,20,4,20,4,4,4,3,     ,     , ,1,100,489.1,1,12,1,2,2,2,2,761825,              ,              ,              ,              ,761825
31,3,7,1,5,2500,2,2, ,0,1946,  ,4,3,         ,3,1,2,1,2,2,2,2,100,10,27,1,1,1,1,1,5,4,2,60,40,0,1,50,640.23,2,19,1,2,2,2,2,24089,              ,              ,              ,              ,24089
32,2,3,2,3,80000,6,3, ,1,1957,  ,4,3,         ,13,1,2,1,1,2,2,2,100,100,98,5,12,3,9,2,5,4,2,170,125,0,4,80,2.57,1,18,1,2,2,1,2,2026165,              ,              ,3907000,              ,5933165
33,4,9,2,3,90000,6,1,2,   ,1980,  ,7,3,         ,5,1,1,1,1,2,2,2,100,3,45,2,4,1,4,1,3,4,2,600,150,0,1,15,20.06,1,20,1,1,2,2,2,552181,1279047,              ,              ,              ,1831228
