BLDGID4,REGION4,CENDIV4,MSA4,CLIMATE4,SQFT4,SQFTC4,PBA4,HT14,HT24,COOL4,WATR4,COOK4,MANU4,GENR4,HEATP4,COOLP4,WKHRS4,WKHRSC4,NWKER4,NWKERC4,YRCON4,YRCONC4,NFLOOR4,LTOHRP4,ADJWT4,STRATUM4,PAIR4,ELSUPL4,NGSUPL4,FKSUPL4,STSUPL4,HWSUPL4,ELBTU4,NGBTU4,FKBTU4,STBTU4,HWBTU4,MFBTU4
1,3,7,2,5,50001,6,4,1,2,1,1,2,1,2,100,85,86,5,13,3,1968,5,3,85,1.13,,0,1,1,2,2,1,2452539,20007,0,0,61880000,64352546
2,2,3,2,2,300000,8,2,1,2,1,1,2,2,1,100,100,53,3,1200,9,1979,6,14,100,21.19,5,1,1,2,1,2,2,29321632,0,832528,0,0,30154160
3,3,7,2,5,15000,4,3,1,2,1,2,2,2,2,20,20,48,2,12,3,1950,4,1,90,597.74,10,1,1,1,2,2,2,220909,243627,0,0,0,464536
4,2,3,1,3,12500,4,13,1,2,2,1,1,2,2,100,0,45,2,22,4,1952,4,1,100,584.61,8,2,1,1,2,2,2,245038,1104025,0,0,0,1349063
5,4,9,2,4,7000,3,14,1,2,2,1,1,2,2,50,0,33,1,2,1,1937,3,2,5,1735.25,15,2,1,1,2,2,2,29606,1246020,0,0,0,1275626
6,3,5,2,5,1000000,9,17,2,2,1,1,1,2,1,0,100,168,7,2500,10,1926,3,6,100,3.13,8,2,1,1,1,2,2,8681525,19602231,2593311,0,0,30877067
7,1,2,2,2,8000,3,2,1,2,1,1,2,2,2,100,60,43,2,6,2,1927,3,3,60,469.94,13,1,1,1,2,2,2,250805,186596,0,0,0,437401
8,3,5,2,3,40000,5,12,1,2,1,1,2,2,2,10,10,101,5,32,4,1967,5,2,100,1.03,,0,1,1,2,2,2,432657,664199,0,0,0,1096856
9,4,9,2,4,2500,2,19,1,2,1,1,2,2,2,100,20,55,3,2,1,1987,9,2,100,1654.84,15,2,1,2,2,2,2,24183,0,0,0,0,24183
10,4,9,2,4,12500,4,4,1,2,1,1,2,2,2,90,90,63,4,6,2,1929,3,2,70,497.59,2,2,1,1,2,2,2,561994,199338,0,0,0,761332
11,2,3,2,2,22500,4,12,2,2,2,2,2,2,2,0,0,168,7,0,0,1970,6,1,9,263.93,5,1,1,2,2,2,2,108016,0,0,0,0,108016
12,2,4,1,2,50001,6,15,1,1,1,1,1,2,2,100,100,168,7,38,4,1959,4,3,100,91.63,9,1,1,1,1,2,2,4543307,9693722,0,0,0,14237029
13,3,7,2,5,7000,3,4,1,2,2,1,2,2,2,100,0,43,2,3,1,1924,3,1,100,1597.65,9,1,1,1,2,2,2,39611,191245,0,0,0,230856
14,3,5,2,3,250000,8,13,1,2,1,1,1,2,2,100,95,87,5,400,7,1971,6,5,95,21.99,4,2,1,1,2,2,2,11433069,12493773,0,0,0,23926842
15,4,8,2,5,350000,8,2,1,2,1,1,2,2,2,100,100,60,3,450,7,1961,5,10,100,20,1,1,1,1,2,2,2,10718023,949829,0,0,0,11667852
16,4,9,2,4,60000,6,12,1,2,1,1,2,2,2,20,20,60,3,7,2,1975,6,2,100,163.32,1,1,1,1,2,2,2,2192233,476488,0,0,0,2668721
17,2,3,2,2,2000,2,2,1,2,1,1,2,2,2,100,100,45,2,5,2,1968,5,2,66,1636.1,14,2,1,1,2,2,2,28515,107805,0,0,0,136320
18,3,7,2,5,3500,2,4,1,2,1,1,1,2,2,50,80,25,1,6,2,1959,4,1,100,1859.44,13,1,1,1,2,2,2,17610,67732,0,0,0,85342
19,2,3,2,2,90000,6,3,1,2,1,1,2,2,2,100,20,85,5,45,4,1967,5,2,100,21.19,14,1,1,1,2,2,2,1510462,264967,0,0,0,1775429
20,4,8,2,5,50000,5,12,1,2,1,1,2,1,2,5,100,52,3,20,4,1986,8,1,100,268.52,3,2,1,2,2,2,2,1735859,0,0,0,0,1735859
21,4,9,2,4,180000,7,2,1,2,1,2,1,2,2,60,60,84,4,300,7,1981,7,6,90,256.39,15,2,1,1,2,2,2,15510900,1458092,0,0,0,16968992
22,4,9,2,3,80000,6,3,1,2,1,1,2,2,2,100,100,80,4,75,5,1988,9,2,100,248.34,3,1,1,2,2,2,2,4307306,0,0,0,0,4307306
23,4,9,2,4,180000,7,19,2,2,2,2,2,2,2,0,0,168,7,4,1,1983,7,5,100,72.41,4,1,1,2,2,2,2,1525485,0,0,0,0,1525485
24,4,9,2,4,2000,2,1,2,2,2,2,2,2,2,0,0,0,,0,,1935,3,1,997,1.17,,0,2,2,2,2,2,0,0,0,0,0,0
25,3,5,2,3,2500,2,2,1,2,1,1,2,2,2,50,50,45,2,7,2,1986,8,2,100,1597.64,12,1,1,2,2,2,2,72218,0,0,0,0,72218
26,3,5,2,4,20000,4,17,1,2,1,1,1,2,2,85,85,168,7,30,4,1970,6,3,10,496.13,16,1,1,2,2,2,2,3473689,0,0,0,0,3473689
27,3,7,2,5,1500,2,13,1,2,1,2,2,2,2,100,100,88,5,4,1,1978,6,1,100,496.13,13,1,1,2,2,2,2,39017,0,0,0,0,39017
28,3,5,2,4,4000,2,14,1,2,1,1,1,2,2,100,85,79,4,4,1,1977,6,1,100,1472.34,1,2,1,1,2,2,2,248164,812577,0,0,0,1060741
29,4,8,2,5,30000,5,12,1,2,1,1,2,1,2,25,25,59,3,10,3,1986,8,2,95,268.52,3,2,1,2,2,2,2,356390,0,0,0,0,356390
30,3,5,2,4,12500,4,3,1,2,1,1,2,1,2,100,8,43,2,15,3,1939,3,1,100,1595.2,16,2,1,1,2,2,2,11519,120282,0,0,0,131801
31,3,7,2,5,20000,4,3,1,2,1,2,2,2,2,60,60,65,4,20,4,1962,5,1,90,5.74,6,2,1,2,2,2,3,2224906,0,0,0,0,2224906
32,1,2,2,2,15000,4,4,1,1,1,1,2,2,2,100,15,54,3,8,2,1961,5,3,20,257.34,1,1,1,1,1,2,2,315542,536441,446166,0,0,1298149
33,3,6,2,4,20000,4,17,1,2,1,1,2,2,2,99,99,168,7,9,2,1978,6,3,99,347.16,10,1,1,1,2,2,2,1171939,1185820,0,0,0,2357759
