PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,CLIMATE7 ,NFLOOR7  ,YRCON7   ,MONCON7  ,GOVOWN7  ,GOVTYP7  ,NOCC7    ,NOCCAT7  ,OWNOCC7  ,OWNREP7  ,MONUSE7  ,PORVAC7  ,OPEN247  ,OPNMF7   ,OPNWE7   ,WKHRS7   ,WKHRSC7  ,NWKER7   ,NWKERC7  ,HT17     ,HT27     ,COOL7    ,WATR7    ,COOK7    ,MANU7    ,GENR7    ,HEATP7   ,HTLS507  ,COOLP7   ,LTOHRP7  ,ADJWT7   ,PAIR7    ,STRATUM7
00001,4,9, 225000.00,08,06,08,1,2,2,2,1,2,5,  4,1987,  ,2, ,    1,02,1, ,12,2,2,1,1, 60,4,  1300,10,1,2,1,1,2,2,2,100, ,100,100,   88.72,2,16
00002,2,3, 425000.00,08,07,07,1,1,1,2,2,1,2,  5,1993,  ,1,3,    1,02,1, ,12,1,1, , ,168,7,   400,08,1,1,1,1,1,2,1,100, ,100,100,   14.49,1,41
00003,2,4,  60000.00,06,06,02,1,1,1,2,2,2,2,  2,1986,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,   850,09,1,1,1,1,2,2,1,100, ,100,100,  628.33,2,36
00004,2,3,   2750.00,02,06,02,1,1,2,2,2,2,2,  1,1986,  ,2, ,    2,03,2,1,12,2,2,1,2, 45,3,    10,04,1,2,1,2,2,2,2,100, ,100, 95,  464.75,1,07
00005,2,3,  30000.00,05,04,12,1,1,2,2,2,2,2,  1,1963,  ,2, ,    1,02,1, ,12,2,2,1,1, 70,5,     6,03,1,1,1,1,1,2,2,100, ,100, 33,  558.67,1,07
00006,3,5, 180000.00,07,06,02,1,2,2,2,2,2,3,991,1988,  ,2, ,    4,03,1, ,12,2,1, , ,168,7,   700,09,1,2,1,1,1,2,2, 75, , 75,100,   36.68,2,08
00007,3,6,  50001.00,06,06,02,1,1,2,2,2,2,4,  6,1985,  ,2, ,   19,05,2,1,12,2,2,1,2, 55,4,   300,08,1,1,1,1,2,2,2,100, ,100,100,  264.22,1,39
00008,2,3,  10001.00,04,04,26,1,1,2,2,2,2,2,  1,1968,  ,2, ,    1,02,1, ,12,2,2,1,1, 68,5,    31,05,1,1,1,1,2,2,2,100, ,100, 90,  173.89,2,26
00009,3,5,  60000.00,06,06,17,1,1,1,2,2,2,5,  1,1987,  ,2, ,    1,02,2,1,12,2,1, , ,168,7,    45,05,1,2,1,1,1,2,1,100, ,100,100,  192.41,1,38
00010,3,7, 100001.00,07,04,14,1,2,2,2,1,2,5,  3,1964,  ,2, ,    1,02,1, ,12,2,2,1,1, 84,5,    68,06,1,2,1,1,2,2,2,100, ,100,100,   27.84,2,42
00011,4,9,  40000.00,05,05,02,1,1,2,2,2,2,4,  3,1971,  ,2, ,    3,03,2,2,12,2,2,1,2, 70,5,   200,07,1,2,1,1,2,2,2,100, ,100,100,  152.37,1,17
00012,4,8,   5500.00,03,04,15,1,1,2,2,2,2,5,  2,1963,  ,2, ,    1,02,1, ,12,2,2,1,1, 70,5,    10,04,1,2,1,1,1,2,2,100, ,100,100, 3494.37,2,42
00013,2,3,  95000.00,06,05,23,1,1,2,2,2,2,1,  3,1978,  ,2, ,   15,05,1, ,12,1,2,1,1,140,6,   200,07,1,1,1,1,1,2,2,100, ,100, 90,  156.97,2,34
00014,4,9,  10000.00,03,06,05,2,2,2,2,2,2,3,  1,1987,  ,2, ,    1,02,1, ,12,2,2,1,1, 84,5,     1,02,2,2,2,2,2,2,2,   , ,   ,   ,  493.51,2,35
