BLDGID6  ,REGION6  ,CENDIV6  ,SQFT6    ,SQFTC6   ,YRCONC6  ,PBA6     ,ELUSED6  ,NGUSED6  ,FKUSED6  ,STUSED6  ,HWUSED6  ,ADJWT6   ,PAIR6    ,STRATUM6 ,NGHTBTU6 ,NGCLBTU6 ,NGWTBTU6 ,NGCKBTU6 ,NGMSBTU6 ,FKHTBTU6 ,FKCLBTU6 ,FKWTBTU6 ,FKCKBTU6 ,FKMSBTU6 ,DHHTBTU6 ,DHCLBTU6 ,DHWTBTU6 ,DHCKBTU6 ,DHMSBTU6
00002,1,2,   700000,09,05,05,1,2,1,2,2,  100.52,1,23,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,       5025842,             0,             0,             0,             0,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999
00003,3,7,  1600000,10,06,16,1,1,1,1,2,    1.04,2,09,     261672962,             0,             0,      50712420,      50712420,             0,             0,             0,             0,        371381,       2383147,         66293,      54138949,        168610,             0
00005,4,9,   120000,07,02,13,1,1,2,1,2,  112.72,2,40,             0,             0,             0,       1018760,        509416,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,       2769154,             0,       2426846,         55000,             0
00007,3,5,   120000,07,07,18,1,2,2,2,2,   19.15,2,27,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999
00008,3,7,     5001,03,03,25,2,2,2,2,2,  207.27,1,25,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999
00009,2,3,     3500,02,05,26,1,1,1,2,2,  474.50,2,28,        238059,             0,             0,             0,             0,        117886,             0,             0,             0,             0,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999
00011,3,5,    25000,04,07,25,1,2,1,2,2,  105.20,1,14,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,        413851,             0,             0,             0,             0,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999
00014,1,2,   300000,08,05,13,1,1,2,2,2,   13.84,1,15,      29586965,             0,      13464843,             0,       2114934,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999
00016,1,2,     1750,02,04,07,1,1,1,2,2, 5849.83,1,17,             0,             0,             0,             0,        421789,        162826,             0,        175994,             0,             0,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999
00018,4,9,     3000,02,06,14,1,1,2,2,2, 5849.83,1,20,         32894,             0,         42487,          7498,             0,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999
