GHG Constraint,,,,,
INPUT_TABLE,,,,,
Variable ID,,,,,
2,,,,,
,,,,,
region,policy,market,2020,2025,2030
Africa_Eastern,CO2,Africa_Eastern,1000000,1000000,1000000
Africa_Northern,CO2,Africa_Northern,1000000,1000000,1000000
Africa_Southern,CO2,Africa_Southern,1000000,1000000,1000000
Africa_Western,CO2,Africa_Western,1000000,1000000,1000000
Argentina,CO2,Argentina,50.38163483,57.31743371,63.27451306
Australia_NZ,CO2,Australia_NZ,100.8172085,98.5575124,95.95886194
Brazil,CO2,Brazil,168.3215181,205.104845,233.2036978
Canada,CO2,Canada,145.758258,144.6075349,143.2842034
Central America and Caribbean,CO2,Central America and Caribbean,54.68179094,63.95312697,72.71075928
Central Asia,CO2,Central Asia,133.3317749,137.3317282,141.9316744
China,CO2,China,3890.520345,4665.901602,5007.305021
Colombia,CO2,Colombia,25.5312449,30.30690187,35.43716506
EU-12,CO2,EU-12,175.498747,170.8531919,165.5108036
EU-15,CO2,EU-15,827.1738379,805.2780599,780.0979151
Europe_Eastern,CO2,Europe_Eastern,184.0660329,184.0660329,184.0660329
Europe_Non_EU,CO2,Europe_Non_EU,1000000,1000000,1000000
European Free Trade Association,CO2,European Free Trade Association,18.94310688,18.18778047,17.31915509
India,CO2,India,832.1386533,1080.332323,1339.616657
Indonesia,CO2,Indonesia,179.3520144,231.1663976,277.4566465
Japan,CO2,Japan,316.7332737,310.8612524,304.1084278
Mexico,CO2,Mexico,124.4527355,143.8593236,161.9916627
Middle East,CO2,Middle East,495.2549949,566.705589,630.2760396
Pakistan,CO2,Pakistan,1000000,1000000,1000000
Russia,CO2,Russia,573.715127,573.715127,573.715127
South Africa,CO2,South Africa,123.5889852,137.0529231,147.4384475
South America_Northern,CO2,South America_Northern,49.15549753,55.29658956,61.20699807
South America_Southern,CO2,South America_Southern,70.26616504,86.24754685,100.450074
South Asia,CO2,South Asia,1000000,1000000,1000000
South Korea,CO2,South Korea,153.8471266,162.546938,166.3846752
Southeast Asia,CO2,Southeast Asia,1000000,1000000,1000000
Taiwan,CO2,Taiwan,83.99143412,84.85210306,80.64504532
USA,CO2,USA,1532.933777,1520.831668,1506.914243
