Date/Time	Cooling (E)	Heating (E)	HVAC Fan/Pump (E)	Hot Water (E)	Lights (E)	Lg. Appl. (E)	Vent Fan (E)	Misc. (E)
	kWh	kWh	kWh	kWh	kWh	kWh	kWh	kWh
5/5/2001 00:00	0.0142	0.0000	0.0028	0.11426	0.08361	0.09397	0.011700	0.29869
5/5/2001 01:00	0.0000	0.0000	0.0000	0.07356	0.05017	0.07966	0.011700	0.27502
5/5/2001 02:00	0.0000	0.0000	0.0000	0.06329	0.03344	0.06742	0.011700	0.27183
5/5/2001 03:00	0.0000	0.5157	0.0317	0.06918	0.03344	0.06007	0.011700	0.26800
5/5/2001 04:00	0.0000	0.0000	0.0000	0.10088	0.03344	0.07002	0.011700	0.25788
5/5/2001 05:00	0.0000	0.0000	0.0000	0.24018	0.03530	0.08238	0.011700	0.28777
5/5/2001 06:00	0.0000	0.0000	0.0000	0.50059	0.05017	0.13459	0.011700	0.33249
5/5/2001 07:00	0.0000	0.0000	0.0000	0.56996	0.08361	0.21032	0.041700	0.35330
5/5/2001 08:00	0.0000	0.0000	0.0000	0.54937	0.06317	0.27132	0.011700	0.29869
5/5/2001 09:00	0.0000	0.0000	0.0000	0.48955	0.03344	0.33250	0.011700	0.25421
5/5/2001 10:00	0.0000	0.0000	0.0000	0.42021	0.02787	0.34779	0.011700	0.26019
5/5/2001 11:00	0.0000	0.0000	0.0000	0.36089	0.02787	0.36309	0.011700	0.26027
5/5/2001 12:00	0.0000	0.0000	0.0000	0.31428	0.02787	0.35331	0.011700	0.25589
5/5/2001 13:00	0.2163	0.0000	0.0404	0.28654	0.02787	0.32072	0.011700	0.26473
5/5/2001 14:00	0.2611	0.0000	0.0494	0.25845	0.02787	0.29567	0.011700	0.27964
5/5/2001 15:00	0.6396	0.0000	0.1186	0.26237	0.02787	0.30433	0.011700	0.29518
5/5/2001 16:00	0.5593	0.0000	0.1016	0.29603	0.02973	0.35098	0.011700	0.34915
5/5/2001 17:00	0.6315	0.0000	0.1158	0.36911	0.03716	0.43555	0.011700	0.42416
5/5/2001 18:00	0.6081	0.0000	0.1137	0.43755	0.06503	0.39348	0.041700	0.46051
5/5/2001 19:00	0.3785	0.0000	0.0735	0.44949	0.13006	0.31774	0.011700	0.47534
5/5/2001 20:00	0.0000	0.0000	0.0000	0.40896	0.22854	0.28125	0.011700	0.49168
5/5/2001 21:00	0.0000	0.0000	0.0000	0.36222	0.29914	0.26494	0.011700	0.48020
5/5/2001 22:00	0.0000	0.0000	0.0000	0.28570	0.23411	0.21327	0.011700	0.41555
5/5/2001 23:00	0.0000	0.0000	0.0000	0.20278	0.16351	0.14336	0.011700	0.36111
5/6/2001 00:00	0.0000	0.0000	0.0000	0.11548	0.08361	0.09397	0.011700	0.29869
5/6/2001 01:00	0.0000	0.0386	0.0024	0.08032	0.05017	0.08360	0.011700	0.27502
5/6/2001 02:00	0.0000	0.0000	0.0000	0.06903	0.03344	0.07003	0.011700	0.27183
5/6/2001 03:00	0.0000	0.0000	0.0000	0.07175	0.03344	0.06144	0.011700	0.26800
5/6/2001 04:00	0.0000	0.0000	0.0000	0.10642	0.03344	0.07269	0.011700	0.25788
5/6/2001 05:00	0.0000	0.0000	0.0000	0.25828	0.03530	0.08648	0.011700	0.28777
5/6/2001 06:00	0.0000	0.0000	0.0000	0.54202	0.05017	0.14521	0.011700	0.33249
5/6/2001 07:00	0.0000	0.0000	0.0000	0.61955	0.08361	0.23148	0.041700	0.35330
5/6/2001 08:00	0.0000	0.0000	0.0000	0.60066	0.06317	0.30375	0.011700	0.29869
5/6/2001 09:00	0.0333	0.0000	0.0064	0.53607	0.03344	0.37753	0.011700	0.25421
5/6/2001 10:00	0.2227	0.0000	0.0409	0.45959	0.02787	0.39871	0.011700	0.26019
5/6/2001 11:00	0.4098	0.0000	0.0730	0.39255	0.02787	0.41558	0.011700	0.26027
5/6/2001 12:00	0.4789	0.0000	0.0844	0.34126	0.02787	0.40112	0.011700	0.25589
5/6/2001 13:00	0.5904	0.0000	0.1010	0.31043	0.02787	0.36431	0.011700	0.26473
5/6/2001 14:00	0.6747	0.0000	0.1154	0.28067	0.02787	0.33480	0.011700	0.27964
5/6/2001 15:00	0.7740	0.0000	0.1337	0.28459	0.02787	0.34138	0.011700	0.29518
5/6/2001 16:00	0.8071	0.0000	0.1439	0.32358	0.02973	0.38690	0.011700	0.34915
5/6/2001 17:00	0.8018	0.0000	0.1459	0.40252	0.03716	0.47090	0.011700	0.42416
5/6/2001 18:00	0.6444	0.0000	0.1209	0.48149	0.06503	0.42779	0.041700	0.46051
5/6/2001 19:00	0.4919	0.0000	0.0957	0.49901	0.13006	0.35199	0.011700	0.47534
5/6/2001 20:00	0.3158	0.0000	0.0629	0.45608	0.22854	0.31611	0.011700	0.49168
5/6/2001 21:00	0.2143	0.0000	0.0431	0.39916	0.29914	0.30055	0.011700	0.48020
5/6/2001 22:00	0.1344	0.0000	0.0271	0.31478	0.23411	0.24157	0.011700	0.41555
5/6/2001 23:00	0.0714	0.0000	0.0145	0.22119	0.16351	0.15890	0.011700	0.36111
5/7/2001 00:00	0.0107	0.0000	0.0022	0.12099	0.08361	0.10055	0.011700	0.29869
5/7/2001 01:00	0.0000	0.0000	0.0000	0.07704	0.05017	0.08360	0.011700	0.27502
5/7/2001 02:00	0.0000	0.0000	0.0000	0.06580	0.03344	0.07003	0.011700	0.27183
5/7/2001 03:00	0.0000	0.0000	0.0000	0.06930	0.03344	0.06144	0.011700	0.26800
5/7/2001 04:00	0.0000	0.0000	0.0000	0.10404	0.03344	0.07269	0.011700	0.25788
5/7/2001 05:00	0.0000	0.0000	0.0000	0.25519	0.03530	0.08648	0.011700	0.28777
5/7/2001 06:00	0.0000	0.0000	0.0000	0.53757	0.05017	0.14521	0.011700	0.33249
5/7/2001 07:00	0.0000	0.0000	0.0000	0.61463	0.08361	0.23148	0.041700	0.35330
5/7/2001 08:00	0.0000	0.0000	0.0000	0.59607	0.06317	0.30375	0.011700	0.29869
5/7/2001 09:00	0.1617	0.0000	0.0301	0.53238	0.03344	0.37753	0.011700	0.25421
5/7/2001 10:00	0.3117	0.0000	0.0566	0.45741	0.02787	0.39871	0.011700	0.26019
5/7/2001 11:00	0.4650	0.0000	0.0834	0.39071	0.02787	0.41558	0.011700	0.26027
5/7/2001 12:00	0.5039	0.0000	0.0896	0.33968	0.02787	0.40112	0.011700	0.25589
5/7/2001 13:00	0.5787	0.0000	0.1018	0.30902	0.02787	0.36431	0.011700	0.26473
5/7/2001 14:00	0.6367	0.0000	0.1120	0.27940	0.02787	0.33480	0.011700	0.27964
5/7/2001 15:00	0.6117	0.0000	0.1109	0.28331	0.02787	0.34138	0.011700	0.29518
5/7/2001 16:00	0.5643	0.0000	0.1033	0.32212	0.02973	0.38690	0.011700	0.34915
5/7/2001 17:00	0.5035	0.0000	0.0941	0.40069	0.03716	0.47090	0.011700	0.42416
5/7/2001 18:00	0.4189	0.0000	0.0790	0.47932	0.06503	0.42779	0.041700	0.46051
