Date/Time	Cooling (E)	Heating (E)	HVAC Fan/Pump (E)	Hot Water (E)	Lights (E)	Lg. Appl. (E)	Vent Fan (E)	Misc. (E)
	kWh	kWh	kWh	kWh	kWh	kWh	kWh	kWh
8/6/2001 00:00	0.2989	0.0000	0.0547	0.09920	0.08315	0.10055	0.011700	0.29869
8/6/2001 01:00	0.2305	0.0000	0.0427	0.06620	0.04950	0.08360	0.011700	0.27502
8/6/2001 02:00	0.1849	0.0000	0.0346	0.05797	0.03366	0.07003	0.011700	0.27183
8/6/2001 03:00	0.1542	0.0000	0.0291	0.06035	0.03366	0.06144	0.011700	0.26800
8/6/2001 04:00	0.1323	0.0000	0.0252	0.08595	0.03366	0.07269	0.011700	0.25788
8/6/2001 05:00	0.1443	0.0000	0.0273	0.19988	0.03564	0.08648	0.011700	0.28777
8/6/2001 06:00	0.1873	0.0000	0.0352	0.41238	0.05742	0.14521	0.011700	0.33249
8/6/2001 07:00	0.3074	0.0000	0.0574	0.46793	0.10097	0.23148	0.041700	0.35330
8/6/2001 08:00	0.4734	0.0000	0.0855	0.45189	0.07920	0.30375	0.011700	0.29869
8/6/2001 09:00	0.6422	0.0000	0.1122	0.40290	0.03960	0.37753	0.011700	0.25421
8/6/2001 10:00	0.8587	0.0000	0.1448	0.34622	0.03168	0.39871	0.011700	0.26019
8/6/2001 11:00	1.1394	0.0000	0.1867	0.29662	0.03168	0.41558	0.011700	0.26027
8/6/2001 12:00	1.1101	0.0000	0.1770	0.25868	0.03168	0.40112	0.011700	0.25589
8/6/2001 13:00	1.2197	0.0000	0.1887	0.23666	0.03168	0.36431	0.011700	0.26473
8/6/2001 14:00	1.2700	0.0000	0.1965	0.21485	0.03168	0.33480	0.011700	0.27964
8/6/2001 15:00	1.3539	0.0000	0.2096	0.21821	0.03168	0.34138	0.011700	0.29518
8/6/2001 16:00	1.4572	0.0000	0.2257	0.24739	0.03366	0.38690	0.011700	0.34915
8/6/2001 17:00	1.4740	0.0000	0.2335	0.30756	0.04356	0.47090	0.011700	0.42416
