Source Energy Use (MBtu/yr),,,,,,,,,,,,
,,,,,,,,,,,,
, SC[1],ME[1],NY[1],FL[1],IN[1],TN[1],TX[1],NE[1],UT[1],CA[1],OR[1],LA[1]
Misc. (E),33.41,33.41,33.41,33.41,33.41,33.41,33.41,33.41,33.41,33.41,33.41,33.41
Vent Fan (E),1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43
Lg. Appl. (E),24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
Lights (E),10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84
HVAC Fan/Pump (E),5.93,9.74,9.74,5.21,9.35,7.21,6.95,10.35,9.2,5.5,6.33,6.7
Cooling (E),22.73,3.65,4.28,32.63,9.1,22.05,29.53,13.43,10.98,12.42,5.71,26.09
Heating (E),31.71,170.28,160.27,6.72,137.42,54.27,20.81,137.54,100.2,44.83,81.71,26.5
Hot Water (E),31.91,47.24,45.98,27.22,42.66,33.95,29.35,42.08,41.06,35.98,40.38,30.73
Total,162.45,301.08,290.44,141.95,268.71,187.65,156.8,273.57,231.62,168.9,204.31,160.2
