# File: A_Fert_technology.csv,,,
# Description: Technologies and inputs of fertilizer production,,,
# Original source: NA,,,
# ----------,,,
supplysector,subsector,technology,minicam.energy.input
N fertilizer,coal,coal,delivered coal
N fertilizer,coal,coal CCS,delivered coal
N fertilizer,gas,gas,wholesale gas
N fertilizer,gas,gas CCS,wholesale gas
N fertilizer,refined liquids,refined liquids,refined liquids industrial
Exports_fertilizer,N fertilizer,N fertilizer,N fertilizer
