region_GCAM3,resource,subresource,maxSubResource,mid-price,curve-exponent
Africa,biomass,generic waste biomass,9,0.771666667,4.323
Australia_NZ,biomass,generic waste biomass,0.75,0.771666667,4.323
Canada,biomass,generic waste biomass,1.5,0.771666667,4.323
China,biomass,generic waste biomass,7.5,0.771666667,4.323
Eastern Europe,biomass,generic waste biomass,0.825,0.771666667,4.323
Former Soviet Union,biomass,generic waste biomass,7.5,0.771666667,4.323
India,biomass,generic waste biomass,7.5,0.771666667,4.323
Japan,biomass,generic waste biomass,3.315,0.771666667,4.323
Korea,biomass,generic waste biomass,1.5,0.771666667,4.323
Latin America,biomass,generic waste biomass,12.315,0.771666667,4.323
Middle East,biomass,generic waste biomass,0.525,0.771666667,4.323
Southeast Asia,biomass,generic waste biomass,3.75,0.771666667,4.323
USA,biomass,generic waste biomass,8.22,0.771666667,4.323
Western Europe,biomass,generic waste biomass,10.425,0.771666667,4.323
