# Electricity sector intermittent technology information,,,,,,,
supplysector,subsector,technology,electric.sector.name,trial.market.name,backup.capital.cost,backup.capacity.factor,capacity.limit
electricity,wind,wind,electricity,renewable,30,0.05,0.25
electricity,solar,PV,electricity,renewable,30,0.05,0.25
electricity,solar,CSP,electricity,renewable,30,0.05,0.25
elect_td_bld,rooftop_pv,rooftop_pv,electricity,renewable,30,0.05,0.25
