# Electricity technology capital costs,,,,,,,,,,,,,,
supplysector,subsector,technology,input.OM.fixed,capacity.factor,1971,1990,2005,2020,2035,2050,2065,2080,2095,2100
electricity,coal,coal (conv pul),OM-fixed,0.8,8.83,8.83,8.83,8.83,8.31,7.83,7.37,6.94,6.54,6.54
electricity,coal,coal (IGCC),OM-fixed,0.8,12.40,12.40,12.40,12.40,11.57,10.42,10.36,10.03,9.92,9.92
electricity,coal,coal (IGCC CCS),OM-fixed,0.8,14.22,14.22,14.22,14.22,13.14,11.79,11.69,11.32,11.20,11.20
electricity,gas,gas (steam/CT),OM-fixed,0.8,3.63,3.63,3.63,3.75,3.53,3.33,3.13,2.95,2.78,2.78
electricity,gas,gas (CC),OM-fixed,0.8,3.88,3.88,3.88,3.88,3.54,3.26,3.21,3.13,3.10,3.10
electricity,gas,gas (CC CCS),OM-fixed,0.8,4.29,4.29,4.29,4.29,3.90,3.56,3.50,3.41,3.38,3.38
electricity,refined liquids,refined liquids (steam/CT),OM-fixed,0.8,3.63,3.63,3.63,3.75,3.53,3.33,3.13,2.95,2.78,2.78
electricity,refined liquids,refined liquids (IGCC),OM-fixed,0.8,11.16,11.16,11.16,11.16,10.20,9.37,9.24,9.01,8.93,8.93
electricity,refined liquids,refined liquids (IGCC CCS),OM-fixed,0.8,12.02,12.02,12.02,12.02,10.93,10.01,9.86,9.60,9.51,9.51
electricity,biomass,biomass (conv),OM-fixed,0.8,9.09,9.09,9.09,9.09,8.56,8.06,7.59,7.15,6.73,6.73
electricity,biomass,biomass (IGCC),OM-fixed,0.8,12.77,12.77,12.77,12.77,11.91,10.73,10.67,10.33,10.22,10.22
electricity,biomass,biomass (IGCC CCS),OM-fixed,0.8,14.33,14.33,14.33,14.33,13.26,11.90,11.81,11.44,11.31,11.31
electricity,nuclear,Gen_II_LWR,OM-fixed,0.9,22.02,22.02,22.02,22.02,22.02,22.02,22.02,22.02,22.02,22.02
electricity,nuclear,Gen_III,OM-fixed,0.9,21.77,21.77,21.77,21.77,21.41,21.09,20.77,20.50,20.19,20.19
electricity,wind,wind,OM-fixed,0.45,3.75,3.75,3.75,3.75,3.61,3.48,3.35,3.22,3.10,3.10
electricity,wind,wind_storage,OM-fixed,0.45,8.63,8.63,8.63,8.63,8.49,8.36,8.23,8.11,7.99,7.99
electricity,solar,PV,OM-fixed,0.25,8.93,8.93,8.93,8.93,7.14,6.43,5.71,5.36,5.36,5.36
electricity,solar,PV_storage,OM-fixed,0.25,17.42,17.42,17.42,16.23,13.66,12.48,11.54,10.97,10.76,10.76
electricity,solar,CSP,OM-fixed,0.31,16.62,16.62,16.62,15.42,14.30,13.26,12.30,11.41,10.59,10.59
electricity,solar,CSP_storage,OM-fixed,0.73,16.62,16.62,16.62,15.42,14.30,13.26,12.30,11.41,10.59,10.59
electricity,geothermal,geothermal,OM-fixed,0.9,23.54,23.54,23.54,21.91,20.24,19.02,18.34,17.67,16.99,16.99
elect_td_bld,rooftop_pv,rooftop_pv,OM-fixed,0.25,46.77,46.77,46.77,22.49,17.30,12.48,8.00,7.69,7.40,7.40
