# District heat subsector shareweight interpolation,,,,,,
supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
district heat,biomass,share-weight,final-calibration-year,end-year,,fixed
district heat,coal,share-weight,final-calibration-year,end-year,,fixed
district heat,gas,share-weight,final-calibration-year,end-year,,fixed
district heat,refined liquids,share-weight,final-calibration-year,end-year,,fixed
