# Primary energy transformation technology interpolation (for techs that may have cal values in subsectors with multiple calibrated technologies),,,,,,
supplysector,subsector,technology,apply.to,from.year,to.year,interpolation.function
refining,biomass liquids,cellulosic ethanol,share-weight,final-calibration-year,2020,linear
refining,biomass liquids,FT biofuels,share-weight,final-calibration-year,2020,linear
refining,biomass liquids,corn ethanol,share-weight,final-calibration-year,end-year,linear
refining,biomass liquids,sugar cane ethanol,share-weight,final-calibration-year,end-year,linear
refining,biomass liquids,biodiesel,share-weight,final-calibration-year,end-year,linear
