# Industry default supplysector information (units and logit exponents),,,,
supplysector,output.unit,input.unit,price.unit,logit.exponent
N fertilizer,Mt N,EJ,1975$/kgN,-3
Exports_fertilizer,Mt N,Mt N,1975$/kgN,-3
