# Transportation default subsector shareweights,,,,
supplysector,subsector,year.fillout,year,share.weight
transportation,coal,start-year,,1
transportation,electricity,start-year,,1
transportation,hydrogen,start-year,,0
transportation,gas,start-year,,1
transportation,refined liquids,start-year,,1
