# Primary energy transformation subsector logit exponents,,,,
supplysector,subsector,year.fillout,year,share.weight
electricity,coal,start-year,,1
electricity,gas,start-year,,1
electricity,refined liquids,start-year,,1
electricity,biomass,2065,,0.5
electricity,nuclear,start-year,,0
electricity,hydro,start-year,,0
electricity,wind,2065,,0.5
electricity,solar,2065,,0.5
electricity,geothermal,2065,,0.5
elect_td_bld,rooftop_pv,start-year,,0
elect_td_bld,rooftop_pv,2020,,1
