# Shares of res and comm TFE by region,,,,
region_GCAM3,sector,fuel,service,share_TFEbysector
USA,comm,biomass,comm heating,0.00924934
USA,comm,coal,comm heating,0
USA,comm,electricity,comm heating,0.022149504
USA,comm,gas,comm heating,0.143537572
USA,comm,refined liquids,comm heating,0.04934104
USA,comm,trad biomass,comm heating,0
USA,comm,heat,comm heating,0
USA,comm,biomass,comm cooling,0
USA,comm,coal,comm cooling,0
USA,comm,electricity,comm cooling,0.066837653
USA,comm,gas,comm cooling,0.002526509
USA,comm,refined liquids,comm cooling,0
USA,comm,trad biomass,comm cooling,0
USA,comm,heat,comm cooling,0
USA,comm,biomass,comm others,0
USA,comm,coal,comm others,0.008885211
USA,comm,electricity,comm others,0.481445804
USA,comm,gas,comm others,0.186627404
USA,comm,refined liquids,comm others,0.029399962
USA,comm,trad biomass,comm others,0
USA,comm,heat,comm others,0
USA,resid,biomass,resid heating,0.037587395
USA,resid,coal,resid heating,0
USA,resid,electricity,resid heating,0.026704525
USA,resid,gas,resid heating,0.297132928
USA,resid,refined liquids,resid heating,0.081668115
USA,resid,trad biomass,resid heating,0
USA,resid,heat,resid heating,0
USA,resid,biomass,resid cooling,0
USA,resid,coal,resid cooling,0
USA,resid,electricity,resid cooling,0.079130435
USA,resid,gas,resid cooling,0
USA,resid,refined liquids,resid cooling,0
USA,resid,trad biomass,resid cooling,0
USA,resid,heat,resid cooling,0
USA,resid,biomass,resid others,0
USA,resid,coal,resid others,0
USA,resid,electricity,resid others,0.328501791
USA,resid,gas,resid others,0.122144117
USA,resid,refined liquids,resid others,0.027130695
USA,resid,trad biomass,resid others,0
USA,resid,heat,resid others,0
Canada,comm,biomass,comm heating,0
Canada,comm,coal,comm heating,0
Canada,comm,electricity,comm heating,0.0765
Canada,comm,gas,comm heating,0.204
Canada,comm,refined liquids,comm heating,0.2295
Canada,comm,trad biomass,comm heating,0
Canada,comm,heat,comm heating,0
Canada,comm,biomass,comm cooling,0
Canada,comm,coal,comm cooling,0
Canada,comm,electricity,comm cooling,0.024
Canada,comm,gas,comm cooling,0.006
Canada,comm,refined liquids,comm cooling,0
Canada,comm,trad biomass,comm cooling,0
Canada,comm,heat,comm cooling,0
Canada,comm,biomass,comm others,0
Canada,comm,coal,comm others,0
Canada,comm,electricity,comm others,0.281154451
Canada,comm,gas,comm others,0.133161569
Canada,comm,refined liquids,comm others,0.045683981
Canada,comm,trad biomass,comm others,0
Canada,comm,heat,comm others,0
Canada,resid,biomass,resid heating,0.06382927
Canada,resid,coal,resid heating,0
Canada,resid,electricity,resid heating,0.14017073
Canada,resid,gas,resid heating,0.324
Canada,resid,refined liquids,resid heating,0.072
Canada,resid,trad biomass,resid heating,0
Canada,resid,heat,resid heating,0
Canada,resid,biomass,resid cooling,0
Canada,resid,coal,resid cooling,0
Canada,resid,electricity,resid cooling,0.01
Canada,resid,gas,resid cooling,0
Canada,resid,refined liquids,resid cooling,0
Canada,resid,trad biomass,resid cooling,0
Canada,resid,heat,resid cooling,0
Canada,resid,biomass,resid others,0
Canada,resid,coal,resid others,0.000778978
Canada,resid,electricity,resid others,0.275231318
Canada,resid,gas,resid others,0.110707268
Canada,resid,refined liquids,resid others,0.003282437
Canada,resid,trad biomass,resid others,0
Canada,resid,heat,resid others,0
Western Europe,comm,biomass,comm heating,0.009813915
Western Europe,comm,coal,comm heating,0.004590893
Western Europe,comm,electricity,comm heating,0.065595192
Western Europe,comm,gas,comm heating,0.16
Western Europe,comm,refined liquids,comm heating,0.08
Western Europe,comm,trad biomass,comm heating,0
Western Europe,comm,heat,comm heating,0
Western Europe,comm,biomass,comm cooling,0
Western Europe,comm,coal,comm cooling,0
Western Europe,comm,electricity,comm cooling,0.05
Western Europe,comm,gas,comm cooling,0
Western Europe,comm,refined liquids,comm cooling,0
Western Europe,comm,trad biomass,comm cooling,0
Western Europe,comm,heat,comm cooling,0
Western Europe,comm,biomass,comm others,0
Western Europe,comm,coal,comm others,0
Western Europe,comm,electricity,comm others,0.351601113
Western Europe,comm,gas,comm others,0.180185876
Western Europe,comm,refined liquids,comm others,0.098213011
Western Europe,comm,trad biomass,comm others,0
Western Europe,comm,heat,comm others,0
Western Europe,resid,biomass,resid heating,0.10857292
Western Europe,resid,coal,resid heating,0
Western Europe,resid,electricity,resid heating,0.032303092
Western Europe,resid,gas,resid heating,0.29
Western Europe,resid,refined liquids,resid heating,0.149123988
Western Europe,resid,trad biomass,resid heating,0
Western Europe,resid,heat,resid heating,0
Western Europe,resid,biomass,resid cooling,0
Western Europe,resid,coal,resid cooling,0
Western Europe,resid,electricity,resid cooling,0.025
Western Europe,resid,gas,resid cooling,0
Western Europe,resid,refined liquids,resid cooling,0
Western Europe,resid,trad biomass,resid cooling,0
Western Europe,resid,heat,resid cooling,0
Western Europe,resid,biomass,resid others,0
Western Europe,resid,coal,resid others,0.018641998
Western Europe,resid,electricity,resid others,0.184093879
Western Europe,resid,gas,resid others,0.127730595
Western Europe,resid,refined liquids,resid others,0.064533528
Western Europe,resid,trad biomass,resid others,0
Western Europe,resid,heat,resid others,0
Japan,comm,biomass,comm heating,0
Japan,comm,coal,comm heating,0.010742635
Japan,comm,electricity,comm heating,0.009
Japan,comm,gas,comm heating,0.045
Japan,comm,refined liquids,comm heating,0.115257365
Japan,comm,trad biomass,comm heating,0
Japan,comm,heat,comm heating,0
Japan,comm,biomass,comm cooling,0
Japan,comm,coal,comm cooling,0
Japan,comm,electricity,comm cooling,0.04
Japan,comm,gas,comm cooling,0
Japan,comm,refined liquids,comm cooling,0
Japan,comm,trad biomass,comm cooling,0
Japan,comm,heat,comm cooling,0
Japan,comm,biomass,comm others,0
Japan,comm,coal,comm others,0
Japan,comm,electricity,comm others,0.349655569
Japan,comm,gas,comm others,0.173822652
Japan,comm,refined liquids,comm others,0.256521779
Japan,comm,trad biomass,comm others,0
Japan,comm,heat,comm others,0
Japan,resid,biomass,resid heating,0.000527599
Japan,resid,coal,resid heating,0
Japan,resid,electricity,resid heating,0.04356999
Japan,resid,gas,resid heating,0.051258812
Japan,resid,refined liquids,resid heating,0.160937658
Japan,resid,trad biomass,resid heating,0
Japan,resid,heat,resid heating,0
Japan,resid,biomass,resid cooling,0
Japan,resid,coal,resid cooling,0
Japan,resid,electricity,resid cooling,0.03
Japan,resid,gas,resid cooling,0
Japan,resid,refined liquids,resid cooling,0
Japan,resid,trad biomass,resid cooling,0
Japan,resid,heat,resid cooling,0
Japan,resid,biomass,resid others,0
Japan,resid,coal,resid others,0
Japan,resid,electricity,resid others,0.455027702
Japan,resid,gas,resid others,0.12470461
Japan,resid,refined liquids,resid others,0.133973629
Japan,resid,trad biomass,resid others,0
Japan,resid,heat,resid others,0
Korea,comm,biomass,comm heating,0.014992801
Korea,comm,coal,comm heating,0
Korea,comm,electricity,comm heating,0.029661664
Korea,comm,gas,comm heating,0.088984993
Korea,comm,refined liquids,comm heating,0.162977185
Korea,comm,trad biomass,comm heating,0
Korea,comm,heat,comm heating,0
Korea,comm,biomass,comm cooling,0
Korea,comm,coal,comm cooling,0
Korea,comm,electricity,comm cooling,0.039
Korea,comm,gas,comm cooling,0.011
Korea,comm,refined liquids,comm cooling,0
Korea,comm,trad biomass,comm cooling,0
Korea,comm,heat,comm cooling,0
Korea,comm,biomass,comm others,0
Korea,comm,coal,comm others,0
Korea,comm,electricity,comm others,0.407692789
Korea,comm,gas,comm others,0.053200011
Korea,comm,refined liquids,comm others,0.192490557
Korea,comm,trad biomass,comm others,0
Korea,comm,heat,comm others,0
Korea,resid,biomass,resid heating,0.003520598
Korea,resid,coal,resid heating,0.016741527
Korea,resid,electricity,resid heating,0.04
Korea,resid,gas,resid heating,0.3
Korea,resid,refined liquids,resid heating,0.139737875
Korea,resid,trad biomass,resid heating,0
Korea,resid,heat,resid heating,0
Korea,resid,biomass,resid cooling,0
Korea,resid,coal,resid cooling,0
Korea,resid,electricity,resid cooling,0.02
Korea,resid,gas,resid cooling,0
Korea,resid,refined liquids,resid cooling,0
Korea,resid,trad biomass,resid cooling,0
Korea,resid,heat,resid cooling,0
Korea,resid,biomass,resid others,0
Korea,resid,coal,resid others,0.039063563
Korea,resid,electricity,resid others,0.195982972
Korea,resid,gas,resid others,0.191927492
Korea,resid,refined liquids,resid others,0.053025972
Korea,resid,trad biomass,resid others,0
Korea,resid,heat,resid others,0
Southeast Asia,comm,biomass,comm heating,0
Southeast Asia,comm,coal,comm heating,0
Southeast Asia,comm,electricity,comm heating,0
Southeast Asia,comm,gas,comm heating,0.0125
Southeast Asia,comm,refined liquids,comm heating,0.0375
Southeast Asia,comm,trad biomass,comm heating,0
Southeast Asia,comm,heat,comm heating,0
Southeast Asia,comm,biomass,comm cooling,0
Southeast Asia,comm,coal,comm cooling,0
Southeast Asia,comm,electricity,comm cooling,0.15
Southeast Asia,comm,gas,comm cooling,0
Southeast Asia,comm,refined liquids,comm cooling,0
Southeast Asia,comm,trad biomass,comm cooling,0
Southeast Asia,comm,heat,comm cooling,0
Southeast Asia,comm,biomass,comm others,0.105112327
Southeast Asia,comm,coal,comm others,0.000293438
Southeast Asia,comm,electricity,comm others,0.468970375
Southeast Asia,comm,gas,comm others,0.060460361
Southeast Asia,comm,refined liquids,comm others,0.165163499
Southeast Asia,comm,trad biomass,comm others,0
Southeast Asia,comm,heat,comm others,0
Southeast Asia,resid,biomass,resid heating,0
Southeast Asia,resid,coal,resid heating,0
Southeast Asia,resid,electricity,resid heating,0
Southeast Asia,resid,gas,resid heating,0.016666667
Southeast Asia,resid,refined liquids,resid heating,0.016666667
Southeast Asia,resid,trad biomass,resid heating,0.016666667
Southeast Asia,resid,heat,resid heating,0
Southeast Asia,resid,biomass,resid cooling,0
Southeast Asia,resid,coal,resid cooling,0
Southeast Asia,resid,electricity,resid cooling,0.07
Southeast Asia,resid,gas,resid cooling,0
Southeast Asia,resid,refined liquids,resid cooling,0
Southeast Asia,resid,trad biomass,resid cooling,0
Southeast Asia,resid,heat,resid cooling,0
Southeast Asia,resid,biomass,resid others,0.026668395
Southeast Asia,resid,coal,resid others,0.00039985
Southeast Asia,resid,electricity,resid others,0.044932235
Southeast Asia,resid,gas,resid others,0.027716673
Southeast Asia,resid,refined liquids,resid others,0.091600333
Southeast Asia,resid,trad biomass,resid others,0.688682514
Southeast Asia,resid,heat,resid others,0
India,comm,biomass,comm heating,0
India,comm,coal,comm heating,0
India,comm,electricity,comm heating,0.002
India,comm,gas,comm heating,0
India,comm,refined liquids,comm heating,0
India,comm,trad biomass,comm heating,0
India,comm,heat,comm heating,0
India,comm,biomass,comm cooling,0
India,comm,coal,comm cooling,0
India,comm,electricity,comm cooling,0.021
India,comm,gas,comm cooling,0
India,comm,refined liquids,comm cooling,0
India,comm,trad biomass,comm cooling,0
India,comm,heat,comm cooling,0
India,comm,biomass,comm others,0.354052453
India,comm,coal,comm others,0.324173339
India,comm,electricity,comm others,0.272365155
India,comm,gas,comm others,0
India,comm,refined liquids,comm others,0.026409053
India,comm,trad biomass,comm others,0
India,comm,heat,comm others,0
