#Cost efficiency of technology,,,,,,,
supplysector,subsector,technology,installed cost,lifetime,O&M cost,efficiency,UEC
resid heating,biomass,biomass boiler,500,15,100,0.4,150
resid heating,coal,coal boiler,500,15,100,0.5,120
resid heating,electricity,electric furnace,2000,20,50,0.95,78.94736842
resid heating,gas,gas boiler,1500,20,50,0.8,70.1575
resid heating,refined liquids,oil boiler,1500,15,100,0.8,68.75
resid heating,district heat,district heat,500,20,20,0.9,44.44444444
resid cooling,electricity,electric AC,2000,15,100,2.63,7.0092
resid cooling,gas,gas AC,2500,15,100,0.83,15.6626506
resid others,biomass,biomass generic,1000,10,25,0.3,66.66666667
resid others,coal,coal generic,1000,10,25,0.4,75
resid others,electricity,electric generic,1500,10,20,0.95,36.84210526
resid others,gas,gas generic,1500,10,20,0.6,50
resid others,refined liquids,oil generic,1500,10,50,0.6,50
resid others,district heat,district heat generic,500,20,25,0.9,22.22222222
comm heating,biomass,biomass boiler,2000,20,200,0.4,375
comm heating,coal,coal boiler,2000,20,200,0.5,300
comm heating,electricity,electric furnace,5000,25,200,0.95,210.5263158
comm heating,gas,gas boiler,5000,25,200,0.79,211
comm heating,refined liquids,oil boiler,5000,25,200,0.82,182.9268293
comm heating,district heat,district heat,2000,20,20,0.9,166.6666667
comm cooling,electricity,electric AC,4450,15,153,2.73,35.046
comm cooling,gas,gas AC,4000,15,200,0.83,60.24096386
comm others,biomass,biomass generic,2000,10,50,0.3,133.3333333
comm others,coal,coal generic,2000,10,50,0.4,150
comm others,electricity,electric generic,3000,10,50,0.95,73.68421053
comm others,gas,gas generic,3000,10,100,0.6,108.3333333
comm others,refined liquids,oil generic,3000,10,100,0.6,100
comm others,district heat,district heat generic,2000,20,50,0.9,66.66666667
