# Carbon storage resource information (subresources included here),,,,,,
resource,resource_type,market,output-unit,price-unit,capacity.factor,subresource
offshore carbon-storage,unlimited-resource,global,MtC,1990$/tC,0,
onshore carbon-storage,depresource,regional,MtC,1990$/tC,,onshore carbon-storage
