# Final energy delivery sectors - supplysector characteristics,,,,
supplysector,output.unit,input.unit,price.unit,logit.exponent
delivered biomass,EJ,EJ,1975$/GJ,-3
delivered coal,EJ,EJ,1975$/GJ,-3
electricity_net_ownuse,EJ,EJ,1975$/GJ,-3
elect_td_bld,EJ,EJ,1975$/GJ,-3
elect_td_ind,EJ,EJ,1975$/GJ,-3
elect_td_trn,EJ,EJ,1975$/GJ,-3
gas pipeline,EJ,EJ,1975$/GJ,-3
wholesale gas,EJ,EJ,1975$/GJ,-3
delivered gas,EJ,EJ,1975$/GJ,-3
refined liquids enduse,EJ,EJ,1975$/GJ,-3
refined liquids industrial,EJ,EJ,1975$/GJ,-3
