region,supplysector,subsector,relative.capacity.factor
USA,electricity,solar,1
Canada,electricity,solar,0.811291016
Western Europe,electricity,solar,0.83444914
Japan,electricity,solar,0.929178049
Australia_NZ,electricity,solar,1.163735672
Former Soviet Union,electricity,solar,0.800302877
China,electricity,solar,0.984425351
Middle East,electricity,solar,1.325490204
Africa,electricity,solar,1.337528711
Latin America,electricity,solar,1.219938646
Southeast Asia,electricity,solar,1.217413872
Eastern Europe,electricity,solar,0.808572348
Korea,electricity,solar,0.994798509
India,electricity,solar,1.201351946
