# Improvement rates of technologies (percent per year),,,,,,,,,
supplysector,technology,1971,2020,2035,2050,2065,2080,2095,2100
resid ,resid shell,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045
comm,comm shell,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
resid heating,biomass boiler,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid heating,coal boiler,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid heating,electric furnace,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid heating,gas boiler,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
resid heating,oil boiler,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid heating,trad biomass boiler,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid heating,district heat,0,0,0,0,0,0,0,0
resid cooling,electric AC,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
resid cooling,gas AC,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
resid others,biomass generic,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid others,coal generic,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid others,electric generic,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
resid others,gas generic,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
resid others,oil generic,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid others,trad biomass generic,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid others,district heat generic,0,0,0,0,0,0,0,0
