# GCAM 3.0 wind resource supply curves,,,,,
region_GCAM3,resource,subresource,maxSubResource,mid-price,curve-exponent
Africa,onshore wind resource,onshore wind resource,135.6248921,6.612525664,1.317
Australia_NZ,onshore wind resource,onshore wind resource,12.66994662,6.612525664,1.317
Canada,onshore wind resource,onshore wind resource,16.95569086,6.612525664,1.317
China,onshore wind resource,onshore wind resource,36.26547331,6.612525664,1.317
Eastern Europe,onshore wind resource,onshore wind resource,3.050552469,6.612525664,1.317
Former Soviet Union,onshore wind resource,onshore wind resource,135.1461594,6.612525664,1.317
India,onshore wind resource,onshore wind resource,1.099359549,6.612525664,1.317
Japan,onshore wind resource,onshore wind resource,1.023364326,6.612525664,1.317
Korea,onshore wind resource,onshore wind resource,0.607622569,6.612525664,1.317
Latin America,onshore wind resource,onshore wind resource,53.33368346,6.612525664,1.317
Middle East,onshore wind resource,onshore wind resource,46.01091252,6.612525664,1.317
Southeast Asia,onshore wind resource,onshore wind resource,8.355666233,6.612525664,1.317
USA,onshore wind resource,onshore wind resource,29.2014676,6.612525664,1.317
Western Europe,onshore wind resource,onshore wind resource,6.625634322,6.612525664,1.317
