# File: assumptions_R.csv,,,,,,,
# Description: Specifies region-specific assumptions in the energy system,,,,,,,
# ----------,,,,,,,
GCAM_region_ID,region,tradbio_region,ethanol,biodiesel,biomassOil_tech,elect_td_techchange,heat
1,USA,0,corn ethanol,biodiesel,OilCrop,0.0001,0
2,Africa_Eastern,1,cellulosic ethanol,FT biofuels,biomassOil,0.00025,0
3,Africa_Northern,1,cellulosic ethanol,FT biofuels,biomassOil,0.00025,0
4,Africa_Southern,1,cellulosic ethanol,FT biofuels,biomassOil,0.00025,0
5,Africa_Western,1,cellulosic ethanol,FT biofuels,biomassOil,0.00025,0
6,Australia_NZ,0,cellulosic ethanol,biodiesel,OilCrop,0.0001,0
7,Brazil,1,sugar cane ethanol,biodiesel,OilCrop,0.00075,0
8,Canada,0,corn ethanol,biodiesel,OilCrop,0.0001,0
9,Central America and Caribbean,1,sugar cane ethanol,biodiesel,OilCrop,0.00075,0
10,Central Asia,0,cellulosic ethanol,FT biofuels,OilCrop,0.0001,1
11,China,1,corn ethanol,biodiesel,OilCrop,0.0001,1
12,EU-12,0,corn ethanol,biodiesel,OilCrop,0.0001,1
13,EU-15,0,corn ethanol,biodiesel,OilCrop,0.0001,0
14,Europe_Eastern,0,corn ethanol,biodiesel,OilCrop,0.0002,1
15,Europe_Non_EU,0,corn ethanol,biodiesel,OilCrop,0.0002,1
16,European Free Trade Association,0,corn ethanol,biodiesel,OilCrop,0.0001,0
17,India,1,cellulosic ethanol,FT biofuels,biomassOil,0.002,0
18,Indonesia,1,sugar cane ethanol,biodiesel,PalmFruit,0.00025,0
19,Japan,0,cellulosic ethanol,FT biofuels,OilCrop,0.0001,0
20,Mexico,1,cellulosic ethanol,biodiesel,OilCrop,0.00075,0
21,Middle East,0,cellulosic ethanol,FT biofuels,OilCrop,0.0004,0
22,Pakistan,1,cellulosic ethanol,FT biofuels,OilCrop,0.00025,0
23,Russia,0,cellulosic ethanol,FT biofuels,OilCrop,0.0004,1
24,South Africa,1,cellulosic ethanol,FT biofuels,OilCrop,0.00025,0
25,South America_Northern ,1,sugar cane ethanol,biodiesel,OilCrop,0.00075,0
26,South America_Southern,1,corn ethanol,biodiesel,OilCrop,0.00075,0
27,South Asia,1,cellulosic ethanol,FT biofuels,OilCrop,0.00025,0
28,South Korea,0,cellulosic ethanol,biodiesel,OilCrop,0.0001,0
29,Southeast Asia,1,sugar cane ethanol,biodiesel,PalmFruit,0.00025,0
30,Taiwan,0,cellulosic ethanol,biodiesel,OilCrop,0.0001,0
