# Electricity technology capital costs,,,,,,,,,,,,,,,
supplysector,subsector,technology,input-capital,fixed.charge.rate,capacity.factor,1971,1990,2005,2020,2035,2050,2065,2080,2095,2100
electricity,coal,coal (conv pul),capital,0.15,0.8,496,496,496,496,467,440,414,390,367,367
electricity,coal,coal (IGCC),capital,0.15,0.8,575,575,575,575,517,437,433,410,402,402
electricity,coal,coal (IGCC CCS),capital,0.15,0.8,758,758,758,758,666,558,550,522,512,512
electricity,gas,gas (steam/CT),capital,0.15,0.8,158,158,158,163,154,145,136,128,121,121
electricity,gas,gas (CC),capital,0.15,0.8,233,233,233,233,203,177,173,166,163,163
electricity,gas,gas (CC CCS),capital,0.15,0.8,362,362,362,362,313,273,265,254,250,250
electricity,refined liquids,refined liquids (steam/CT),capital,0.15,0.8,158,158,158,163,154,145,136,128,121,121
electricity,refined liquids,refined liquids (IGCC),capital,0.15,0.8,517,517,517,517,451,393,384,368,362,362
electricity,refined liquids,refined liquids (IGCC CCS),capital,0.15,0.8,741,741,741,741,641,558,543,521,513,513
electricity,biomass,biomass (conv),capital,0.15,0.8,511,511,511,511,481,453,427,402,378,378
electricity,biomass,biomass (IGCC),capital,0.15,0.8,592,592,592,592,533,450,446,423,415,415
electricity,biomass,biomass (IGCC CCS),capital,0.15,0.8,763,763,763,763,673,565,558,529,520,520
electricity,nuclear,Gen_II_LWR,capital,0.15,0.9,620,620,620,620,620,620,620,620,620,620
electricity,nuclear,Gen_III,capital,0.15,0.9,815,815,815,676,664,654,645,636,626,626
electricity,wind,wind,capital,0.125,0.45,380,380,380,366,353,340,327,315,303,303
electricity,wind,wind_storage,capital,0.125,0.45,916,916,916,827,764,721,695,669,645,645
electricity,solar,PV,capital,0.125,0.25,3016,3016,3016,1909,1305,963,767,659,610,610
electricity,solar,PV_storage,capital,0.125,0.25,3552,3552,3552,2370,1716,1345,1135,1013,951,951
electricity,solar,CSP,capital,0.125,0.31,1073,1073,1073,995,923,856,794,737,683,683
electricity,solar,CSP_storage,capital,0.125,0.73,2146,2146,2146,1991,1846,1713,1589,1474,1367,1367
electricity,geothermal,geothermal,capital,0.125,0.9,521,521,521,485,448,421,406,391,376,376
elect_td_bld,rooftop_pv,rooftop_pv,capital,0.1,0.25,4403,4403,4403,2798,1946,1477,1192,1091,1024,1024
