# Primary energy handling default shareweights,,,,
supplysector,subsector,technology,1971,2100
regional biomass,regional biomass,regional biomass,1,1
regional coal,regional coal,regional coal,1,1
regional natural gas,regional natural gas,regional natural gas,1,1
unconventional oil production,unconventional oil production,unconventional oil production,1,1
regional oil,crude oil,crude oil,1,1
regional oil,unconventional oil,unconventional oil,1,1
regional corn for ethanol,regional corn for ethanol,regional corn for ethanol,0,0
regional sugar for ethanol,regional sugar for ethanol,regional sugar for ethanol,0,0
regional biomassOil,regional biomassOil,biomassOil,0,0
regional biomassOil,regional biomassOil,OilCrop,0,0
regional biomassOil,regional biomassOil,PalmFruit,0,0
