# File: A31.globaltech_coef.csv
# Title: Industrial Processing Default Emissions Coefficients
# Units: Unknown
# Industrial processes default coefficients
# Column types: ccccii 
# ----------
supplysector,subsector,technology,minicam.energy.input,1971,2100
urban processes,waste_incineration,waste_incineration,misc emissions sources,1,1
urban processes,landfills,landfills,misc emissions sources,1,1
urban processes,wastewater,wastewater,misc emissions sources,1,1
urban processes,aerosols,aerosols,misc emissions sources,1,1
urban processes,fire_exting,fire_exting,misc emissions sources,1,1
industrial processes,adipic acid,adipic acid,misc emissions sources,1,1
industrial processes,nitric acid,nitric acid,misc emissions sources,1,1
industrial processes,foams,foams,misc emissions sources,1,1
industrial processes,solvents,solvents,misc emissions sources,1,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,misc emissions sources,1,1
industrial processes,semiconductors,semiconductors,misc emissions sources,1,1
industrial processes,Al_Mg,Al_Mg,misc emissions sources,1,1
industrial processes,other industrial processes,other industrial processes,misc emissions sources,1,1
