# File: A31.globaltech_cost.csv
# Title: Industry processing default costs
# Units: Unknown
# Column types: ccccii 
# ----------
supplysector,subsector,technology,minicam.non.energy.input,1971,2100
urban processes,waste_incineration,waste_incineration,non-energy,0,0
urban processes,landfills,landfills,non-energy,0,0
urban processes,wastewater,wastewater,non-energy,0,0
urban processes,aerosols,aerosols,non-energy,0,0
urban processes,fire_exting,fire_exting,non-energy,0,0
industrial processes,adipic acid,adipic acid,non-energy,0,0
industrial processes,nitric acid,nitric acid,non-energy,0,0
industrial processes,foams,foams,non-energy,0,0
industrial processes,solvents,solvents,non-energy,0,0
industrial processes,HCFC_22_Prod,HCFC_22_Prod,non-energy,0,0
industrial processes,semiconductors,semiconductors,non-energy,0,0
industrial processes,Al_Mg,Al_Mg,non-energy,0,0
industrial processes,other industrial processes,other industrial processes,non-energy,0,0
