# File: other_f_gases.csv
# Title: Other fluorinated greenhouse gases by sector
# Units: NA
# Source: GCAM compilation?
# Description: Specifies other fgases by sector
# Column types: cc
# ----------
Gas,Sector
C2F6,refrigeration
CF4,na
HFC125,refrigeration
HFC134a,fire exting
HFC143a,refrigeration
HFC152a,aerosols
HFC227ea,fire exting
HFC23,refrigeration
HFC236fa,fire exting
HFC245fa,foams
HFC32,refrigeration
HFC365mfc,foams
HFC43,solvents
SF6,industry_processes
