# File: A31.subsector_logit.csv
# Title: Urban and industrial processes default subsector logit exponents
# Units: Unitless
# Column types: ccic 
# ----------
supplysector,subsector,logit.exponent,logit.type
urban processes,waste_incineration,-6,
urban processes,landfills,-6,
urban processes,wastewater,-6,
urban processes,aerosols,-6,
urban processes,fire_exting,-6,
industrial processes,adipic acid,-6,
industrial processes,nitric acid,-6,
industrial processes,foams,-6,
industrial processes,solvents,-6,
industrial processes,HCFC_22_Prod,-6,
industrial processes,semiconductors,-6,
industrial processes,Al_Mg,-6,
industrial processes,other industrial processes,-6,
