# File: A51.min_coeff.csv
# Title: Minimum (i.e., fully controlled) emissions coefficients (unit emissions per unit fuel input or output, or something else) by technology and emissions species, for non-greenhouse gases
# Units: kg / GJ (or TgXXX / EJ, where XXX is the particular gas)
# Description: Minimum emissions coefficient for various technologies and gases. Emissions coefficients decline with GDP until these levels are reached, after which no further declines are possible.
# Source: GCAM3 emissions files (e.g., SO2 are from NonCO2_energy_input.xls, SO2_calcs tab, table starting at row 509)
# Column types: cccnnnnnn
# ----------
supplysector,subsector,stub.technology,SO2,NOx,CO,BC,OC,NMVOC
cement,cement,cement,,,,,,
district heat,biomass,biomass,,,,,,
district heat,coal,coal,,,,,,
district heat,electricity,electricity,,,,,,
district heat,gas,gas,,,,,,
district heat,refined liquids,refined liquids,,,,,,
elect_td_bld,elect_td_bld,elect_td_bld,,,,,,
elect_td_ind,elect_td_ind,elect_td_ind,,,,,,
elect_td_trn,elect_td_trn,elect_td_trn,,,,,,
electricity,biomass,biomass (conv),0.1163,0.0282,0.0057,0.0024,0.0054,0.0008
electricity,biomass,biomass (IGCC CCS),0.001,0.027,0,0,0,0
electricity,biomass,biomass (IGCC),0.001,0.027,0,0,0,0
electricity,coal,coal (conv pul),0.0047,0.0078,0.0057,0,0,0.0008
electricity,coal,coal (IGCC CCS),0.001,0.018,0,0,0,0
electricity,coal,coal (IGCC),0.001,0.018,0,0,0,0
electricity,gas,gas (CC CCS),0.0009,0.0045,0,0,0,0
electricity,gas,gas (CC),0.2094,0.0704,0.0057,0,0,0.0008
electricity,gas,gas (steam/CT),0.1163,0.0282,0.0057,0,0,0.0008
electricity,geothermal,geothermal,,,,,,
electricity,hydro,hydro,,,,,,
electricity,nuclear,Gen_II_LWR,,,,,,
electricity,refined liquids,refined liquids (IGCC CCS),0.0005,0.0054,0,0,0,0
electricity,refined liquids,refined liquids (IGCC),0,0.027,0,0,0,0
electricity,refined liquids,refined liquids (steam/CT),0,0.1408,0,0,0,0
electricity,solar,CSP,,,,,,
electricity,solar,PV,,,,,,
electricity,wind,wind,,,,,,
