# File: A11.max_reduction.csv,
# Title: Maximum emissions reduction for agricultural sectors in all regions,
# Units: Percent reduction from base-year emissions coefficient,
# Source: Internal GCAM assumptions,
# Column types: ci 
# ----------
AgSupplySector,max.reduction
Corn,60
FiberCrop,60
FodderGrass,60
FodderHerb,60
Fruits,60
Legumes,60
MiscCrop,60
NutsSeeds,60
OilCrop,60
OtherGrain,60
OilPalm,60
Rice,60
RootTuber,60
Soybean,60
SugarCrop,60
Vegetables,60
Wheat,60
