# File: A32.steepness.csv
# Title: Steepness of emissions reduction for energy technologies in all regions
# Description: Shape parameter of s-curve function that reduces the emissions coefficient as a function of the per-capita GDP
# Units: Unitless
# Source: Internal GCAM assumptions; sulfur reductions based on Smith et al. 2005. Climatic Change
# Column types: cccnnnnnn 
# ----------
supplysector,subsector,stub.technology,SO2,NOx,CO,BC,OC,NMVOC
urban processes,waste_incineration,waste_incineration,3.5,3.5,3.5,3.5,3.5,3.5
urban processes,landfills,landfills,3.5,3.5,3.5,3.5,3.5,3.5
urban processes,wastewater,wastewater,,,,,,
industrial wastewater,electricity,electricity,,,,,,
municipal wastewater,electricity,electricity,,,,,,
urban processes,aerosols,aerosols,,,,,,
urban processes,fire_exting,fire_exting,,,,,,
industrial processes,nitric acid,nitric acid,,,,,,
industrial processes,foams,foams,,,,,,
industrial processes,solvents,solvents,,,3.5,,,3.5
industrial processes,HCFC_22_Prod,HCFC_22_Prod,,,,,,
industrial processes,semiconductors,semiconductors,,,,,,
industrial processes,Al_Mg,Al_Mg,3.5,3.5,3.5,,,3.5
industrial processes,other industrial processes,other industrial processes,3.5,3.5,3.5,,,3.5
