# File: gcam_fgas_tech.csv
# Title: GCAM fluorinated greenhouse gases by sector
# Units: NA
# Source: GCAM compilation
# Description: Specifies sector-specific sources of Fgases
# Column types: cccccc
# ----------
supplysector,subsector,stub.technology,EPA_sector,EDGAR_agg_sector,MAC_type1
electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,elect_td,elect_equip,ElectTD
urban processes,aerosols,aerosols,aerosols,aerosols,Aerosols
urban processes,fire_exting,fire_exting,fire exting,fire exting,FireExt
industrial processes,foams,foams,foams,foams,Foams
industrial processes,solvents,solvents,solvents,solvents,Solvents
industrial processes,HCFC_22_Prod,HCFC_22_Prod,hcfc_22,halo_prod,HFC23
industrial processes,semiconductors,semiconductors,semiconductors,semiconductors,Semiconductors
industrial processes,Al_Mg,Al_Mg,metals,metals,Aluminum
resid cooling,electricity,electricity,refrigeration,refrigeration,Refrigeration
comm cooling,electricity,electricity,refrigeration,refrigeration,Refrigeration
industrial processes,other industrial processes,other industrial processes,other,industry_processes,
