# File: EPA_FCCC_AG_2005.csv
# Title: EPA USA GHG emissions inventory for agriculture, 2005
# Units: Gg
# Source: USA National Inventory Submission - Common Reporting Format - Table 4s2 - https://unfccc.int/files/national_reports/annex_i_ghg_inventories/national_inventories_submissions/application/x-zip-compressed/usa_2007_crf_11apr.zip
# Column types: ccnnnnc 
# ----------
Source_Category_Raw,Source_Category,CH4,N2O,NOx,CO,NMVOC
Total Agriculture,Total Agriculture,7674.29,1210.04,38.56,857.92,
A. Enteric Fermentation,A. Enteric Fermentation,5339.55,,,,
1.    Cattle (1),A. Enteric Fermentation_1.    Cattle (1),5091.00,,,,
Option A:,A. Enteric Fermentation_Option A:,,,,,
Dairy Cattle,A. Enteric Fermentation_Dairy Cattle,1318.58,,,,
Non-Dairy Cattle,A. Enteric Fermentation_Non-Dairy Cattle,3772.42,,,,
Option B:,A. Enteric Fermentation_Option B:,,,,,
Mature Dairy Cattle,A. Enteric Fermentation_Mature Dairy Cattle,,,,,
Mature Non-Dairy Cattle,A. Enteric Fermentation_Mature Non-Dairy Cattle,,,,,
Young Cattle,A. Enteric Fermentation_Young Cattle,,,,,
2.    Buffalo,A. Enteric Fermentation_2.    Buffalo,,,,,
3.    Sheep,A. Enteric Fermentation_3.    Sheep,49.08,,,,
4.    Goats,A. Enteric Fermentation_4.    Goats,12.65,,,,
5.    Camels and Llamas,A. Enteric Fermentation_5.    Camels and Llamas,,,,,
6.    Horses,A. Enteric Fermentation_6.    Horses,95.40,,,,
7.    Mules and Asses ,A. Enteric Fermentation_7.    Mules and Asses ,,,,,
8.    Swine,A. Enteric Fermentation_8.    Swine,91.42,,,,
9.    Poultry ,A. Enteric Fermentation_9.    Poultry ,,,,,
10.  Other (as specified in table 4.A),A. Enteric Fermentation_10.  Other (as specified in table 4.A),,,,,
Dairy Cows,A. Enteric Fermentation_Dairy Cows,,,,,
Bulls,A. Enteric Fermentation_Bulls,,,,,
Heifer Feedlot,A. Enteric Fermentation_Heifer Feedlot,,,,,
Steer Feedlot,A. Enteric Fermentation_Steer Feedlot,,,,,
Beef Replacements,A. Enteric Fermentation_Beef Replacements,,,,,
Dairy Replacements,A. Enteric Fermentation_Dairy Replacements,,,,,
Beef Cows,A. Enteric Fermentation_Beef Cows,,,,,
Heifer Stocker,A. Enteric Fermentation_Heifer Stocker,,,,,
Steer Stocker,A. Enteric Fermentation_Steer Stocker,,,,,
B.  Manure Management,B.  Manure Management,1965.70,30.67,,,
1.    Cattle (1),B.  Manure Management_1.    Cattle (1),961.77,,,,
Option A:,B.  Manure Management_Option A:,,,,,
Dairy Cattle,B.  Manure Management_Dairy Cattle,850.95,,,,
Non-Dairy Cattle,B.  Manure Management_Non-Dairy Cattle,110.83,,,,
Option B:,B.  Manure Management_Option B:,,,,,
Mature Dairy Cattle,B.  Manure Management_Mature Dairy Cattle,,,,,
Mature Non-Dairy Cattle,B.  Manure Management_Mature Non-Dairy Cattle,,,,,
Young Cattle,B.  Manure Management_Young Cattle,,,,,
2.    Buffalo,B.  Manure Management_2.    Buffalo,,,,,
3.    Sheep,B.  Manure Management_3.    Sheep,3.72,,,,
4.    Goats,B.  Manure Management_4.    Goats,0.85,,,,
5.    Camels and Llamas,B.  Manure Management_5.    Camels and Llamas,,,,,
6.    Horses,B.  Manure Management_6.    Horses,22.26,,,,
7.    Mules and Asses,B.  Manure Management_7.    Mules and Asses,,,,,
8.    Swine,B.  Manure Management_8.    Swine,851.73,,,,
9.    Poultry,B.  Manure Management_9.    Poultry,125.36,,,,
10.   Other livestock (as specified in table 4.B(a)),B.  Manure Management_10.   Other livestock (as specified in table 4.B(a)),,,,,
Dairy Cows,B.  Manure Management_Dairy Cows,,,,,
Bulls,B.  Manure Management_Bulls,,,,,
