# File: EPA_NH3.csv
# Title: EPA ammonia emissions
# Units: thousand short tons (?)
# Source: EPA National Emissions Trends
# Description: These EPA data files come from the old GCAM3 system (they were in nonco2/Input Data/EPA National Inventories). The documentation there is limited. For example, the CO file says: "National Emissions Trends -- updated 7/18/2005. Carbon Monoxide Emissions (thousand short tons)."
# Column types: ccnnnnnnnnnnnnn 
# ----------
Source_Category_Raw,Source_Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
TOTAL ALL SOURCES,TOTAL ALL SOURCES,4319.00,4382.00,4443.00,4518.00,4589.00,4659.00,4728.00,4819.00,4939.00,4857.00,4908.00,3691.00,3712.00
FUEL COMBUSTION TOTAL (Tier 0 - 01),FUEL COMBUSTION TOTAL (Tier 0 - 01),25.00,25.00,25.00,26.00,26.00,26.00,47.00,47.00,47.00,50.00,51.00,51.00,16.00
FUEL COMB. ELEC. UTIL. (Tier 1 - 01),FUEL COMB. ELEC. UTIL. (Tier 1 - 01),0.00,0.00,0.00,0.00,0.00,0.00,6.00,6.00,8.00,11.00,11.00,11.00,6.00
Coal,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Coal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00
Oil,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Oil,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,3.00,3.00,3.00,3.00,2.00
Gas,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Gas,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,4.00,4.00,5.00,5.00,3.00
Other,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Internal Combustion,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Internal Combustion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,3.00,0.00
FUEL COMB. INDUSTRIAL (Tier 1 - 02),FUEL COMB. INDUSTRIAL (Tier 1 - 02),17.00,17.00,17.00,18.00,18.00,18.00,34.00,33.00,33.00,31.00,31.00,31.00,8.00
Coal,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Coal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00
Oil,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Oil,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,2.00
Gas,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Gas,13.00,13.00,13.00,14.00,14.00,13.00,25.00,25.00,25.00,25.00,25.00,25.00,6.00
Other,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Internal Combustion,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Internal Combustion,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,5.00,2.00,2.00,2.00,0.00
FUEL COMB. OTHER (Tier 1 - 03),FUEL COMB. OTHER (Tier 1 - 03),8.00,8.00,8.00,8.00,8.00,8.00,7.00,7.00,6.00,8.00,8.00,8.00,2.00
Commercial/Institutional Coal,FUEL COMB. OTHER (Tier 1 - 03)_Commercial/Institutional Coal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Commercial/Institutional Oil,FUEL COMB. OTHER (Tier 1 - 03)_Commercial/Institutional Oil,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00
Commercial/Institutional Gas,FUEL COMB. OTHER (Tier 1 - 03)_Commercial/Institutional Gas,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00
Misc. Fuel Comb. (Except Residential),FUEL COMB. OTHER (Tier 1 - 03)_Misc. Fuel Comb. (Except Residential),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Residential Other,FUEL COMB. OTHER (Tier 1 - 03)_Residential Other,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,0.00
INDUSTRIAL PROCESSES TOTAL (Tier 0 - 02),INDUSTRIAL PROCESSES TOTAL (Tier 0 - 02),351.00,355.00,359.00,364.00,364.00,365.00,273.00,277.00,284.00,172.00,176.00,181.00,193.00
