"""BSHILM"" is theSHARE COEFFICIENT FOR PRODUCING HYDROGEN",,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,No coal producing H2,,,,,,,,,,
105,,,,,,,,,,,,
,,BSHILM,,,,,,,,,,
FUELNum,1975,1990,2005,2020,2035,2050,2065,2080,2095,REGION,REG#,FUEL
1,1,1,1,1,1,1,1,1,1,ALL,na,OIL
2,1,1,1,1,1,1,1,1,1,ALL,na,GAS
3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,ALL,na,COAL
4,1,1,1,1,1,1,1,1,1,ALL,na,BIOMASS
5,1,1,1,1,1,1,1,1,1,ALL,na,ELECTRO



EoF
